time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18
1,relative_humidity_925_min,3.8624305483835717,-1.2528036296116618,1.9318830761141015,2.2806261485821886,-1.5011667103565463,2.9261025124558517,-0.9254466567774468,1.3587691388013456,1.488640273291271,0.6895797708880722,0.37041635761988345,-0.03578865005971726,-0.5104030086990725,0.8802708018493287,-0.3659792797040933,0.10041084686284418,-0.04157162610800198,0.2208638308845373
2,relative_humidity_925_min,4.458503553655082,-1.3839474445709044,2.4873964067468415,3.7947306687279476,-1.429308614910323,1.8756295754992027,-0.02679575816079033,0.620128741897764,0.03635558993796714,-0.027370948716644857,-0.07762678220115363,-0.15276346541073932,-0.3216347078769879,-0.3321586091261023,0.02222636594110608,-0.5063819178670228,0.14220407686461148,-0.5335886755246968
3,relative_humidity_925_min,4.9929712846359875,-0.9202458853646073,1.278339472127466,2.6095601985019856,-1.0877822093997296,0.3006854369670562,0.19887318403023363,-1.357381337598653,-0.8126541520034226,0.3570445900893294,-1.1225781572340316,0.10030131226490364,0.2364531169085651,-0.2555557030937215,0.4512016371479045,0.7223195552612696,-0.2675897903615735,0.0675435504952104
4,relative_humidity_925_min,4.968651376693135,-1.5579841524825548,0.5641384682847516,1.5262188458030912,-0.5290155391410721,-0.7594648674543008,0.09198501195092568,-1.8031916518099746,-0.8731170245636437,0.06288109184959463,-0.6592230404907946,0.44001961253244737,0.7869316350283706,-0.45700675680691494,0.13629538676036346,0.29384535919132226,0.2691507531331659,0.28113689237373535
5,relative_humidity_925_min,4.794309396656179,-1.7335160934545222,0.04098859568383681,1.0147888946611379,0.440346131139883,-1.1610930573938198,0.40229788910994846,-1.275304897595191,-0.30305163601149376,-0.3364462639797258,0.3297118873498486,-0.23087390953004538,0.18465360235480738,0.071552754921354,-0.4050309426753962,-0.3417785944066718,-0.1771339011945938,0.4530022963570162
6,relative_humidity_925_min,4.443673151784195,-1.8880028149188304,0.3156092176528155,0.3377304625234642,1.2327739005343454,-1.2510250620990753,-0.14557790527687356,-0.4058427510695382,-0.21066293836965316,-0.3551302677508107,1.205644293673299,-0.08161293573447324,-0.1425361424697066,0.6835514176931836,-0.13573068194480042,-0.8499076324315403,-0.06234354320518325,0.02174846270449736
7,relative_humidity_925_min,4.308846185519622,-1.928146710309806,0.35736004427975476,0.12604420621027151,1.4946734798894452,-1.9099820214230714,-0.2928250191778112,0.3353276058616055,0.27909779956814895,-0.7001395719294615,1.2896116011107488,0.02660854941743289,0.31836994883990605,0.09600640812213922,-0.16876135403089373,-0.065825911968834,-0.0015373387226739403,0.027999775459597694
8,relative_humidity_925_min,4.441169221083631,-1.8791907617665429,0.05899272785880005,-0.6826456905702633,1.463492618589546,-1.9432513888652914,-0.5399636400480832,1.179420282021415,0.9151131290775033,-0.5239598798727022,0.2498027881354429,-0.22567623687680133,0.11508807225507993,-0.4649317919714054,-0.1610223136335169,0.9813876675616577,-0.09830333191952359,-0.7488784332636153
9,relative_humidity_925_min,3.556203598428635,-1.912015399685979,-0.06428932488319132,-2.1891773905321337,1.9794907239826949,-0.6731121510433955,-0.9688892710050643,1.5572093567178822,0.3364556911493772,0.5829037176868623,-1.1101222338419048,0.14419474552822176,-0.41224890496351274,-0.005323257069264006,-0.20288620590295503,0.4201555707097535,-0.46452660026516435,0.1961633958029985
10,relative_humidity_925_min,3.322133052237555,-1.0192332106056623,-0.232836220854995,-2.3590992608441317,1.3488974092393333,0.06910410557558075,0.11971577309753552,0.8274010378137111,-0.7977836061504967,0.7054035101748164,-0.9344818290837112,0.18248044620696566,-0.6263607272848647,0.46980813992124715,0.5184508254071605,-0.21621931353991905,0.8790014041548523,0.8913171360377425
