time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,geopotential_500_std,-4.199873230246084,3.4516778048333623,-0.9426508516297833,0.5131226583233764,0.347093780117471,-0.4471026535567921
2,geopotential_500_std,-4.246682057551778,3.513376287734334,-0.8118846573659558,0.4337538282679866,0.2028089128876294,-0.30493670389863875
3,geopotential_500_std,-4.2925447173643425,2.965039567607633,-0.772495485273465,0.14787211751815296,0.03997056662351713,-0.021758333251145828
4,geopotential_500_std,-4.217604810313145,2.0982807363386544,-0.38094559825433744,-0.04990555200094458,-0.15684708451287363,0.23351839705917518
5,geopotential_500_std,-3.9965736881904066,1.5236957875984827,-0.13901493922171188,-0.2125076258379705,-0.17195908061278967,0.47770639974216794
6,geopotential_500_std,-3.840505155245078,0.7151568556172616,0.18827139758626807,-0.42548172515047394,-0.2730901253634643,0.3350883860742953
7,geopotential_500_std,-3.5783134848299145,0.03748455314780124,0.6126061941459328,-0.6103829656437997,-0.33832704310275513,0.3317846837933513
8,geopotential_500_std,-3.323375261257673,-0.3754602571310051,0.8455405998748117,-0.5968375009435947,-0.2857993547299388,0.2938591125848581
9,geopotential_500_std,-3.093500571123491,-0.9534896857208662,1.1027157730195027,-0.7235039555847064,-0.22528203275312994,-0.0084895086382508
10,geopotential_500_std,-2.9276267823963895,-1.28409944374302,1.2972070020768918,-0.6451720582246903,-0.18050584376091172,-0.2448033016246787
11,geopotential_500_std,-2.6465256746147974,-1.6225389418333427,1.2696664943427678,-0.45047670337631324,0.009378631920439843,-0.37981361045463236
12,geopotential_500_std,-2.6693555237723285,-1.6325061796372566,1.0894587968818341,-0.16512238449886482,0.1407251633059058,-0.3987818427518634
13,geopotential_500_std,-2.1804073435361833,-1.8052502530796866,0.7681659979265595,0.1715400064391529,0.44139558518294486,-0.30216414620993287
14,geopotential_500_std,-2.0368093217442804,-1.7356999382404636,0.5458808459207902,0.3544809539709417,0.6531559545374189,-0.08400123624918117
15,geopotential_500_std,-1.7867733465348015,-1.8316186710332683,0.36746148683663354,0.46574757364647584,0.5337064592237485,0.009200577265082553
16,geopotential_500_std,-1.40608730957381,-1.8563609263095848,-0.040068076183268235,0.8586230714287121,0.4892443847421431,0.21050249687733114
17,geopotential_500_std,-0.830231578912612,-1.789055754959574,-0.3187694289371486,0.7907545875372632,0.26761117059156386,0.22880331095389755
18,geopotential_500_std,-0.34696985797650265,-1.5078265847659447,-0.5845685611690589,0.696461835624288,-0.15746841723840763,0.24884087248152767
19,geopotential_500_std,0.2238249597107811,-1.3420781139782858,-0.9196729369929513,0.8122119702566893,-0.3716626490811156,0.0925183282282438
20,geopotential_500_std,0.6065317444564154,-1.2149927027862137,-1.0500552608380282,0.5798415665746683,-0.4472095970989995,0.07612511824155449
21,geopotential_500_std,1.0214665040069955,-1.2452485336436405,-1.1728654933056717,0.22045764360362505,-0.5644505860897496,0.06769194892646183
22,geopotential_500_std,1.3417098220491164,-0.9952351281705951,-1.4157236234456687,0.045175503736843856,-0.6419694479071979,-0.03707508430604519
23,geopotential_500_std,1.7926862689039862,-0.8348225057214267,-1.456432556592237,-0.26458432677834204,-0.43452015516961984,-0.11018432204432406
24,geopotential_500_std,2.2126228414451448,-0.6803729724205579,-1.376833659250098,-0.5154286329029001,-0.3731121135118514,-0.21164652302837825
25,geopotential_500_std,2.6266634662344654,-0.3044710199370201,-1.2824502198756436,-0.4567227749602726,-0.10101386882321546,-0.29715409185739255
26,geopotential_500_std,2.96490146635919,-0.2081829409097496,-1.1360296051416159,-0.5841149557125159,0.2395377159643168,-0.2413932344224491
27,geopotential_500_std,3.221952648884323,0.2666885012933747,-0.9577764927717529,-0.5410171167822433,0.41154435084117175,-0.2098378936819357
28,geopotential_500_std,3.3410131408946113,0.35917969834140484,-0.7271274374380455,-0.5609875733375765,0.5597808442971467,-0.11080991816994123
29,geopotential_500_std,3.628385531489585,0.49682500878776564,-0.3449450234522682,-0.42718756603732316,0.6302646592749298,-0.0869719206451575
30,geopotential_500_std,3.7600345836456497,0.6090356448710429,0.004508318880067792,-0.23797516901440893,0.44434707571912285,0.2331564474074004
31,geopotential_500_std,3.993851446286204,0.8331639053361086,0.4233661016865687,-0.18626691849476265,0.37603164193909006,0.5416320282425743
32,geopotential_500_std,4.166102782352687,0.9187250552718791,0.7098355211982175,-0.07789327037719829,0.2709180094067293,0.8229388642449458
33,geopotential_500_std,4.092019977890203,1.1197539032072372,1.340323500614683,0.21126219429544021,-0.12863439591152012,0.11389491019999326
34,geopotential_500_std,4.13650841844545,1.2770677274442197,1.5384458101247533,0.34635691984876715,-0.2554589260061508,-0.11285929742450562
35,geopotential_500_std,4.196831924570854,1.4587632551084406,1.8089582257902364,0.5049717537893548,-0.4087732018350237,-0.33286939175000674
36,geopotential_500_std,4.292652187557967,1.5753962614825048,1.917897840232195,0.5789345907971624,-0.541430983066579,-0.3746088683576178
