time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5
1,relative_humidity_150_mean,5.166982281204768,2.8734707780711317,-0.564002866519044,0.9713554514632353,0.27546004183909173
2,relative_humidity_150_mean,5.267418685076064,2.7936544417750793,-0.7798340069124269,0.9050462983981298,0.07505674682239115
3,relative_humidity_150_mean,5.1848601330280095,2.246108628303933,-0.6942314837300332,0.5145920335817944,0.04204891756662169
4,relative_humidity_150_mean,5.056011240583991,1.5328687568146284,-0.5361011500382226,-0.10459448864646777,-0.048222469175872126
5,relative_humidity_150_mean,4.860259828352692,0.8030515730060227,-0.31787574432753224,-0.5608091138261118,-0.11251238632849654
6,relative_humidity_150_mean,4.674009411493687,0.2234930487108346,-0.13142123898645083,-0.8246461073551963,-0.12296573709549245
7,relative_humidity_150_mean,4.540988801997294,-0.19880410629105838,0.012595700308810364,-0.9194320062878489,-0.21226291071811038
8,relative_humidity_150_mean,4.328601688767076,-0.8273687229370731,0.20383759786031103,-0.9203397439755778,-0.1427574890674097
9,relative_humidity_150_mean,4.190111736474733,-1.1388144267408578,0.3774858303692055,-0.6390695276738125,-0.0799858704627168
10,relative_humidity_150_mean,3.849790059917226,-1.3719423694569524,0.6180609838267813,-0.44745430153904325,-0.04035511607579608
11,relative_humidity_150_mean,3.4272352090844413,-1.5626513823532322,0.9886742248686007,-0.1601577474233795,-0.04855759539745871
12,relative_humidity_150_mean,2.8572485684065234,-1.6638181293594527,1.1052262248995195,0.1739189239792075,-0.06741293036848685
13,relative_humidity_150_mean,2.277828705551975,-1.948181149985999,1.0785209778820184,0.42977184451333383,-0.09778548287089099
14,relative_humidity_150_mean,1.2931991974577925,-1.9102205936471235,1.010820250785087,0.9991201642923794,0.006182147814933795
15,relative_humidity_150_mean,0.5637190274148806,-1.8455813651682653,0.7583219671056799,1.223848354283157,0.101800658639258
16,relative_humidity_150_mean,-0.6175531823722317,-1.6637520508300854,-0.10129285090356444,1.0678612910628076,0.09943698772803976
17,relative_humidity_150_mean,-1.4206386916364981,-1.356169510975924,-0.7333226699266718,0.6826529047582663,0.22992511554958023
18,relative_humidity_150_mean,-2.0019313896638686,-1.160477254182834,-1.2576185497150985,0.2347806586450974,0.3685882829493735
19,relative_humidity_150_mean,-2.1185156575928925,-0.9830012827176875,-1.3046397255873137,-0.027259441188715896,0.34780204996715713
20,relative_humidity_150_mean,-2.060434333926683,-1.0732920236473655,-1.2507774496611859,-0.27075148210317235,0.278902151289801
21,relative_humidity_150_mean,-2.2069710041827926,-0.8804106127184654,-1.200241892311361,-0.35370399068687963,0.20271088413534816
22,relative_humidity_150_mean,-2.327426038939622,-0.7264339617817075,-1.017374989235574,-0.34731090163167433,0.301420778628263
23,relative_humidity_150_mean,-2.360753493962956,-0.4860652643975274,-0.8954584239076152,-0.38945831864110225,0.1289516027599952
24,relative_humidity_150_mean,-2.406547180036076,-0.4236729672665696,-0.6429203799305051,-0.3290922764394829,-0.11171499736295537
25,relative_humidity_150_mean,-2.7043073156099617,-0.16018969648667825,-0.46170029216237335,-0.26902665835510675,-0.11179021558005871
26,relative_humidity_150_mean,-2.9902048624156867,0.02547292844320564,-0.30368098173469554,-0.10259251790532081,-0.1898340470046163
27,relative_humidity_150_mean,-3.22693052359432,0.24356848294770392,-0.21717182544094044,0.010603401119846013,-0.3858480109732177
28,relative_humidity_150_mean,-3.588350164094188,0.605182763284746,-0.14063843854751215,0.12704108677443238,-0.5278977408427076
29,relative_humidity_150_mean,-3.7160424082732813,0.8317089734836339,0.07749712551279017,0.12326552656291608,-0.5525969188181286
30,relative_humidity_150_mean,-3.776616922267283,1.0177247368153868,0.15704730730915745,0.19952297506293137,-0.7202163407899022
31,relative_humidity_150_mean,-3.558531135470721,1.07944413737734,0.5025682493690552,0.12239446878063874,-0.6726266511123393
32,relative_humidity_150_mean,-3.4656503906090403,1.230176345576985,0.7631824281616936,0.012903925672338182,-0.35566262372005164
33,relative_humidity_150_mean,-3.3892115502732105,1.2882177064929559,0.8993649329906723,-0.06170902421229637,0.08168591542599325
34,relative_humidity_150_mean,-3.19635067918097,1.3704648352303423,1.0822758605665266,-0.32003880641756677,0.4440705171026298
35,relative_humidity_150_mean,-3.2305966186356576,1.5439820969451041,1.3360312173868136,-0.3370885022499808,0.7152504228184035
36,relative_humidity_150_mean,-3.1747010320732105,1.6722566376658332,1.5787940803754041,-0.4141443523917622,0.9017123127278278
