time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7
1,geopotential_1000_max,-2.1237577591121704,-0.9768718400225916,1.830067473394638,0.5136964115205706,0.223653703500575,-0.008569430739385927,-0.21214754813557687
2,geopotential_1000_max,-2.154756045236785,-1.1111651925533317,1.8329831083082453,0.33104379164507575,0.2469226782863947,-0.04161476224988468,-0.26166308124244786
3,geopotential_1000_max,-2.45655859667717,-0.9487432108916158,0.48719216694558287,-0.13906360123855058,-0.23301131325105848,0.25110617783388123,0.5136156314554118
4,geopotential_1000_max,-2.302847022324197,-0.9122138982134941,0.1753158698924489,-0.1204224593402377,-0.2453583264621771,0.09605588488528131,0.3667379225944745
5,geopotential_1000_max,-2.287560728967391,-0.8418850086696937,0.05478910321172878,-0.18478022667880692,-0.23678982852323022,0.13873039853939292,0.2916645790152589
6,geopotential_1000_max,-2.1943152939224038,-0.750344865876794,-0.10107938713473043,-0.22757851522613548,-0.21967417128454356,0.04567842414510463,0.07385480753551926
7,geopotential_1000_max,-2.111077282579591,-0.6952158011107175,-0.33292197325297296,-0.2433706379396821,-0.22706585732312914,-0.011087781428005188,-0.12857042608264657
8,geopotential_1000_max,-1.995833790550957,-0.6422708370041673,-0.5206169284699989,-0.2825366243666365,-0.20451377899261186,-0.11698277701915265,-0.28084972286221843
9,geopotential_1000_max,-1.8699364515330983,-0.5196299651041904,-0.6270837174137449,-0.27644060785339103,-0.0893924027286584,-0.17886138630177256,-0.2387013209868885
10,geopotential_1000_max,-1.759362447407613,-0.4322220333321373,-0.6467957688738698,-0.2071229449877825,-0.08643886716698686,-0.17184410167889128,-0.309531501128577
11,geopotential_1000_max,-1.6995257717544772,-0.3299684640354029,-0.6869650112487296,-0.17638609513453607,0.0020289662261918917,-0.18273568715345873,-0.214814584167459
12,geopotential_1000_max,-1.5635058371842065,-0.1497290016559079,-0.6433589685684727,-0.05917016149641086,0.09197767686691594,-0.06042610061585975,-0.13441835734818106
13,geopotential_1000_max,-1.5372303653081527,0.25795033843327353,-0.6388691250210429,0.07021338707206341,0.4759628601560128,-0.1190330153045053,0.18510109209250947
14,geopotential_1000_max,-1.363666746151605,0.431859697927666,-0.5039483610881771,0.2141247963008521,0.512335441154906,-0.10087726362636591,0.20712782048600903
15,geopotential_1000_max,-1.200991133310275,0.5772658119203311,-0.5443013857734461,0.1704318702566759,0.484101030335436,-0.05554432120219233,0.1927820284532334
16,geopotential_1000_max,-0.8883416623771607,0.7482726916267554,-0.43892649170551684,0.24644929875008662,0.39930722117609335,0.1195144088999397,0.10816049837898482
17,geopotential_1000_max,-0.5985651668352366,1.0171985486837745,-0.2993627133860282,0.4620671611166587,0.17032836482070612,0.1662909834147153,-0.07306855970006014
18,geopotential_1000_max,-0.30714090182367143,1.1714388954544936,-0.20087648095513125,0.38812493129456294,0.06679891582932924,0.20532287687049722,-0.07429804551696081
19,geopotential_1000_max,-0.2362809856072289,1.3000634951042613,-0.12302412658491338,0.40145816682757085,-0.12457704227563024,0.1980270554360873,-0.09241874603855194
20,geopotential_1000_max,-0.045123968761829295,1.4352750981699534,0.01447966394382477,0.34228629928435556,-0.27375093220976526,0.1548051135637566,-0.08579980499654885
21,geopotential_1000_max,0.2072723376048181,1.518519028559583,0.08410407290012277,0.35144365265736716,-0.4117274198271785,0.07088551990257233,-0.09707081563102649
22,geopotential_1000_max,0.39209399509141984,1.3980645205932491,0.18161634875683658,0.1911220022309343,-0.4503749756209872,0.05795512544960072,-0.041299222539411
23,geopotential_1000_max,0.6487822470386742,1.3025211984026852,0.2154513947627115,-0.05140685451249436,-0.3824799884787876,-0.01681118035834086,0.0629202096332889
