time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24
1,10m_magnitude_of_wind_min,-3.9624347793271633,-2.6921290109426588,-1.577230776012731,-0.8593245271148874,-0.20801364382801257,3.2419773198717126,0.9751751858942853,-1.7551194040324885,-2.414364847146629,0.010097554665690059,0.3502312691638309,-1.2979832469553738,-1.1307751350727802,-0.1241283148680064,0.7852828103306726,-0.26774213747764875,-0.5854778157395512,0.38585881336550987,0.41478283638661434,-0.25508950480751347,-0.202479658362816,-0.6663890779126002,0.5882595855759315,0.24678534957511242
2,10m_magnitude_of_wind_min,-4.337304717549634,-3.4885968601382507,-1.0810502357821463,-1.7101334143385245,-1.0931035789181596,2.171738134461088,0.16140989389311147,0.16486014953849024,-1.4699593463809828,0.5312188384837275,0.15981386068619377,0.19442462016833523,-0.10901292080272307,0.7852980055462955,-0.11947577704547192,1.1314737952467122,-0.7050856938888334,0.00542263485041542,-0.6547996891734661,0.1902959780883762,0.03880989734844412,0.6762211783766827,-0.173416848947897,-0.021676303993653747
3,10m_magnitude_of_wind_min,-4.292228444126219,-4.011386555789745,-0.507344770932095,-1.0064520816078244,-2.1664034426772165,1.2272596434002336,-0.6854596898045261,0.1416319252803353,0.08252279886266162,0.3771491378534061,0.45711736088435845,0.8745173070302142,0.6980711689140662,-0.8158436221963214,0.6713159783075477,0.13636925932937902,0.6692000117139314,-0.20139915400685754,-0.21536327363804716,-0.4343045218633654,-0.01122352949054899,0.3242928393754062,-0.8347765626982301,-0.3256703190492531
4,10m_magnitude_of_wind_min,-4.62503559080574,-3.86785005796015,0.3157881765346494,-0.42905418793826355,-1.6617194183239292,-0.03093530369278391,-0.371453013518418,0.2228880933512253,-0.0956745606911566,-0.37325350507321775,-0.5077462915338957,1.3584545944222457,0.6784032324089352,-0.3150129658528982,0.047794560973466745,-0.5270056568343578,0.4684635068055741,0.47544988717008885,-0.3080118375730117,-0.16864157838627913,-0.19368820824533414,-0.3486208079998166,0.5094486952528186,-0.7316494743817313
5,10m_magnitude_of_wind_min,-4.401376648503842,-3.374035846936622,0.25158644752632486,0.3791643914542882,-1.629778140111752,-0.9758985049554739,-1.0485429162480524,0.39021784521302877,0.5021132622151616,-0.3572062885729279,0.17919888002962645,1.3553116038494535,0.16158425439027946,0.2483588135188738,-0.3760073242852325,0.5517472948152002,1.2249058543377824,0.27954408378678974,0.40439184951564555,0.07317641960574957,-0.24419197964779615,-0.5112397865033601,0.5735754065099481,0.35291400344257257
6,10m_magnitude_of_wind_min,-5.016944410917982,-2.9709555133338363,0.2397655304072881,0.924830884686697,-1.3991190257478319,-1.2196252895711392,-0.7974146312403081,0.4556312750966298,0.3374154241809911,0.11183566316960789,0.8778148469697874,0.21238825717296778,-0.5003617414563833,0.36094016692564107,-0.2431578831447203,-0.37457292479547244,-0.0046743385234260006,-0.3785747006161824,-0.06161951827437999,-0.05332646730670573,-0.2827242260547786,0.2991223005970602,-0.2678884913099998,0.15495220487675007
7,10m_magnitude_of_wind_min,-4.673727393736106,-1.4913185364508632,0.4969092231195027,1.4455954631436105,-0.1246615476057725,-2.2355180168344857,-0.12696823259325846,0.5257744499055712,-0.04979334399804395,-0.4497991659620585,0.5136069040351314,-1.4882715923258099,-0.2852142067525817,0.09736859382176045,-0.46035329767672917,-0.11810111574919782,-0.21741382571801982,-0.06698602981629065,0.3014793363573967,0.6862807562245085,0.23935463897952272,-0.38093380296473905,0.38028685919472166,-0.5619400577959914
8,10m_magnitude_of_wind_min,-4.690888066780697,-1.2745045948924527,1.001151227244004,1.7188943081856378,-0.41366599885296174,-2.3625086603620784,-0.13524207104174177,0.43613893801249354,0.13681417139393875,-0.7355562742137309,-0.08062899865779051,-0.3118767254900435,-0.3584587495872081,0.023304653268311652,0.47639106845915535,-0.5546429277211145,-1.0960254515342513,-0.22300972547783027,-0.08243526443216903,-0.1332166128778149,0.47316033026656995,0.47333948508573925,-0.27134790677555853,0.3258879700850565
9,10m_magnitude_of_wind_min,-4.530306836200813,-0.7285130555924635,0.7801845840290494,1.2626504396823568,-0.03217175044523604,-2.2286440527274136,0.07875812491215022,1.0635862485689904,-0.6795610661312929,0.1044503285902447,-0.5499143451504597,-1.2914877877514295,0.4191888536316987,-0.90783662901503,0.9835522977943372,-0.18505541968212377,0.04756586396499954,-0.17471591762063463,0.592576978675796,0.017944122122479467,0.2551027994947508,0.18324430896136198,-0.08215183920370184,0.794065863691112
10,10m_magnitude_of_wind_min,-4.442582550672036,-0.42359431419438054,0.6424523721182471,0.677076676826387,1.8116924623240325,-1.232898212724771,0.8370312170061042,-0.9613306202190529,-0.2890783417386877,0.12475237579677839,-0.28655942090290365,-1.511211586196349,0.3403623064991578,0.3804379894373232,-0.9483544853402147,0.3443430017427209,0.3023944684913597,0.35382782762415244,-0.43413498992161,0.167786131837002,-0.2527362570290985,-0.44490274329702795,-0.1684330035632831,-0.5737346035409863
