time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,relative_humidity_30_mean,-4.228193036235698,-1.9775833474388478,0.21450249499312823,1.006876417169374,-0.6972558899567723,0.3560895986976143
2,relative_humidity_30_mean,-4.264491835195731,-1.8932277663302224,0.19693221476874104,1.0354571313664926,-0.5513410611171065,0.19630262279135985
3,relative_humidity_30_mean,-4.2171430720892715,-2.2119546966879944,-0.11794591049520704,0.8783908925287656,0.23350777944521542,-0.1784863301422228
4,relative_humidity_30_mean,-3.9737696450650475,-1.913491056969173,-0.39266857710292835,0.40677578592671043,0.7161864656857907,-0.30856452874259743
5,relative_humidity_30_mean,-3.7019993697675244,-1.3260256943172781,-0.4098164418446479,-0.027310743733074325,0.7583256371606569,-0.2725469810750794
6,relative_humidity_30_mean,-3.4057034360151714,-0.8405474111396702,-0.25429638729976023,-0.41324367567189835,0.45569794020372667,-0.16361185645412182
7,relative_humidity_30_mean,-3.217594767147367,-0.7290541163854514,0.06945422445815215,-0.5175192063548014,0.2600853153672753,-0.1593763312537909
8,relative_humidity_30_mean,-3.303269446220616,-0.555149084979743,0.2630074009056645,-0.5891060910139282,0.035032980951859576,0.03533072205865067
9,relative_humidity_30_mean,-3.0706539806666258,-0.5620208576252301,0.18716358088115956,-0.6521153436756996,-0.10006672621996067,0.14203037587443035
10,relative_humidity_30_mean,-2.7039255333775745,-0.5297764241772733,0.13854817559931645,-0.6447533992083023,-0.31402671017689143,0.3413047637230993
11,relative_humidity_30_mean,-2.3718720718226325,-0.174799562933667,0.23956079813394002,-0.774903938254625,-0.36281608274039107,0.2898470713601592
12,relative_humidity_30_mean,-2.3585184708747904,0.2597885125347091,0.22448081019768826,-0.6207100991865095,-0.37653925862305054,0.14171229084679215
13,relative_humidity_30_mean,-2.3448043164040824,0.5462712339277564,0.4218716937262923,-0.43859425088584725,-0.5521339116296359,0.19130865503514147
14,relative_humidity_30_mean,-1.9346267551174854,0.8788180603236159,0.3790504010258046,-0.5784366383685942,-0.09231800478315792,-0.052920000262897005
15,relative_humidity_30_mean,-1.7302939532781938,1.5009449305360951,0.1253967849413858,-0.3178831514101691,0.28152805825148314,-0.21342736588001898
16,relative_humidity_30_mean,-1.5393346037424114,1.9505525795312595,-0.20268732990913776,-0.1327672644134185,0.36259982952694797,-0.2949309488875195
17,relative_humidity_30_mean,-1.179892214767035,2.2488357050197854,-0.5568777206941826,0.17862454610175765,0.08811166445414882,-0.18942611124947428
18,relative_humidity_30_mean,-0.8954656652790609,2.514791563575601,-1.0743572698694077,0.38251388029107497,-0.010466931739457983,-0.10503775911197602
19,relative_humidity_30_mean,-0.5699499323005123,2.496380667163363,-1.0968543899038152,0.6262719184381511,-0.15943416978443825,-0.07712396828630047
20,relative_humidity_30_mean,-0.5713333726920412,2.277071680760904,-0.25418190802982527,0.09835812323780811,-0.08649708205984719,0.22470055520812499
21,relative_humidity_30_mean,-0.06656752958065502,2.3985978361244866,-0.5588487270356939,0.3210376413297063,-0.03956770275633383,0.10365759975588797
22,relative_humidity_30_mean,0.7393079249199017,2.0248671122177777,-0.14480437330507834,0.4319578981755105,-0.318718875558993,-0.0052146225949257444
23,relative_humidity_30_mean,1.6034559941773692,1.3637668721734564,0.9350632033175154,0.12991213227503787,-0.19326028435947276,-0.24593493464585528
24,relative_humidity_30_mean,2.171180798692967,0.7901620813299153,2.010392609980789,0.16437449314798724,0.1256522299582057,-0.44648621390251747
25,relative_humidity_30_mean,2.875091941886864,0.1879263600673999,1.88328470418496,0.3276681652770168,0.13567613263134354,-0.27659614345851713
26,relative_humidity_30_mean,3.3602517013664475,-0.16357942504026637,1.230616956223973,0.2424202733102299,0.05372447825507603,-0.04801195490337435
27,relative_humidity_30_mean,3.570902927973195,-0.31098307124819907,0.6041335775935158,0.16009172763232682,0.2141483932837911,0.13869005097592835
28,relative_humidity_30_mean,3.768233031907357,-0.33462033124198054,0.1506622623306805,0.2940562760359065,0.30004502711278036,0.3580292290156093
29,relative_humidity_30_mean,3.6283600235038134,-0.10676982100176478,-0.11433929873847641,0.48360815642369603,0.44732548221304025,0.6812438945661485
30,relative_humidity_30_mean,3.730377637442462,-0.45129274419153614,-0.16347619670629263,0.010879607093680747,0.4009397696426294,0.8657488455524082
31,relative_humidity_30_mean,3.8960519432329463,-0.7329932484882692,-0.4465300867425709,-0.39884582574340655,0.20974688536219005,0.5692655776528047
32,relative_humidity_30_mean,4.260844529353288,-1.01918829085158,-0.6254569273932923,-0.36859033796883384,0.0737708707005461,0.16122063438554737
33,relative_humidity_30_mean,4.1990900173582615,-0.8035799574882831,-0.6668199589298686,-0.33716491110630914,-0.1275905562278233,-0.19814629566233194
34,relative_humidity_30_mean,4.42475488352766,-1.2476358311743927,-0.6685286698802867,-0.20707064518636403,-0.27300608677750104,-0.47853213928933297
35,relative_humidity_30_mean,4.6428103966114485,-1.636236007449234,-0.6758808170922227,-0.13468466799305218,-0.3607407915583132,-0.5375760582524818
36,relative_humidity_30_mean,4.778689255685544,-1.9182664481260714,-0.8497509022900076,-0.02557487558640212,-0.536324814137566,-0.5445319434443647
