time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10
1,large_scale_precipitation_min,2.6509405146514355,5.1498063191880945,-0.6831209507222619,2.7161690393507687,0.8838198006730966,0.9819026921251701,0.08864303808718245,1.9400588826922076,4.38446204228395,-0.39581709407214216
2,large_scale_precipitation_min,2.888943829729641,6.268374937442142,-1.1261414944841501,2.8013633581142656,0.6407523637937029,0.533378335490497,0.2567366315344336,0.20236116467326665,-0.1557766648312529,0.23587828173434222
3,large_scale_precipitation_min,3.2758724770698713,5.8988833171870185,-1.1426139200323642,3.101608813759672,0.5831672682866265,0.044611528166450636,-0.3036789554730572,-0.41325980959114206,-1.061206098649801,0.33566341375774256
4,large_scale_precipitation_min,3.6914377956069897,5.567166632303607,-1.135527023094201,2.243309795653464,0.15698308247340265,-0.45300830225017713,-0.3239653217539832,-0.7974215856596395,-1.5707372851491779,0.2879318154467846
5,large_scale_precipitation_min,5.4034140230588585,2.2817701567638005,-1.3383133135020917,0.1348984415163385,-0.8534355639746748,-1.8992403428681008,-0.6708580984642106,-0.8711154619119413,-1.1341796081669107,-0.143782478961495
6,large_scale_precipitation_min,5.21322791760445,-0.6845476797263231,-0.839261213746401,-2.6394471423221035,-1.2901873695355857,-3.0154665024736005,-0.17977204601402177,0.03197538029199208,0.35522735948340256,-0.09012382031446432
7,large_scale_precipitation_min,5.431781580280652,-0.999926659272568,-0.9010256226797285,-2.359153162406714,-1.2278426596358425,-2.6443938510216114,-0.6298720121618898,0.13942683596450411,0.48432574198158024,-0.18173028797797505
8,large_scale_precipitation_min,4.880744190904004,-1.0630472456818194,-0.23492042897634305,-3.171544771821353,-1.1211238336090734,-2.6825823845362016,-0.1779808773144644,0.27568677919534146,0.7049646188832621,-0.43732380164686807
9,large_scale_precipitation_min,5.3287355623963935,0.39051203216748953,-0.4905104427714408,-3.0834841329632234,-1.3217426308258897,-0.47448048160368467,0.50576116377748,-0.41860657074122076,-0.22884261860990168,-0.5614909691048926
10,large_scale_precipitation_min,4.9733442629332245,1.7092161931737426,-0.7764051744152857,-2.0758834873348744,-1.1937031375393974,1.9087188597459612,1.0019098123146262,-0.42748814316911093,-0.8281450641643496,0.43432664474405314
