time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22
1,relative_humidity_1000_max,-0.7839264344428529,5.9610019847057005,-1.1830397144744593,-0.03479177421553869,-2.1881835258800146,2.590078895121028,-0.04627222788685356,-0.07807242218199172,-1.5039494931169721,0.052775771927406505,0.44506107977811676,-1.3664267328080026,0.5528577702806686,-0.31273442336934704,0.46066749571581156,0.1119286556698416,0.10647244383605038,0.7732601047847982,0.3562276772306656,-0.3253685704092455,0.7297446420790267,-0.23459572659858374
2,relative_humidity_1000_max,-1.4212385808927914,6.457900084589544,-1.5039252869275177,-0.22871321511110107,-2.2716719195534587,1.8676237769417254,-0.150265288418085,-0.390617708612085,-0.29180815821418876,-0.3247773323362834,0.27969207748956065,-0.34605479703727415,0.6927512212782965,-0.22616549174747444,0.42802252587696893,-0.050831721978836834,0.3628006866942818,-0.46052855688445593,-0.28701967917103355,-0.29823827894150584,-0.889351171296102,0.06344091721274922
3,relative_humidity_1000_max,-1.456181602421641,6.298138266601631,-1.5133653357031787,-0.34380061709296095,-1.9988460928739376,1.3518807241726964,0.3877371957338467,-1.1044097969486169,-0.020228754705741227,-0.03155586089660349,-0.39956852013582245,0.08322866436487686,0.03860807547033684,0.07527287940961185,0.023434630626813568,0.4202191314801175,0.24697428581651482,-0.5454884129971365,0.24498280999561084,0.44757612561415844,-0.4391352556171938,0.20554577735543367
4,relative_humidity_1000_max,-3.359613438118041,5.135368583255465,-0.09583423041130604,2.0270584194610617,-0.6884417616263464,-1.087751348997604,-0.9424048482792391,-1.0790318470250424,0.9398579526659105,0.758571192537454,-0.8339433450293835,1.2496907580073893,-0.5234897468631169,0.36559241699954187,-0.3528201340315716,-0.15178373808234347,-0.23113721251830377,0.21385101791802807,-0.32794201143032825,0.2188722338654924,0.5569486175139508,-0.03683045900407919
5,relative_humidity_1000_max,-3.333572384533698,4.94639395649729,-0.627511570005883,1.4280873292639136,1.1451807186011198,-1.56120928178391,-0.5654055334191548,0.3984620229942651,1.4396141249952668,1.1528128220036835,-1.2012943260266848,-0.09975373814174128,-0.3258941783714904,0.5263873920075289,-0.9991096510172753,0.366654297293016,-0.9278738519744919,0.44568162600806843,-0.2609704189586543,0.14688052451598593,0.1974884234586798,0.24722227674404115
6,relative_humidity_1000_max,-3.7266403880289074,2.49486290900386,-0.08535708084401596,0.6208396213280761,3.144252626477176,-1.2867188956512372,0.6269447270677015,-0.14209443603037733,1.137181220559994,-0.5371734611890895,0.18019785350879172,0.3859313424828281,-0.2811753783672938,0.12693568086914683,-0.6577831815599016,-0.2977985873300916,0.3182805452239372,0.8290394219471425,-0.042141611722924015,-0.47075677606344274,0.27728345789481185,-0.7786107410906893
7,relative_humidity_1000_max,-3.5165873494500492,0.9736505855836854,-0.6922863037683045,-0.21747726680015328,4.145490375408072,-1.0741035991305232,1.2485113133946248,1.490469445217907,0.9332072866034634,-0.7077277785237212,-0.37961547768803666,-0.5674125162777085,0.47970672619529664,-0.4557779231326305,0.6098559951998794,0.1935549241833426,0.3580037443694376,-0.15169746683053786,0.3354322892741751,-0.7398847012514764,-0.6942285476838076,0.43012551709765007
8,relative_humidity_1000_max,-3.441309983145765,1.1331445698984888,-0.751177369286196,-1.3878408256195385,3.3948387526697914,-0.8730949911415551,1.5376838633900605,0.18057961194104255,0.379790430914624,-1.0323624235438373,0.6673626405342988,-0.2264855576736454,-0.008085775902793774,-0.4380694174808537,0.5763752033934116,-0.1580771540257822,-0.09513925840535957,-0.6440987284867357,1.54344641538442,0.6987037173080337,-0.11976698024416942,-0.13165673981958192
9,relative_humidity_1000_max,-3.1162228125122176,0.2585170497114288,-1.406879629557309,-2.627250796102469,1.8019742843872255,-0.7382205475549583,0.1318063423704309,-0.17114789019539114,-1.8455972976836368,0.7345760807201653,2.682323821184397,-0.576370266987802,-2.0847546552811056,-0.5323885998480712,0.4499491532640333,0.0502046449449893,0.8451454487211494,0.14623695931734362,-1.1155564497743595,0.7249188760484325,0.22094533422207127,-0.3326696997252088
10,relative_humidity_1000_max,-4.30961269302639,-0.7736038775891315,1.1930925967523398,-3.2791340188502467,0.9083846945720637,0.09096253370214336,0.09640463205085753,-0.9647313239156127,-1.3374196579973567,-0.8080046091815156,1.0537757513905437,0.15814798507630556,1.1349314619537092,-0.18700586307644407,-0.762180088234205,-0.7831551921854718,-1.4698677122707615,-0.654747611039226,-0.6223298866646788,-0.15911930974424326,0.3274821509745164,1.131045527785371
