time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8
1,2m_dewpoint_temperature_std,-3.2817871231536477,4.66473148993021,-1.6851818968565135,1.785660786818265,1.3626766862672008,-0.32425330703335103,-0.4865045581084758,0.30535029000710906
2,2m_dewpoint_temperature_std,-3.4299821782260604,4.121653535507604,-1.5880441307940332,1.4501536673734856,0.6876175722028603,-0.26102142470532325,-0.28309099475161953,-0.09151092365549339
3,2m_dewpoint_temperature_std,-3.455295469980297,3.8572738712543964,-1.3630665103562323,0.7752896976836225,0.11384905687058543,-0.10842455870473082,0.18532621556463483,-0.18435847145647452
4,2m_dewpoint_temperature_std,-3.578955991453525,3.1113870316292838,-0.96509312185548,0.1868693231237123,-0.1358337974044485,0.131654580969302,0.2922700080380863,-0.09854701194360624
5,2m_dewpoint_temperature_std,-3.660490760270517,2.7002398663379372,-0.6815492142461572,-0.21454882126167119,-0.542959392726412,0.2808649491371717,0.30154144084002327,-0.032635596058424164
6,2m_dewpoint_temperature_std,-3.645863338312234,2.0742582866582624,-0.2143505874632365,-0.5391639259387274,-0.9247799617499631,0.4436921938572829,0.2188809042949112,-0.01127323268664371
7,2m_dewpoint_temperature_std,-3.510041514047116,1.3070444817144804,0.1455661056632109,-0.8672157161187768,-1.0732381822165664,0.3771896510148113,0.2612850782520669,0.039802092391343004
8,2m_dewpoint_temperature_std,-3.431186332927895,0.9267776059538486,0.6281239692192229,-1.2301323456192472,-1.2085526275397585,0.3010674845978755,0.10997312919008863,-0.006689574601399194
9,2m_dewpoint_temperature_std,-3.271069279134743,0.4351098350143083,1.0457182005456607,-1.3167754061167034,-1.030784905048635,-0.06847270559265768,-0.1531331048011509,-0.06940268169662256
10,2m_dewpoint_temperature_std,-2.9730563213165437,-0.39345387147448246,1.3916960273816594,-1.2263206300392868,-0.45964738275526024,-0.1793206733209035,-0.2315400666475616,0.10474958819838863
11,2m_dewpoint_temperature_std,-2.763847208389832,-1.0920163017902282,1.6239130337344019,-0.7999229164015579,0.15310664647756506,-0.5964054615603067,-0.3920093741154823,-0.03282420188716747
12,2m_dewpoint_temperature_std,-2.4504874948190327,-1.4639155602389526,1.839572981618547,-0.6851615203101233,0.6133057286611362,-0.5977395898177719,-0.3738184085058591,0.04401304475072002
