time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9
1,relative_humidity_600_mean,3.452775175635763,2.695048296354405,3.026817073712291,2.156079533073988,-1.0870622419044138,-0.6799222165826089,0.5143050721957004,0.35379406344787423,0.1751082815025384
2,relative_humidity_600_mean,3.4110998633016956,2.6312774687755764,2.9697496796782596,2.094901443733808,-1.138768622374764,-0.7079665921951738,0.5125284882697391,0.1883653908249058,0.16114567135906238
3,relative_humidity_600_mean,4.1710308477498,2.082838302806229,1.7964186222585783,0.3663338355571673,0.49914454057540086,0.08822463510613913,-0.37574198064168024,-0.7393208957805784,-0.46020515627395997
4,relative_humidity_600_mean,4.236762411454957,1.6614217044821376,1.288267699682182,-0.055156262574319145,0.6242373237955999,0.14892238191998064,-0.5393408958024045,-0.7218731428346554,-0.22143677657726926
5,relative_humidity_600_mean,4.168356175982265,1.388674440036988,0.8808808519058035,-0.2885349962991427,0.7793109083485938,0.15762377238175704,-0.6361259017545909,-0.42494670814623653,-0.11543694027222798
6,relative_humidity_600_mean,4.124840640981289,0.9852843560469371,0.4870142749392411,-0.72924768658541,0.7948428651116104,0.2607453814746206,-0.6207059576592685,-0.0566222570040971,0.2298423475458778
7,relative_humidity_600_mean,3.982233908992122,0.8425876401094998,0.3171401166126048,-0.924026927438715,0.8225599981960359,0.32036926542117244,-0.3652904501211795,0.3637528473910561,0.20942489183273622
8,relative_humidity_600_mean,3.8155228171195654,0.5068431713734519,0.0994088606281745,-1.102308422155625,0.6216584692346587,0.4381713651544827,-0.10291793284140582,0.7432981445374665,0.12022412800325774
9,relative_humidity_600_mean,3.4285129791140503,0.27208830878095036,-0.22214121875785264,-1.0386283615312224,0.4032704789032664,0.406293015645266,0.33454412329357935,0.7435359369401506,-0.11270757823833429
10,relative_humidity_600_mean,3.051870950738683,-0.058143915249844316,-0.6544024033738027,-1.245579998470399,-0.057646936848645976,0.15914384493886444,0.784442622598036,0.5481267667479129,-0.09991160222051146
11,relative_humidity_600_mean,2.639377922985398,-0.4034209461577006,-1.055079461040774,-1.597701020186118,-0.22069484222411967,-0.1434634123938486,1.0365897604047796,0.1578481667476722,-0.11088565467322482
