time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15
24,relative_humidity_1000_min,-2.5236920271169976,-1.011475496747563,-2.4531180325445354,0.7171743734649016,2.0831674624596674,-0.28770116763854264,0.6606434776654898,-0.6916222105725799,-0.52518656689536,0.7329088744278743,0.18774563255248028,0.12413411840496522,0.2433554255657122,0.3560722864988686,0.18388918369969182
25,relative_humidity_1000_min,-2.852454496120156,-1.6641782446000974,-2.443019488497742,0.327074936728947,1.1923637882840818,-0.7044059074516593,0.10312443520947269,-0.8101216069960284,-0.36094170990035057,0.635857602985252,1.028320795185146,0.02696704893001304,-0.12613790468452843,-0.34667603823135495,0.17110320875380172
26,relative_humidity_1000_min,-3.0702586786063732,-2.927328721676584,-2.086356178358771,-0.3948352190119422,-0.13251428688687641,-1.5593556063812843,-0.3889627484257415,-0.8218878071680639,0.6231995954304319,-0.25262371145674645,0.7554193717096718,-0.1440194739163993,-0.14093884686087765,-0.3788073750082705,-0.40215887695358227
27,relative_humidity_1000_min,-2.8648185334373992,-3.618860199060543,-1.7945813741995154,-1.0043243628413212,-0.8521742575873793,-1.3315339081140591,-0.6139845388315306,-0.4030397148173053,0.8227083129636178,-0.2965588789367712,0.3107982528651296,0.09961906293343344,-0.3609351871978224,0.012874673673028952,-0.06677853072203883
28,relative_humidity_1000_min,-3.124200413198877,-3.800967626138268,-1.4486554174771689,-1.3713722868788745,-0.9630838841073279,-1.2760416382523738,-0.48615583225748454,0.20627746991422036,0.5346261130798473,-0.20147120473596522,-0.6167127680655867,0.17136508677564927,0.28935191375115965,0.19777470665020128,0.4731757070463183
29,relative_humidity_1000_min,-3.080201873622833,-3.4700353117869556,-0.7109955689550065,-1.924511978404498,-0.9341552386974784,-0.8853422868460376,-0.3707145042761249,0.7452206744395826,0.09773700461030557,-0.06065444097741196,-0.8970592094640975,0.06565789554941223,0.06643355636502965,0.22073087209289685,0.030898395239991185
30,relative_humidity_1000_min,-2.813039192325452,-3.26860173943055,0.10897562173890339,-1.9808841015051963,-0.5299629066995014,0.46425300140938186,0.5164968695019186,1.6717932096761612,-0.35240169502589236,0.14640518087179216,-0.14546789818111475,-0.27491416064784957,-0.04674767926469121,0.0413107201184613,-0.3830810903691805
31,relative_humidity_1000_min,-3.009391559663213,-2.8807890660636795,0.9296681825310293,-1.3727855898887917,-0.3219972505497362,2.10735563714743,0.8757429924953029,1.0723229766425773,-0.5511664385776555,0.11969688266584141,0.8578845363704996,-0.09122494542229097,0.7265874650550702,-0.41397236693685924,0.047551374539560785
32,relative_humidity_1000_min,-2.9909280852480298,-2.3322299837542806,1.882802447675382,-0.8266265205678854,-0.6463277936198334,2.445643459770648,1.5429347489856364,-0.5772980644158048,-0.05131352769723477,-0.08794681747332887,0.47820032516325334,0.026183308862047203,-0.755237041736926,0.14966040900276062,0.340541332857755
33,relative_humidity_1000_min,-3.659064921425985,-2.1272557580795484,3.1367117708012064,0.30712084343237805,-0.18963876970689633,0.9733791509331222,0.7709719080000857,-1.3779395134184984,0.031072683060278952,-0.37084685692353647,-0.8269110464117547,-0.14975369097510358,-0.6386728309210196,0.09244121962739571,-0.02059246736127766
34,relative_humidity_1000_min,-4.167970867067389,-0.840977643986432,3.601975717842635,1.0778288722655085,-0.14262054407275904,-0.063700016384391,-0.1555469346163123,-1.3969582928056896,0.12824556594816333,-0.16805646838526803,-0.783312589834794,-0.26082653226508434,1.0606081407273709,-0.3132423089144135,-0.066525175145697
35,relative_humidity_1000_min,-4.049731359611672,0.45436533984476263,4.173868451502386,1.9584892455460545,0.17538334380919,-1.242135585981096,-0.566817743728955,0.2728475278871338,-0.35736404467797134,0.46636219184436795,0.4077490592910445,-0.5303122355072811,0.05575919916582677,0.22308868333398,-0.5940080631746366
36,relative_humidity_1000_min,-3.879275712759859,0.2950800704455563,4.6687914418296295,2.1700341096541234,0.14478530283739677,-1.1895376109328375,-1.2078513957496202,1.26091926858277,-0.03499795458448053,0.25786934710585624,0.4557383893960626,0.9643118721616578,-0.3785166675610051,0.0216368133663696,0.4359735247439826
