time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8
1,mean_large_scale_precipitation_rate_std,-4.508261255697876,-2.1922098820794558,-1.9323972604072663,1.7968674389973156,1.4940339436525372,1.0516619320322058,0.08927975312958648,-0.09655848997437463
2,mean_large_scale_precipitation_rate_std,-4.753320625645295,-1.9599950223649798,-1.7162730452303483,1.5402051418175335,1.0532791639660937,0.6065486275163919,0.2604288522724819,-0.17054988256070425
3,mean_large_scale_precipitation_rate_std,-4.789598347912179,-1.878531694148134,-1.6598139161024252,0.5449412480708727,0.7727280728484316,-0.20275736732580507,0.009166885392290993,0.30182836700734594
4,mean_large_scale_precipitation_rate_std,-4.889795644577007,-1.9316690971799313,-1.3615094409411845,0.24469475738425375,0.28842760658734373,-0.6904170987756603,-0.051061725186380046,0.2800852933014256
5,mean_large_scale_precipitation_rate_std,-4.769778116764997,-2.0966633607206444,-0.9343455240625447,-0.25252526725446883,-0.3646162434714455,-0.9199029282819717,-0.15082929171890372,0.20144652738408608
6,mean_large_scale_precipitation_rate_std,-4.566333104169313,-2.1044822129172274,-0.6070932819714229,-0.5846637678716494,-0.9045933223818813,-0.8323543522755552,-0.20555322557582453,0.09335953828429969
7,mean_large_scale_precipitation_rate_std,-4.3550052768353025,-1.6417112903287738,-0.2536097714778534,-0.8723376431150699,-1.2108830138719944,-0.6864815626688378,-0.16296752459339278,-0.1826984210327814
8,mean_large_scale_precipitation_rate_std,-4.228152390199762,-1.2765902993934422,0.004955525574030211,-0.8952322508918962,-1.2803261123239922,-0.15482163970869917,-0.2308770446105285,-0.31225881253539456
9,mean_large_scale_precipitation_rate_std,-3.902915118799276,-0.9077144715476658,0.3695975019626587,-0.9649753208027443,-1.16040049969708,0.45097502177393184,-0.10218599699491211,-0.33041219044500547
10,mean_large_scale_precipitation_rate_std,-3.5415663214328896,-0.4298324855318594,0.9466082943606585,-0.9797928333105048,-0.6206099330821798,0.9293071250018334,-0.0665921977290395,-0.34880648110410906
11,mean_large_scale_precipitation_rate_std,-3.2857732990168946,-0.04002825256859671,1.3763971256292924,-0.9214054117069008,-0.3339816816311121,1.2052423533006105,0.15733755922169285,-0.1946884088536252
12,mean_large_scale_precipitation_rate_std,-3.161871215315093,0.47839753503805693,1.6940527210836736,-0.7366888419447801,0.14428600414149725,0.9570954510904526,0.2407695711753468,0.18108572125437547
13,mean_large_scale_precipitation_rate_std,-2.4428699496606385,0.842584548609351,2.0375897380202685,-0.5723208933014016,0.5347477470269347,0.5025296623868404,0.010899895080630873,0.6279890930295865
14,mean_large_scale_precipitation_rate_std,-2.297648726341048,1.7586742803325426,2.1006805675966715,-0.01286659165285303,0.7507996819373822,0.13089653491807732,0.026897383779183662,0.537235652023751
15,mean_large_scale_precipitation_rate_std,-2.3971515619606647,2.136396314506118,1.980733616427151,0.20491257341412775,0.8844659762608812,-0.5341385388428798,0.1722814571788122,0.3891343601329853
16,mean_large_scale_precipitation_rate_std,-2.2092589667339886,2.3156196472647643,1.6365334839263976,0.5147679606061164,0.8371977966974565,-0.9167110577900107,0.37639472766262555,0.011776689430214841
17,mean_large_scale_precipitation_rate_std,-1.5799597321221472,2.7741083364906607,1.2154115181740976,0.7697582716548588,0.40221003876818684,-0.7852251594664286,0.35054871455713177,-0.27173758519429236
