time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21
1,mean_surface_net_long_wave_radiation_flux_max,2.2311869695370037,-2.6678568462767265,-3.0608850887767827,2.3197010705651553,2.756517724366677,-0.4234730885149923,0.8713088209438787,-0.21719279303890518,-0.25581783552483184,0.9151259439392122,-0.3321414048089186,0.19628324182872717,0.11877527414990412,-0.4297973203720757,0.33210795594135056,-0.13634087710648835,0.32614115007445843,-0.7835216868496575,0.15824739252778963,-0.17791911072371036,-0.41575081128802693
2,mean_surface_net_long_wave_radiation_flux_max,2.461331715061783,-3.4678495915048226,-3.68422717091978,2.037720873759732,2.061563306941242,0.26228448628063955,0.24756817294182085,-0.41630583716953523,1.4802152188486992,0.9090523688550964,-1.1330786857094313,-0.2315899542854377,0.6078836726310871,-0.6053879499615886,-0.20647480842826943,0.20752478973886065,-0.1674947349654317,0.7129394012861054,-0.274328919671019,0.19644352349446323,0.24663880215307954
3,mean_surface_net_long_wave_radiation_flux_max,2.37038524759636,-3.578736757078673,-2.7643232593283793,1.584066773386369,1.2145193350755934,0.29964014301353775,-0.5323578275333319,-0.3950098982137436,-0.74798683417997,-0.6211107439377002,2.1310734635130943,1.2025794874715041,-0.3983714845977409,0.9679395806133951,-0.06085082794333688,0.3764792737213445,-0.17675799532432146,0.21631903820821605,-0.3672336397717169,-0.1718960365151225,0.233379453823439
4,mean_surface_net_long_wave_radiation_flux_max,3.132927865991878,-3.1252281574638405,-2.4008303132409012,1.715144611410036,-1.7208109667932934,-0.6420004069354992,-0.078634416800873,0.7125863429079435,-1.1476531811467499,-1.1627817102394948,-0.2107313015052183,-0.4493245245195588,0.132308964514255,-0.06311389868283702,-0.18808504955675343,-0.18692226419655442,-0.4639376479645895,-0.2235720760370522,-0.182883574225807,0.39332688202413674,-0.12416358927210332
5,mean_surface_net_long_wave_radiation_flux_max,3.9221353189602954,-2.8579264475924213,-0.46520212329356453,-0.41204334083508903,-1.0650224493673839,0.15741269292992371,-0.7310669228352769,-0.23906546050993208,-0.9882788334524562,-1.2991972341277467,-0.7630037638543623,-0.4376295451607806,-0.16857831220456201,-0.048198232516413156,0.4033048785124961,-0.8175834604230975,-0.004183767750614466,0.05374437381949385,0.6158573221907166,-0.3347342354090248,0.008098613493910072
6,mean_surface_net_long_wave_radiation_flux_max,4.034687383230998,-3.1756342955888077,-0.1426314645729471,-1.022954477041552,-2.2023550652860098,0.7787403643695259,-0.32528019222271637,0.777357608860701,0.008321566127093059,1.2489883470009304,0.08664429720932042,-0.46892931143368827,-0.31407503561174505,0.11592179248337028,-0.23864349929381426,0.9965881066409213,1.0298796000489427,-0.24953005248655266,1.0284242120176326,-0.12669203321822045,-0.05305539122425067
7,mean_surface_net_long_wave_radiation_flux_max,4.877930016495375,-1.7107685109391904,1.6288903371314407,-1.915484767860019,-1.0223506876551682,0.8473721939623536,-1.4028174980613355,-1.0470630953202555,0.3414874860615039,-0.5266755973705534,-0.29649603987434814,0.32373384314388787,-0.12018043611687572,-0.3535525862802539,0.058810941315526395,-0.020081248046186988,0.0030636848440030494,-0.2813472475167445,-0.5552612367745724,0.42867266000090964,-0.2740040365814042
8,mean_surface_net_long_wave_radiation_flux_max,4.552021211390224,-1.7127905856846146,1.4894028167579496,-2.469396204023565,-0.7607982967120303,0.9100738361214856,-0.19704861307781218,-0.3416155014554349,1.18720513282392,-0.3973870875867929,-0.4132702273135826,0.7944702804246527,-0.04800010942201556,0.14856976437993002,-0.4392198454688962,-0.11297120668481665,-0.16964666496692948,-0.08244192008772892,-0.2568482846818206,-0.06262170722265176,0.07594565569998193
9,mean_surface_net_long_wave_radiation_flux_max,3.9623481628032167,-0.9929053388072682,1.4739680935884556,-2.694721733092987,0.23068600178651819,-0.07667096415369216,0.6869369532104651,1.0432958107778685,0.7052992633124837,0.7271918917326041,-0.13864602639090254,0.24673819736876004,-0.2556245740958676,-0.2471712976959154,-0.15748950485944369,-0.13989691043268265,-0.3930134989325,0.2984541712384907,-0.37697323195158916,-0.6394833809387586,0.2821452286840293
10,mean_surface_net_long_wave_radiation_flux_max,2.783800782526845,0.30599537871249344,0.7703264168742099,-1.9924524022755186,0.5715359078423481,-0.6348345355249775,1.927414043216193,0.47327815714011545,-0.11951480640908176,-0.055532299924394,0.8929653255305428,-0.05120733710184078,1.0967641831422044,0.33839582816795927,0.2541230156576096,-0.5366069643755454,0.31827239937255075,0.40662737062203996,-0.012278699111215919,0.6511428345885141,-0.0588478392785572
