time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9
1,relative_humidity_300_min,-1.4736594488378152,-3.3670198355378065,4.997339236208483,-0.6487534957717651,1.6597622943529515,-0.3480026786778434,-1.007643787977043,0.052277110485596266,0.3777427083158055
2,relative_humidity_300_min,-0.6879677046532976,-3.2512669039860485,5.498034088319199,-0.4021622991186216,1.1510969142440735,-0.17982631918415318,-0.4139369567458912,0.034676639658522496,-0.09349498485719965
3,relative_humidity_300_min,-0.08718019849908222,-3.178874883114792,5.593759022201976,-0.06924437372579195,0.3408408151598399,0.08710088296106816,0.19836810376359096,-0.05394196569817878,-0.49086232895242055
4,relative_humidity_300_min,-2.3177267798338854,-2.2887405015953526,3.2309250912078364,0.6495511562535232,-1.3181854149828751,0.10125331807908981,1.1978547619223143,-0.24453049351769868,-0.09391394482262862
5,relative_humidity_300_min,-3.1775929298462082,-2.101889675971188,1.733992877184918,0.4133388766531779,-1.5509087401500605,-0.14458644028427323,0.9901223841574698,0.009807056563369622,0.3781044342793893
6,relative_humidity_300_min,-4.756699705577302,-1.0351865870986752,-0.23326021601705763,0.16914453807500113,-1.3905020047285637,-0.19758844643766793,-0.288284228844618,-0.06513864339563055,1.0205947418360237
7,relative_humidity_300_min,-4.921044280861085,-0.6998113704891052,-0.9491890782571696,0.07881070865918467,-1.3259496378286553,-0.1933590161951563,-0.39616089876237476,-0.08167164707658532,0.6703413825120331
8,relative_humidity_300_min,-4.845021982975087,-0.660922590361226,-0.9243501607320544,0.15398153529229092,-1.4223704217383162,0.06935211083284741,-0.017645147924684183,0.02095442885494024,-0.016933974369420516
9,relative_humidity_300_min,-4.645121643264494,-0.6470689279758256,-0.7569685972452866,0.22849611218940546,-1.0787456378546747,0.21898010673698481,0.18882760931030568,0.14816785023667187,-0.23671622723010374
10,relative_humidity_300_min,-4.421267398973611,-0.7652675140822445,-0.5686706163331342,0.2984064608821825,-0.7150609377823528,0.357311845792211,0.22242917146595928,0.337737803764182,-0.6223666315189132
11,relative_humidity_300_min,-4.514175959805985,-0.673065478392222,-1.3340626937465918,-0.021613588724760796,0.3049943991737073,0.07066725630183475,-0.5482272784691133,0.16603823903668,-0.513186612037224
12,relative_humidity_300_min,-4.312747199321508,-0.47263706462278726,-1.5679176953498624,0.23175961548948196,0.37391445910293747,0.22986949139352808,-0.5281351095696034,0.18546455180650678,-0.6534826517109694
13,relative_humidity_300_min,-4.127807674875855,-0.05273737007190564,-1.7500847512515323,0.3164550500284111,0.40025849820185666,0.3375736026260394,-0.19528671060224903,0.017546123360644292,-0.5495474218628038
14,relative_humidity_300_min,-4.264375885268105,0.053726365321571316,-2.2161178824094225,0.0026232576818353867,0.8124780155773059,0.0032930448753814272,-0.5967405211701073,-0.024515383273981953,-0.16696126533101205
15,relative_humidity_300_min,-3.8915875831346525,0.33060367925530404,-1.812694991941131,-0.0947494768911048,1.300359016124147,-0.04419995242637694,0.16128913789909385,-0.1342888533110819,-0.14807537675520277
16,relative_humidity_300_min,-3.713695425662263,0.8813311030090525,-1.7559632083982424,-0.27443897654477467,1.2465779150471745,-0.10821572026246395,0.18397041737082342,-0.09599780974834271,-0.03038085695477251
