selected_pc,train_rms,val_rms
relative_humidity_20_min_PC1,1.2749207575481318,1.2139042249976157
2m_temperature_min_PC3,1.2398214582989993,1.1967683925426038
2m_dewpoint_temperature_mean_PC1,1.191755536965069,1.171275429291151
relative_humidity_10_std_PC9,1.1466969881284366,1.1527547973379142
relative_humidity_30_max_PC6,1.1158398403209604,1.135844417324113
10m_orientation_of_wind_max_PC4,1.0789185396116514,1.1281501920912673
relative_humidity_700_min_PC11,1.0471166035479107,1.1192429858333819
high_cloud_cover_std_PC8,1. 0347138893136856,1.116048738626338
k_index_std_PC5,1.0127639148220917,1.1137553346643343
mean_top_net_long_wave_radiation_flux_min_PC1,0.9844142821229579,1.1106259814512118
mean_surface_latent_heat_flux_max_PC9,0.9721774531620623,1.1068306164127237
relative_humidity_975_mean_PC11,0.957288617468367,1.1022744357909062
