time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21
1,relative_humidity_975_min,-3.3185666189501504,3.0315456171134456,1.1394081998773695,-1.459282783145061,-1.635672518997664,3.378833615473087,0.9599867851402895,2.018626533946905,0.6234093861945494,1.31914893558362,0.07064671986565,0.40156237444435755,0.48250276157828165,0.4600660516199889,0.06299370541501262,-0.5576028781044623,0.1288422282175687,0.041920142978277994,0.12145383631691144,0.30862558154476394,-0.2542411658315521
2,relative_humidity_975_min,-3.501405060277764,3.6924417507464278,1.8655346353931976,-1.7931704594636018,-1.9958079015939012,1.6310503521069903,0.8272103402902758,0.6168288441769475,0.066319007362003,-0.6065113352155926,-0.5592293828298324,-0.523206795102995,0.050550268700541794,-0.32541641476399125,-0.04068867868154902,0.9176424866851202,0.1063194479339386,0.01681735391960908,-0.012389106302351991,-0.32865745750220404,0.2968777078688943
3,relative_humidity_975_min,-3.6685242404079847,3.7827029737495357,2.2124807903687587,-1.7243805008730486,-1.387192928036435,0.7064211460468919,-0.5199229319623785,-0.2620155876046654,-0.20062397557811804,-0.7535563355273098,0.2983887483516097,-0.27410380337599144,-0.38121509063838804,-0.46728149243131584,-0.06836275533774931,-0.019429532524126214,-0.2087036230764805,0.06742152309521078,-0.2447028137962086,-0.12803800574632349,0.03015536226344648
4,relative_humidity_975_min,-3.6563396113305173,3.8592035701217404,1.5260482995601956,-1.1441269768812508,-0.84940947643697,-0.402815258667608,-0.7392443718435323,-0.8683854923832924,-0.6496664278028466,-0.9298257375186223,0.12862888103356726,0.16559907818572794,-0.8741016364301498,-0.1363831300028272,0.4314378449322012,-0.5352828799053201,-0.10864834686881426,-0.04220096885985747,-0.42428486340400823,0.5066492331743561,-0.06748918313328307
5,relative_humidity_975_min,-3.4266838455821556,3.997494125968101,0.6052565640463808,-0.9457415626474907,-0.01697443070247963,-1.0910245607574132,-0.40698054427117264,-1.7547477669116198,-0.8360049194888532,-0.28116985789773674,0.42475044742209994,0.2528549531264534,0.17298267912350895,0.5830891143206545,-0.5191605769716706,-0.15569144582216737,0.3685331036201206,0.0847469861428656,0.7498996032349766,0.147822928791856,-0.047103781831007906
6,relative_humidity_975_min,-3.509569994672471,3.875468718837027,0.28782436089094676,-0.5310133801097727,0.7506190068555514,-0.8464222441899887,0.1203385733082673,-1.2284530934877953,-0.7657900734980482,0.7054712074526304,-0.10871363060222212,-0.024273306785582434,0.9242999092950728,0.5812498849539949,-0.21988380677232588,-0.11386268716067258,-0.14009140909227194,-0.25531822124969933,0.020541744678215047,-0.2658292698500636,0.09537220186197556
7,relative_humidity_975_min,-3.5072593845224573,3.824882586675527,-0.5187868973392158,-0.02753814101586499,1.3618762395284323,-1.6989357949792245,0.5341706593335768,-0.5753436706690451,0.509583707861822,1.1026292365820891,-0.3324231821322576,0.020401242499171322,0.3919308929868252,-0.07539212249776026,0.35702246149871786,0.3654012112853402,0.047470845678562315,0.012629064679029234,-0.4807842482313506,-0.4292077816544678,0.06562714296119228
8,relative_humidity_975_min,-3.3793771548759546,3.6759746005647718,-0.30419952247700155,1.0165360298841677,1.943404886465249,-2.0376233034218254,0.6825216132374705,0.4039882720329698,1.2149958683568234,0.5412926650088986,-0.16065973499207878,-0.14697856551316568,-0.36979765013401944,-0.17905968876151823,0.3488903830627149,0.22412987837155066,-0.46128838933022037,0.2770913850460546,0.3726773167465478,0.3619984437554014,-0.16328894290636578
9,relative_humidity_975_min,-3.5463418527179122,2.3286124170282823,0.09088802303071837,2.1592213095102517,1.8876303615713823,-1.3138918666047923,0.42087611074301295,1.551353748815195,0.8543673477748502,-0.03544780378969694,0.47566317003933073,0.1609905832521497,-0.6095134710202801,-0.6198350801193632,-0.4123977756802876,-0.21864786542929882,-0.24663556464951208,-0.01989297903147529,0.14222079035600813,0.042523838051940814,0.13287782989127547
10,relative_humidity_975_min,-3.4653959418115594,0.7761376381483674,0.13740703222410677,2.349095073131655,1.4163886656246547,-0.606210095771656,-1.4120839847011906,1.741441604527484,-0.1504695154472366,-0.7295323413288389,0.1628643105979951,0.36469446579601406,0.12163161516230858,0.43804556310673554,-0.1786143872341362,-0.0987081437460364,0.8722263926585591,-0.2068949228950344,-0.28612207894844544,-0.4565592151062418,-0.05578530130460792
11,relative_humidity_975_min,-3.123305843905929,-0.6804437257493259,-1.0614251519513667,2.993490206025913,0.3720522085763749,0.05672709487106417,-0.5928394755881823,1.1355859331757678,-1.0803696308153563,-0.9668237323526013,0.016812707757073032,-0.03373443173960791,0.8380557490924923,0.2560945890718349,0.1624927796839962,0.2756041004562007,-0.14558567519167073,-0.273913248091335,-0.24428065400704208,0.5298998073634906,0.14012948549218496
