time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
1,high_cloud_cover_mean,-3.651103312016558,-2.061987526982763,-1.8216113646575782,3.4652742468568274,0.1807875084530895,0.638169739020646,0.28331353746265486,-0.03124747651676842,-0.22359503300588768,-0.19249158756946072,0.08368880974030142,0.20429202140712807,0.06612982708945447
2,high_cloud_cover_mean,-3.6822596597111983,-2.153013218855053,-1.9254075391709389,3.2051522826430983,0.1002127894812092,0.6180647039592968,0.31226497969190425,-0.21893397802854953,-0.12514853609961338,0.1162992618217612,0.06135217619998224,-0.2711735318363232,-0.07069653434636623
3,high_cloud_cover_mean,-4.341057238346626,-1.6746568573102019,-1.232229804352504,0.2529497473938843,-0.1615954828765087,-0.9359649023794631,-0.10458377731130984,0.6614539332930367,0.8801312410186637,0.4136165124356162,-0.2952673158880272,0.1758765869938675,0.3149341702823915
4,high_cloud_cover_mean,-4.529990929275689,-1.5323558373217898,-0.9765369440016403,-0.2594028235085425,-0.29381378396782537,-0.901919410076841,-0.43053182840202936,0.37797707105257755,0.3098195146777943,0.26370826009632553,-0.10183696408436804,-0.03930756677853572,-0.20091778137441432
5,high_cloud_cover_mean,-4.543291860017262,-1.4798576690664966,-0.7219073971583703,-0.6923511088674376,-0.3743124067276546,-0.8476214380614885,-0.45201355068226884,0.08052331271738704,-0.03242542531713208,0.005372691850261384,0.011721598252492109,-0.043163085386474294,-0.2793419088136958
6,high_cloud_cover_mean,-4.581605189078787,-1.5385170442138008,-0.41337379624880616,-1.0187937689460371,-0.35260538563780636,-0.6335573739194198,-0.43460589319647946,-0.16537023317844088,-0.3897863253430331,-0.08578946511046726,0.1820121356058957,-0.06241847110216006,-0.23543453228365918
7,high_cloud_cover_mean,-4.521534003840316,-1.3840757688816496,-0.18940802449625865,-1.1443554891086163,-0.4405857936848489,-0.4802417328081719,-0.19228825335292568,-0.3872216045572964,-0.3359616547133069,-0.17690838901579894,0.27926063997394057,-0.0010141582222928088,0.07263454924955473
8,high_cloud_cover_mean,-4.389978086018827,-0.9053867975742113,-0.03680597669299927,-1.2060585899155234,-0.3540769182665674,-0.1118973636773856,0.18788330109486084,-0.5379685157312789,-0.3024502660146388,-0.3236395656730105,0.15378088809372942,0.012052087880373326,0.3590349208339548
9,high_cloud_cover_mean,-3.9560758013321378,-0.5433124715775863,0.10145104767272548,-1.3410166530996204,-0.1347423579278569,0.19474806228028724,0.5021193925574442,-0.49516074879824395,-0.16290541652072565,-0.18080586998087447,-0.20198223681549585,-0.10701469394046915,0.22981649167876195
10,high_cloud_cover_mean,-3.6184521061990056,-0.04984748088922429,0.38237724907953974,-1.3729819870668487,0.22576987821348884,0.6691240056028087,0.8710298015789153,-0.29474617722726526,0.08981081066438217,0.009403956144851726,-0.20413141708190308,0.02004294388156491,-0.05758613615515831
11,high_cloud_cover_mean,-3.453933880340159,0.3435936210029092,0.46603527054049404,-1.277385528929449,0.3470236435018114,1.0055733858346934,0.7624505639963816,0.009016077990797683,0.21989619006733008,0.20667070842558308,-0.2284991864955748,-0.025972215221440206,-0.26059879045054324
12,high_cloud_cover_mean,-3.18671996779914,0.5880450386091234,0.7309981942365689,-0.8150814157807126,0.47755615719008265,1.054762258186285,0.39464584542996706,0.3350243544687787,0.25639125460540996,0.09987002364196593,-0.11110849691771604,0.11653025545088562,-0.0743800897750362
13,high_cloud_cover_mean,-2.8095134072410044,0.8422964812548777,1.5530279636456734,-0.2246902575959072,0.48471881193694294,0.9746151693901204,-0.41621880734096145,0.6528990998608991,0.03034963214289906,0.13052395670795036,0.5962648458576054,0.15137502076808868,0.0070650175343865374
14,high_cloud_cover_mean,-2.5351298507795756,1.2364483070943915,1.671875318399589,0.12005011647020307,0.5145774139268636,0.7988501778389409,-0.5225562889518468,0.5624357700040714,0.09668770311575438,-0.0895076961091748,0.3527857648166333,0.1036345668175468,0.0318836140509941
15,high_cloud_cover_mean,-2.0095627154443583,1.5426358527435475,1.7093591397908372,0.4846558226877076,0.4752972333154671,0.14208568949942044,-0.8284851004922595,0.3008338580512932,-0.02729581418053465,-0.3367067996793949,-0.1155956393134389,-0.1818439614292119,0.2313400860838426
16,high_cloud_cover_mean,-1.5430145576682004,1.7906447890029404,1.8616611388511208,0.8318210231294129,0.4236242636220548,-0.2153434792599605,-0.6083527930482836,0.053836468363214526,-0.26032653453786114,-0.30261984679084086,-0.5320228304871143,-0.24807287796551974,0.18021433916003426
17,high_cloud_cover_mean,-0.7737491156514957,2.1726095552347493,1.602938916990701,0.9483439005231943,0.4424534315055946,-0.35963580326391714,-0.26414864282826905,-0.28994440105123803,-0.2297364216530948,0.24228435728917008,-0.32231206454083233,-0.06597589888128223,-0.2595615703003309
18,high_cloud_cover_mean,-0.21364861593692006,2.366090772205068,1.5542345265799125,0.9962510794035011,0.3507142982571044,-0.6357674563811937,0.14391793759848,-0.4396443699870988,-0.17270806526572102,0.2170274211309797,-0.11076259542159386,0.09444335277877536,-0.23435611277902582
19,high_cloud_cover_mean,0.410161661024796,2.618540184043232,1.177612447497595,0.8491348538084518,0.2814511912331988,-0.9706806144449346,0.4279883531949299,-0.37123508226155194,-0.02297752838451778,0.37157154347647026,0.04691093291718032,0.4088280195410373,0.0951118098749654
20,high_cloud_cover_mean,0.8432131145524477,2.780317469454123,0.6034878425109492,0.5059011378043677,-0.17220204399430253,-0.8787888923033205,0.6593286493473937,-0.15418445031520853,0.09114501490025756,0.13770710437376643,0.28732564682795847,0.02652631968487927,0.1967419876541321
21,high_cloud_cover_mean,1.3888244930931102,2.9073605867532035,-0.14217047087382476,0.30836208198904613,-0.7538291224580119,-0.5393508728116019,0.6181132796388275,0.09648149896278778,0.17911066274707838,-0.0443454479116884,0.47803891116714525,-0.35877218476460787,-0.04987439456271612
22,high_cloud_cover_mean,1.9113518520831259,2.6762293312973915,-1.0150535580608484,0.16004485777874491,-1.072687689426398,-0.1375288651898738,0.23851687935479876,0.4439125343425513,0.28865591929844614,-0.4042010637326407,0.13589360798078956,-0.266330762637204,-0.0751452752517401
