time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14
1,relative_humidity_925_std,-3.733701770595603,-1.5165027499544788,-1.1844868393355406,4.591829004294249,0.5852375846543503,0.995383809902697,-1.1114992111618605,-0.920115175584576,-0.8803653038854935,-0.9153697096442994,-0.27650835009020397,-0.3102056044643178,0.2937987947452719,0.16629025991259722
2,relative_humidity_925_std,-4.3393309691762125,-1.5466863734098635,-1.5286038170247405,3.9272857942767403,0.6851749122353286,0.8629070930677812,-0.25967158711797794,-0.49971158856116704,-0.17211015312074004,0.11428559575793049,0.027137278594343638,-0.12862722732693876,-0.07494889850196775,-0.23711300298178603
3,relative_humidity_925_std,-4.8077220887326515,-1.5690463794923133,-1.3266417899818663,2.6129584649235458,0.38572589939512714,0.4341774930912009,0.47526337469190927,0.0376733042136102,0.6582002147339394,0.943066431603809,0.472240839082666,0.48134707490048423,-0.31427235409440535,-0.19315769828284948
4,relative_humidity_925_std,-5.0752627201448695,-1.8130872838571939,-0.6586652323847225,1.2109059551880863,-0.1646982249084083,-0.44460812383777887,0.8584340731376114,0.46943254447850413,0.9660697866860776,0.8364588020099005,0.15386500592188285,0.23462809674001855,-0.4931559190870292,0.19531836681348977
5,relative_humidity_925_std,-5.139788498477913,-1.8809558668930069,0.20436058783530148,0.34998316190762624,-0.5693366932948677,-0.5303695011375548,0.891357404248072,0.9045679242477505,0.5943088768037307,-0.11914288315163005,-0.5930888114854829,-0.08819810605898673,0.26544059867545533,0.42653373476406164
6,relative_humidity_925_std,-4.920796474289953,-2.3858033859669936,-0.464162735311149,-0.5205433477621009,-1.4668728191707774,-1.2938189988423108,0.9043485880709697,0.5131435085593804,0.1958661813336272,-0.21826852999935387,-0.6961261324370669,-0.2755163774462989,0.40354269947491717,0.032032300281545086
7,relative_humidity_925_std,-4.833155006744956,-2.646113579728016,-0.5226884052683383,-1.074351843348393,-1.7350434139120936,-1.246094071657161,0.4122188379994065,0.5608288932481121,-0.049926212888237176,-0.6240173913928853,-0.09299420396611009,-0.003882388041668426,0.361856035625358,-0.26833421802172447
8,relative_humidity_925_std,-4.468024746925025,-2.7761968118013427,-0.7614099476231871,-1.70869030632129,-1.6366803948609376,-1.0304914460951715,-0.3965278970583252,-0.020796446026050772,-0.44764351526599505,-0.25495477918198745,0.5531542320221029,-0.024386200725841838,0.1647999964326382,-0.40656357119450465
9,relative_humidity_925_std,-3.818950083475986,-2.7421473259963034,-1.1849814618581018,-2.1086457739642936,-1.2446416029681509,-0.17289936099277228,-1.234393307212202,-0.29014317684192814,-0.7084173631841726,0.1349753140126735,0.9062813226655813,-0.017672692632790924,-0.10243946273535894,0.10571464499707763
10,relative_humidity_925_std,-3.408796591143091,-1.6591548675464014,-0.8898914267281653,-2.4898353670148383,-0.45071239249197376,0.44826120050667057,-0.8837390100114493,-0.7011396148245649,-0.31882328406040034,0.23522334122676966,0.4033088515926381,-0.028292992886805212,-0.43408474005504877,0.4399578087338129
11,relative_humidity_925_std,-2.93708262377191,-0.13216392260536283,-0.42388079512282834,-2.5350534725414575,0.43412418728009733,0.863224148536162,-0.4831143535149883,-0.7777842823903233,-0.11229069788380516,0.1313549297168092,-0.7737898481730232,0.1747854002624076,-0.20642574431901253,0.11159500155645091
12,relative_humidity_925_std,-2.5472968094663027,0.5996857881352468,-0.11120169877559044,-2.030194106097577,1.4157759853625758,1.463285640915274,-0.37686061481106026,-0.5280928595899307,0.23969051442257422,-0.020716649008402067,-0.867958761390058,0.1214335457944785,-0.1874824487667631,-0.13676250514051688
13,relative_humidity_925_std,-2.299515588542836,1.4285873184504192,0.12689167769488205,-1.6051879070053419,1.9057426305610117,1.4330661261843207,-0.6615916643100449,0.03034932747117134,0.37040479797285764,0.04110649787672183,-0.49606904865281115,0.11027163935623178,-0.0796576030235324,-0.3455978364926632
14,relative_humidity_925_std,-2.0495231538899,2.242531203706022,0.6483367393178112,-0.8938362403285447,2.429757475084883,1.218482003877284,-0.7514866847373618,0.5629032675235871,0.30081235344551777,0.05115958348476763,0.02910819169873632,0.020839968753124924,0.4113869843788908,-0.17114969755023707
