time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16
1,k_index_min,4.5801075664735205,4.26280847893176,2.8752202510221516,-1.0060532374115605,1.2005454780383693,-0.8373112149552735,0.7773816340637403,0.6212967940818198,-1.288449743567268,-0.2779666110739978,0.3646851425106116,-0.47955161603956653,-0.2044178740184432,-0.044786278681259166,-0.2588576772643742,0.06384743570754409
2,k_index_min,4.757085725731345,4.415680694552497,2.648967912064887,-0.7537055960034448,0.9096597908238898,-1.0958798651715163,0.3904949789243462,0.18657394599819901,-0.6595450590787975,0.2164264346948404,-0.010943415694621367,-0.10327379685505832,0.0793585981068309,0.08925814059228368,0.31823867500003017,-0.20969520940523137
3,k_index_min,4.762960677799313,4.266430360730656,2.518233597079413,-0.8012343517448253,0.4871081722299327,-0.7683904176875106,-0.13030093617077843,-0.3218328273745356,0.7596980076248598,0.14193664458608607,-0.6168148118047094,0.4474837746003288,-0.20118534480091566,-0.028083407950633146,0.28154032480853525,0.1289331042256096
4,k_index_min,5.141656198386874,3.635311611843478,1.7021262687018568,-1.0503362344011973,0.1873820889543399,-0.05542079221785846,-0.5561445392238156,-0.14631383161360675,1.3899534568236278,0.03636860647566572,-0.41143444938049817,0.5169074887402696,0.12432858676519032,-0.101710576401978,-0.3174821257099585,-0.0412529566235654
5,k_index_min,5.625795031601349,2.387665788087598,-0.6035655884792344,-1.7524683202737812,-0.33955796574956226,1.4453924943807164,-0.6519450304563269,-0.19258728134189407,0.8516981030662487,0.02633461685666883,0.5670873068393425,-0.7837808840797272,0.3457515170331093,0.018459641218826154,-0.12568563140276023,0.22880056364909065
6,k_index_min,5.457572867050782,1.555419611461415,-1.4046846827656159,-1.7548325452237203,-0.39103615944360265,1.6529251334087032,-0.7561683062714278,-0.1838026778634039,0.1682768017964982,0.025100852819451795,0.796431734068884,-0.161543257244704,0.003992946956919746,0.21377403734401518,-0.10154683066613136,-0.14536652914671455
7,k_index_min,5.204580182174428,0.850975042687579,-2.485894773967747,-1.2549510490450897,-0.8116731594589524,0.9874570569508461,-0.47951426484405507,-0.21453947135274015,-0.9873051253057765,-0.10589019823569817,0.12828215117425118,0.820236308014525,-0.36664272266545284,0.03057249833332884,0.46021606273587806,-0.15111595992610888
8,k_index_min,5.125943838726297,0.3086677645007815,-2.735610151880176,-0.8612411986760605,-1.1401657461177042,0.5295639043402108,0.06051470712710512,0.1701674495858216,-0.777474531502726,-0.18538776572235718,-0.43565652207133043,0.2387645248390812,-0.23163730831141702,-0.16682194391833155,0.09353086206484432,0.11384501369183826
9,k_index_min,4.822605637353095,-0.24615654074148088,-2.7318903943885404,0.28205253732428254,-0.8815930969730462,-0.7173051030549292,0.4988440989286101,0.27138248386556263,-0.2598792973038505,-0.5305138151113329,-0.8615315071827919,-0.4065759128287726,0.3749093582831832,-0.10728276379524361,-0.30416999586995863,0.4213534408804932
10,k_index_min,4.494787245197057,-0.7214328070288311,-2.4286534410809155,0.9474815502507634,-0.5449417695257563,-0.9716195107374841,1.0171447976171117,-0.048077456783205116,0.33890724596807187,-0.0692929961192963,-0.5339238961385637,-0.3199776813679644,0.06164130465191422,-0.16783022674791118,-0.07284476098428562,-0.20192363050183557
