time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15
1,mean_top_net_long_wave_radiation_flux_mean,4.007631228385032,2.167704547311112,2.856234613432254,2.256946352643094,-0.6457790763074033,0.5247871069735334,0.24514149683053188,-0.3069235632800354,-0.09250531851441572,-0.022708819867484457,-0.05014865145527601,-0.056985712700263015,-0.029021118131410933,-0.022745715116299754,0.04559122574587802
2,mean_top_net_long_wave_radiation_flux_mean,3.968814591584411,2.131815204681116,2.847252816057389,2.0498048303682443,-0.58206549863529,0.5282174104338657,0.06678024862358442,-0.2875467101047814,0.009872992158721821,0.09192494468793827,0.2367900208348252,0.08717539594682215,0.07373110640705154,0.06483955321603968,-0.01695168999398352
3,mean_top_net_long_wave_radiation_flux_mean,4.082379212313807,1.3385243907043416,1.0029717934206066,-0.2789365666041816,0.26693383477470817,-0.6184141968159645,-0.4818600117678938,0.7486338495287544,0.12117331949140449,-0.5078565637617024,-0.23720320622393742,-0.0076560751807822945,-0.26518022081067194,-0.346251309054082,-0.13301242453461107
4,mean_top_net_long_wave_radiation_flux_mean,4.050331572087295,1.0424697401066356,0.5200065994714461,-0.5761743562588696,0.48452871110457335,-0.6183068400763481,-0.6160801738257522,0.4309759349415392,0.04610575543847406,-0.008276108860793574,-0.3825087390415635,-0.13462093347033977,-0.007609345335728964,-0.13951981590827034,-0.14130688229456714
5,mean_top_net_long_wave_radiation_flux_mean,3.8690479146794425,0.9219687785438774,0.2370099519569424,-0.6218416434263062,0.4850133065735927,-0.7507344493858286,-0.4719872854156596,0.24486807944889843,-0.09025059255936863,0.3107699085725747,-0.19692040677332961,-0.047529334714088274,0.13951335528594325,0.19359959641315927,0.18053976310810946
6,mean_top_net_long_wave_radiation_flux_mean,3.7627289413529983,0.6872704639366013,-0.08284044405613507,-0.7909697985602904,0.3076624990125577,-0.7665875163796965,0.06479178267751008,0.15141143013172223,-0.1266878185956899,0.38949395904891454,-0.1328666332285059,0.04894425436354874,0.10264726531789073,0.3385630557941873,-0.015131092591697174
7,mean_top_net_long_wave_radiation_flux_mean,3.442921591013281,0.5379261310311978,-0.2617386382913074,-0.8852055517992728,0.1703338819960891,-0.8103462703933183,0.3971960766717703,0.15175211684091897,-0.04683946390530968,0.1252919461486166,0.3880844901776268,0.02108986172703382,0.14073241105142426,0.22122264510238612,0.03470016931750012
8,mean_top_net_long_wave_radiation_flux_mean,3.2230669107094654,0.32627367842574245,-0.5534610948762717,-1.083131462816527,-0.043959968183768953,-0.6213746489176797,0.5923462417230324,-0.20731996728034063,-0.08412886507058044,-0.07886868800070033,0.4443823030549423,-0.06318174747104173,0.004546225500856996,-0.08226184487619576,0.12249519908777738
9,mean_top_net_long_wave_radiation_flux_mean,3.0518284628917995,0.15296063145783068,-0.5945282085846669,-1.2196531243556605,-0.05878411170387036,-0.21838921818203655,0.769297827034592,-0.37737939313126656,-0.10722688274176487,-0.12208487465430529,0.4179300638739434,0.031758818971082244,-0.09313043249962498,-0.17763441039511105,0.040519540628180147
10,mean_top_net_long_wave_radiation_flux_mean,2.713483924944279,-0.2098105246779824,-0.7688803869208762,-1.3819260224563394,-0.23583337511263938,0.5809551273015768,0.5860772601960244,-0.6405817812731942,-0.07030095349948595,-0.16779379486700668,-0.12114265296267492,0.09222987730278312,-0.22054047029241308,-0.16146503276157836,-0.2625721001355431
11,mean_top_net_long_wave_radiation_flux_mean,2.385503902953217,-0.611942567526821,-0.643358953102224,-1.0567032412310176,-0.3432752144701413,1.2632856199724531,0.4526216376368744,-0.46003280042596145,0.18697907056812674,0.012700723674354271,-0.4292579915620602,0.013543547767803152,0.03372914590003789,0.02732182285928829,-0.009138448193388543
12,mean_top_net_long_wave_radiation_flux_mean,2.194862018401811,-0.994840470321944,-0.8820651775416206,-0.621578564696808,-0.13320269567305726,1.3295375764607567,-0.02838654590207236,-0.16877928671505044,0.11654261784778193,-0.04932540461500998,-0.405447324755542,-0.188303184431996,0.18200415836709968,0.058119814385284456,0.19687183429860444
13,mean_top_net_long_wave_radiation_flux_mean,1.7799336748574022,-1.2453240190876687,-1.2038254854696162,0.1339127142030988,0.0958965949291826,1.2850352142303807,-0.39924821776733305,0.3981899387303896,0.0671727841097166,-0.26132359418430895,0.11411582302875772,0.0026619903235660307,-0.01645993649388963,0.29647130183907044,-0.023289570023202064
14,mean_top_net_long_wave_radiation_flux_mean,1.610887115838195,-1.4921238132125614,-1.1942654476854278,0.38774448162521674,0.22348353114507638,0.923072089359916,-0.6109254112597111,0.3493664293817801,0.27928059373170866,-0.12555433421994863,0.3489439047675081,0.20047939379024415,0.1597728999984414,0.046231182854683445,-0.046185094998094894
15,mean_top_net_long_wave_radiation_flux_mean,1.3487910516313875,-1.7668507440330152,-1.1181364738049664,0.8340303560425644,0.4671137410727852,0.4667068218534776,-0.5513500746867704,0.26703970213630546,0.3103749098397164,0.02012807578867073,0.2724378967147264,0.2579696445273367,0.07832475447124819,-0.12932856179123353,-0.03891134966498868
16,mean_top_net_long_wave_radiation_flux_mean,0.6894924647133001,-2.0160514823232165,-1.1650139841846963,1.0181420521506843,0.7224416272055374,0.11072882254024385,-0.3083574230796677,-0.014286357506853383,0.09759558441335398,0.40490583315700257,0.11882714154531242,-0.1853207874442073,-0.20565257648179017,-0.3129322345382118,0.14992715395630166
