time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12
1,mean_large_scale_precipitation_rate_mean,-4.1877199016887126,2.565638921048801,2.885979233410972,-1.073823125192341,-0.010291190101295485,0.6607291632216294,0.7971199961043953,-0.5562456818921818,-0.1021333410830119,0.2555717156661715,-0.39063033337507125,-0.12594236282907303
2,mean_large_scale_precipitation_rate_mean,-4.036924315704482,2.0772157704261454,2.594149990105948,-0.8598268997754656,0.2682314901906482,0.4730962028786862,0.5789578197486313,-0.4530299966729873,-0.04506573232851634,-0.018523062796299384,0.0656315150726335,0.08196070194666549
3,mean_large_scale_precipitation_rate_mean,-3.867078761924789,1.8029998690357611,1.2876202348042451,-0.6090910607760728,-0.042093064771867375,0.6131075047058431,-0.2596649281569747,0.5980081116490907,-0.4217685188278603,-0.19622861663477342,0.5378348420270689,-0.13723646568137224
4,mean_large_scale_precipitation_rate_mean,-3.678572733629793,1.6271501413114533,0.45173301178258773,-0.7775338537247588,-0.1548056065378515,0.1337901631913261,-0.5888637245617583,0.6042700841007711,0.10622755473255707,-0.1813754903807664,0.505221920996626,0.008754584082112065
5,mean_large_scale_precipitation_rate_mean,-3.707910090716069,1.5753797109934988,0.07679714068089263,-0.9057939707772186,-0.22037309248367395,-0.32323728207507635,-0.8521675256498691,0.3870137021996742,0.45498057801576286,0.055325726915657875,0.006885562247134142,0.08427806841171948
6,mean_large_scale_precipitation_rate_mean,-3.6780021759690698,1.5261154270615278,-0.3679226692489963,-0.6299539177492639,-0.21591189959283982,-0.717474426645548,-0.7853519757397469,0.14871189038176907,0.4295964764193961,0.2933847791131348,-0.2990651623550072,0.13408024318008205
7,mean_large_scale_precipitation_rate_mean,-3.633290713794071,1.3909156125131843,-0.880795742460758,-0.27971229167045814,-0.08780190012929501,-1.1564154700155844,-0.5063907650431926,-0.16375005565502038,0.12865315540690775,0.15226886620236998,-0.40985718993164455,0.11448292677606622
8,mean_large_scale_precipitation_rate_mean,-3.5438000048184617,1.3812108961198224,-1.252332767787844,0.12837856683689292,-0.019329339537051647,-1.3099935700604988,-0.10340153342725983,-0.2815344304665394,-0.152205877646366,-0.1380994758453631,-0.19648700916093761,-0.05696654194242318
9,mean_large_scale_precipitation_rate_mean,-3.3708848902449233,1.1512490658338073,-1.66296052498127,0.3869246323047865,-0.0401456346405787,-1.0742681489749597,0.46271225586101145,-0.1662732781899565,-0.40936752952679795,-0.2439154519700783,0.10622227660124153,-0.1666159647544731
10,mean_large_scale_precipitation_rate_mean,-3.017333672396163,0.6568327804591523,-1.924242589252343,0.583417285335475,-0.13464083297085225,-0.4310786256933247,0.9034617039873456,0.011878669348347125,-0.289722750256972,-0.20696660627857874,0.26294126527758127,-0.12902521354805488
11,mean_large_scale_precipitation_rate_mean,-2.807636601790513,0.21201359195222466,-1.9005654958080842,0.6169545282864038,-0.14157757385230138,0.38717741431089936,1.0404260513559767,0.010753089799908048,0.022266234171768776,0.035667751094122006,0.15263756023104363,-0.019997946293771753
12,mean_large_scale_precipitation_rate_mean,-2.603087401459632,-0.2716185884961219,-1.753761765963879,0.6978337856246261,-0.15287768495367868,1.3465261583634638,0.6267052537064542,-0.003003707106937208,0.4202746075046911,0.3454221228779558,-0.11724726331489135,0.09459790348141385
13,mean_large_scale_precipitation_rate_mean,-1.9693675437845601,-0.8301483435676446,-1.2188010884694422,0.7140704665702686,0.14136688414322401,1.4420069293659659,0.08794886257127646,0.18417605312775914,0.2556643135150045,-0.19847642140153934,-0.2846519379544977,0.200508734998302
14,mean_large_scale_precipitation_rate_mean,-1.7789948021113893,-1.2895341915110112,-0.50670753286589,0.909552342677761,0.4676132514462482,1.291673070067458,-0.5497054136359413,0.07190884452834574,-0.1276926317515256,-0.1455188359627991,-0.207375956416689,0.1617485365412022
15,mean_large_scale_precipitation_rate_mean,-1.4943391545310925,-1.7193740418452397,0.058845875661083236,0.9978961929355996,0.6111942377228748,1.0103895355017722,-0.7645605792800804,0.013235932262116362,-0.2628925124090395,-0.09004464721971059,-0.06142548748343845,-0.11870035509789101
16,mean_large_scale_precipitation_rate_mean,-1.0787084825986013,-2.2505336348413802,0.20499765091182046,1.1695734211748536,0.7922606894463384,0.21484776895931912,-0.7476102538418179,-0.3230355495286841,-0.12711427073014273,-0.12068081716988177,-0.02490451944237526,-0.2964237314921106
17,mean_large_scale_precipitation_rate_mean,-0.6236742823485567,-2.7321257650781945,0.8676995183296182,1.0734776396934178,0.693276485590979,-0.35459878391135685,-0.4655177543454912,-0.4075024258324426,0.03643799381040211,-0.2456125464600932,0.10933868093827065,-0.34291615212026305
18,mean_large_scale_precipitation_rate_mean,-0.2720153154602033,-2.8734428938180567,1.266131878137589,0.9415583741752809,0.5620208301584578,-0.7459085507004618,0.044824708438617945,-0.2741037664834245,0.16408234576585684,0.039200826823361005,0.07089929052719281,-0.02600680133930959
19,mean_large_scale_precipitation_rate_mean,0.042607783022231845,-2.7988283748679494,1.2036852547155454,0.8217347585157092,0.48175720397003774,-0.7478047415652914,0.25106433913994713,-0.021617080085195372,0.09463117117785522,-0.04053604906862927,-0.02932698717157994,0.17751598323222015
20,mean_large_scale_precipitation_rate_mean,-0.10729354204916795,-2.703737828736555,0.9219053781700783,0.8860585323876048,0.17948106051285728,-0.6094805237461818,0.2063819135384783,0.19606281603004838,-0.08755114594943993,0.34880157109219717,0.06258045238364426,0.4072471073624571
21,mean_large_scale_precipitation_rate_mean,0.2559213845841338,-2.566697274699594,0.8686707896221398,0.5968617608186857,-0.30862690741228965,-0.4866869140711978,0.3566658427157811,0.41832579693198385,-0.1588328338594996,0.3553952237682817,0.15887771106036386,0.45990468848363075
22,mean_large_scale_precipitation_rate_mean,1.0804345962627593,-2.508470195119538,0.752983603862062,-0.07918077658216084,-0.966872748541287,-0.2795610458163562,0.4911645243615877,0.4123564622572513,0.0432986091874782,0.2218267588027979,0.11143790920065873,-0.19279326853017364
23,mean_large_scale_precipitation_rate_mean,1.5955092153468307,-2.3177604956781837,0.4292569085030173,-0.4895858890174103,-1.3060031466277635,-0.1415801182894573,0.37379857674142974,0.38422993090411645,0.3408007232397071,-0.0450217561573981,-0.07700967997411257,-0.40827430342894366
