time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19
1,10m_magnitude_of_wind_max,3.9981653062472713,-2.4648343144895266,2.6339767299916765,-0.964415280630957,1.6185364272516434,-0.6771649422990041,-0.43699404221259247,-0.8295527253160188,0.31765106580925273,0.27156514655472225,-0.17378701832615817,0.23503995677037537,0.61889627901649,-0.07224014851940931,-0.20195500059068694,0.08089164331441764,0.14869062221625315,-0.005001567204272181,0.10636087529345159
2,10m_magnitude_of_wind_max,4.236168872986127,-2.4347093770772994,2.1944219375545875,-0.5880306113432425,1.160326626584346,-0.293397259181202,-0.2868462564248563,-0.21681167852902763,0.20857049820593707,-0.1407588701492748,-0.008114669610272856,-0.12193356461160128,-0.4686706755847943,0.12616488672816722,0.2704078304802269,-0.02257972021377032,-0.21885984248853274,-0.009727215886418662,-0.11011387684567239
3,10m_magnitude_of_wind_max,4.238261908607182,-2.147243861364115,1.1423592343835467,-0.0973436960584345,0.5744866488766166,0.2706919509193635,0.23817490573570668,0.9912176588599391,-0.31031403084262144,-0.3310785635258746,0.128782820342144,0.2966542500238618,-0.3777853562539577,-0.3491298588075917,0.20046010076985596,-0.12467777203801253,-0.2174184853436428,-0.15674228573525453,-0.06797219701203239
4,10m_magnitude_of_wind_max,3.7927492409945986,-1.7671351282406047,0.7297897944365451,-0.15442899075262845,-0.17422813470029827,0.38830702122738137,0.5120898172723171,0.9987531185438969,-0.4930152854669897,0.029890334643554815,0.09646500707385822,0.1548071594670403,-0.03299163550386305,0.012745686776224606,-0.21127562694812396,0.07176912691507353,0.36813723119301517,0.14475777587904967,0.16386030722455874
5,10m_magnitude_of_wind_max,3.6710149762440514,-1.6231985541262521,-0.19854662376110654,-0.014225659294275361,-0.672300115257955,0.2252994986781224,0.5907768688753146,0.3643941562505187,-0.2785362607375459,-0.011982511153480037,-0.24949487198897044,-0.3343959345388867,0.3791715899493027,0.44271312256481576,-0.15977611930645877,0.22221836393569788,0.15623968217752013,0.13849583576726696,-0.04641796859126162
6,10m_magnitude_of_wind_max,3.547217222100907,-1.0547747429617782,-0.2720877954020896,0.26953685011379863,-1.2423779939975022,0.2670497125165201,0.45736012273518056,-0.2897439233014196,0.15237357233311657,0.05774992816386466,-0.10907447576454417,-0.3705777043035292,0.1929394440456329,0.22759833820076095,0.10757378392689579,-0.04512287960704342,-0.1408797040955498,-0.24717029119997513,-0.28056509791364326
7,10m_magnitude_of_wind_max,3.629323463761091,-0.9895554113770633,-0.3669793217631542,0.630451383344952,-1.4403149336429615,0.1558236697351688,0.43532257816232434,-0.6236028686042379,0.3265411365679327,-0.21296859228834858,0.022201041155126767,-0.24280719503419984,-0.010893866134724046,-0.16353543745371324,0.010334858306741542,0.04998922937400371,-0.09417537950872651,-0.07114214818199291,-0.02120032506992508
8,10m_magnitude_of_wind_max,3.079837318997728,-0.20175393219222246,-0.7806593580441936,0.847912025459822,-1.0667523271914412,-0.14523107587973227,0.2094985447180523,-0.7087536416663299,0.3902349734846251,-0.030024928366249502,0.31344820841951576,-0.04128308250818972,-0.2658785608813236,-0.33042981540431693,0.07480965708736179,-0.0871859229025531,-0.05142692382988354,0.3562553139314063,0.3558689814271878
9,10m_magnitude_of_wind_max,2.785406765722504,0.652989686301257,-1.8473616971013918,1.0407053187868924,-0.4673097211754284,0.033700172193010816,-0.5715100128779202,-0.3783351480818738,-0.029642178433634564,0.2866567622532768,0.17511975094530144,0.7439532175825483,-0.1586375495563709,0.039745010637969515,-0.14089279055132187,-0.1859710067191227,0.24190100060715125,-0.05883318077633635,-0.07799404628592523
10,10m_magnitude_of_wind_max,2.723146139233254,1.2175960964878476,-2.029572433466808,0.6515053200280729,-0.29864766626582256,-0.02658341424298492,-0.8944478578555815,0.06813202778125015,-0.43982281965896625,0.18741681083071596,0.05489677692746914,0.5217671714863668,0.08943134419920469,0.14205714004410158,0.009061202756639786,-0.16127623839180066,-0.09778440865253248,-0.13792922059344012,-0.018916543766892564
11,10m_magnitude_of_wind_max,2.1914496399411654,1.5669679207769625,-2.415086665648832,0.3760139087503979,0.36266623818386123,-0.25231652505939567,-1.1080768570546395,0.45681968683587615,-0.0608290249825472,0.04509757658433027,-0.2514547768119379,-0.40488126286143034,0.1431644132794079,0.3011632224257666,0.17092474698631874,0.25935766794685766,-0.17328106989576475,-0.12117256760204952,0.2575237249739388
12,10m_magnitude_of_wind_max,1.6549545838264412,1.934026727844285,-2.352968399395505,0.41592474231709453,1.0056053880481663,-0.4823627163728153,-0.5205240630616159,0.33184089906594283,0.17175464027828383,0.07160888877496784,-0.19968457816014493,-0.5980331795044016,-0.10939530199238984,-0.5054562780489287,-0.12562234322760468,0.10760941647153818,0.14479844453663662,0.27709932322679903,-0.32097423886934595
13,10m_magnitude_of_wind_max,0.5019519881125896,2.7907349914612842,-1.7707061942195348,-0.5112882915220589,1.2252582978910826,-0.297850430131426,0.8673092928875161,-0.12125676643679374,-0.1447071207087228,0.3154923251309117,0.1327642210645457,-0.2608686643460882,0.0287729771001416,0.007707086272080687,-0.07054778547059103,-0.4992702103904863,0.08742982853829054,0.021113751098609485,-0.042515503856954094
14,10m_magnitude_of_wind_max,0.11112686001181392,2.8437846893204433,-1.5802786294368147,-0.7450427470903243,1.1893947196371786,-0.20370520920526827,1.2078483983233121,-0.09321932500337114,0.1460329209025944,0.11903719160782324,0.22805263268379797,-0.0004674925400730681,0.08609930220097477,0.04087361391733216,0.08040678336436544,0.002036842069661598,-0.10232729195974621,-0.2426278315744159,0.16248233404290974
15,10m_magnitude_of_wind_max,-0.22724892314675282,3.185950192770832,-0.9828797163581303,-1.0332935530926997,0.22091946152521447,0.03159541050667093,0.5661283264628435,0.06434523007234719,0.32890549001936886,-0.3094613759331662,0.2589379621454413,0.5647834345445464,0.044904233739296015,0.10349267211192366,0.07117207378121224,0.5260140109409547,-0.19182282895164746,0.06122041206609494,0.05500331811191513
16,10m_magnitude_of_wind_max,-0.48713170836579994,2.946473627982634,0.2976397193265712,-1.3548280806358266,-0.36951740550187484,-0.21599923919480493,-0.19868950998685025,-0.20206163499244173,0.325575417560932,-0.7210469258590366,-0.1759626143881684,0.29534346318956056,-0.22195295852473398,0.14227507455666835,0.004011958739990261,0.22009036518398675,0.28850363391156686,-0.0967473357842571,-0.2372676008278076
17,10m_magnitude_of_wind_max,-0.6802979691081331,2.658886816629548,1.0704099485351244,-1.6802808834957847,-0.6815872289863045,-0.3138737868032874,-0.20654888037379848,-0.06781555717374624,-0.2434561465859638,-0.7274938641180595,-0.3146046669602916,-0.06561252172703314,0.026189073089390058,-0.14517884962142866,0.10988832963412087,-0.2091459399427812,0.09326385996133968,-0.028235870815988103,0.04429639067975052
18,10m_magnitude_of_wind_max,-0.5958801115599205,2.3791285199565224,1.2714593898873818,-1.4482263436882958,-0.8605251926827328,-0.31746933229362645,-0.3127641387052423,0.2539579110991066,-0.3427291487108075,-0.34835278780099704,-0.17445523463389667,-0.11890913320497053,0.23841669630984014,-0.2173322023485659,-0.1291457776773305,-0.2944862178561749,-0.07472011147190546,0.17041234312685177,0.17971665218679664
19,10m_magnitude_of_wind_max,-0.7855656852845774,2.3065406874774137,1.6800460117627227,-1.204865973044444,-0.7416377108765957,0.03331063396502868,-0.28122122124726645,-0.03706908764000078,-0.14270159281018116,0.5046933247859198,0.07768990964944739,-0.12438952319422075,-0.024509033912059143,0.1535525965517182,-0.20265920445299682,-0.03354873827840138,-0.34201568690199413,0.1595688723331375,-0.05371603030608552
20,10m_magnitude_of_wind_max,-0.9976957589730875,2.044265809490102,1.9699524933349437,-0.7095534857449249,-0.28617868048808526,0.3293384407524668,-0.10998670863996027,-0.0431337207855774,-0.1377693545309704,0.8518973198843056,0.2114639214838861,-0.14376729043106673,-0.3762411305824987,0.19699035726438105,-0.2746032365276572,-0.023159536938727965,-0.0962584615886356,-0.1909905666044679,-0.10618865651059696
21,10m_magnitude_of_wind_max,-1.1739614710207193,1.8130962729650686,1.758114059129243,0.22137573377516961,-0.197096093193875,0.512028546487641,-0.25393429072647133,0.1162744826233634,0.3377011771210272,0.7315156405524806,0.12059371837703159,-0.2633281599417148,-0.37100164000903224,-0.08083263976845784,0.2168090656381464,0.22319586179291176,0.40307954066624163,-0.08274503370920347,0.21027863781135306
22,10m_magnitude_of_wind_max,-1.418367942859172,1.8213022225483633,1.4107910892813844,0.8824987042830489,-0.0541309185438953,0.858201848176692,0.06599030332089714,0.24494367235895514,0.30914041549549587,0.32900217598899417,0.028829084669768044,0.1820946119448067,0.48413869627041844,-0.11184551730672607,0.6865216473917204,-0.014789280036446872,0.10401545155704224,0.2749155587852108,-0.18560380492470221
23,10m_magnitude_of_wind_max,-1.5777379422662288,1.4878313955356135,1.2416510252772925,1.7161257589495436,0.10203055216123182,0.9694922714635212,-0.02739025121377744,0.31468778023882327,0.13046294899753613,-0.027943147759413058,-0.10077128124696164,0.19833670441172113,0.441065726263926,-0.2901779919204594,-0.15551376857357518,-0.094721748359332,-0.1577282111267528,-0.21936018522338435,-0.006663032612609057
24,10m_magnitude_of_wind_max,-1.4890823469845593,1.013352040271043,0.9793289120174462,2.0989001775596985,0.5570707236823332,0.7493854428000669,0.03993113630211713,-0.14536485390114762,0.2238534074554843,-0.43364535872370014,-0.2130842122290353,-0.16669896028480824,-0.01107543321660011,-0.1768736920258874,-0.4266082687910797,0.021121536829450116,-0.11761718176355312,-0.198573416691352,0.04722537509687387
