time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26
1,relative_humidity_975_max,-1.241360967976687,5.129631920412983,-2.077843083559946,0.4849407415942062,-1.9107650110404952,2.8691331706449654,-0.11655318677972672,-0.02497032657178277,1.3300374391223078,-0.24857635923050062,-0.6188081498227948,-0.5289191773812447,0.5501999435034637,0.24349261753167026,0.1323050129234107,0.03979494756671122,-0.0010696153567148455,0.8360295806568463,0.05611713359590101,-1.135549463635104,0.5972080952107148,-0.19430516222826766,-0.19884856317027155,0.6587446548512988,-0.4084879429677122,0.5900394444763525
2,relative_humidity_975_max,-2.0373593752640207,5.422556349080437,-2.5107098987059184,0.3921084371138725,-2.4238912514494144,1.8274254340773883,0.2926355611920652,-0.23183148745707327,0.72161373388125,0.014993693643538475,-0.1459500262371183,-0.45599593708265423,0.49598528369293354,0.03854447284407054,0.481639808506736,-0.11195357686698733,0.2759113582655669,-0.5703863798031064,-0.8883188865277976,0.4932761314415292,-0.31659613407035664,0.241965762737307,-0.05098435779087765,-0.09238201515239465,-0.43211312506037663,-0.13571577045167157
3,relative_humidity_975_max,-2.1523963721047,5.532421338834527,-2.6492795742442157,0.4247159716485896,-1.9759134150238093,1.4490020847425498,0.04201561323469708,-0.7866337110172331,-0.28389782635818683,0.2996106277473284,-0.5997066184185937,-0.04783902591302489,0.5056216398488469,-0.3085396669518032,0.32374578837529067,-0.28001866003907244,0.35181650260100455,-0.6724437406223017,-0.24213414075222128,0.16364840995587834,-0.5193884696129587,-0.02858177465168694,-0.07876139855724068,-0.5960385504857084,0.2574912894093901,-0.40759539692158153
4,relative_humidity_975_max,-4.405132816314433,4.158444953167474,-0.8813503358633684,2.5600515877740624,-1.0218552597706911,-0.8776526133175292,0.53010071615368,-0.542907632299316,-1.2728596473545288,0.41426219912852547,0.3849044135532875,0.4683871377542278,-0.9131651535565536,0.008415665240403592,-0.2748026791015408,-0.38308338392806124,-0.3211155298659907,0.24811668973468012,0.5934005625360724,0.4487240351881651,-0.07965828986530336,0.2814258938416448,0.20815433015731397,0.09551639449087242,0.841122816804366,-0.3833296712081187
5,relative_humidity_975_max,-4.274932940390046,4.183941386926409,-1.2060996018358292,1.5297676240011566,0.7325540463814713,-1.487057458622263,0.0897732843375519,0.9519093791109742,-1.3837217198934093,1.1822795617143822,-0.011634655785435873,0.653926528540847,-0.47731953994473103,0.4299319389721092,-1.0159677531034712,0.020621573130765514,-1.4620130787591419,0.13617745873000414,0.4665062463330344,0.08122237558595224,0.4656542123909812,-0.07885094376793243,0.22012164853447005,0.1702232800057215,0.18207746479282783,0.15367739526505494
6,relative_humidity_975_max,-4.218264045869434,2.4241127558746083,-0.8401696506554344,0.2629083695205681,2.5331273201993976,-1.6297492803796432,0.1297552074539506,0.1402565545027236,-1.2557483763446535,-0.4450601077009397,1.1677260629836237,0.6784100108218065,-0.19024199382610693,-0.021440004825245034,-0.64546156180668,-0.0033012821972961473,-0.18748017930047944,0.859620267523205,-0.07838522997543952,-0.2772890557350106,-0.22225570469540698,-0.5350370854224807,-0.024116688287668386,-0.08805875341455191,-0.8082036725844333,0.4527207615019054
7,relative_humidity_975_max,-3.462361241803888,0.3094601579235855,-1.3680579849903358,-1.29348502371224,3.9875996580670816,-0.9155108503759597,-0.11824703529909937,1.5691434627538907,-0.3028231542878365,-0.1258339474155845,0.48592454750591646,0.1320413780663563,1.2062028937185874,0.5758034132866107,0.5564768328952368,0.6521657681497116,0.20078026121699302,-0.3055276747240554,-0.7362954754025571,0.1553581040450185,-0.4017833519129485,0.43651754638506424,0.2227209369117226,-0.7453745479921138,-0.0421003270684625,0.28620020263018914
8,relative_humidity_975_max,-3.508901668130171,0.6527242152452015,-1.763861530176122,-1.9390371893341176,2.9798939840304657,-0.4642323759212143,-0.38277811146801854,0.46279422990657343,-0.24845107796444885,-0.6860921140955922,0.6949700937323755,-0.14737488595333195,0.8252766768394073,-0.01639518532745845,0.6617872185178344,0.42090050267453466,1.5570884606563467,-1.2543522176732307,0.7493239425833452,-0.7613078562454626,0.3684425423848807,-0.22609310536522595,0.17496041749791388,0.5719866259674256,0.1782871423973621,-0.3369666443151719
9,relative_humidity_975_max,-2.549110043121915,-0.11397868629535544,-0.9877632497840539,-2.3041870427055904,1.8292766779883363,-0.6640271594486791,-1.7424229660741597,-2.341206163104791,3.360591630266739,0.6778479947737648,-0.2592899000573349,0.7199845530565279,-0.6454496899340256,-0.15217626016708513,0.008538441754632869,0.5027012727919002,0.3071346156799737,0.34987624207752643,0.2641459309823719,-0.06920757091011581,-0.4444991147655182,-0.4193119151044532,-0.5209393133889852,0.2977267816236337,0.42868983168312896,-0.17434815139490353
10,relative_humidity_975_max,-3.6885678613147075,-0.3940999991481084,0.6575771522792649,-3.9149837542189863,0.5721149216840237,-0.17812495004738008,0.37888268099013694,-1.2032173671125546,0.5793549842212795,-1.570672631586929,-0.44647112493548524,-1.8254651827651287,0.17589617899650312,-1.332383049528427,-0.41033923235162817,0.23987897359362098,-0.6641354903886871,0.08066961569564067,0.015131277432655937,1.0147407994947548,0.6748594659895369,0.9315786502631914,-0.3488730021390507,-0.07345221782628486,-0.10459890112653994,0.18624413698100192
11,relative_humidity_975_max,-2.716706239718472,-2.062075654369289,1.4414623014342363,-3.626975498524482,-0.3001098627550934,0.2606031967746446,-0.03218281221910025,-1.1902391974613604,-0.07332649179073386,-1.8329458705356694,-0.4520104774863732,-1.2331411181964829,-0.7859887761450001,-0.7330317803600431,-0.42152007633935223,-0.6503551704047338,-0.6323607353079597,-0.06572494971078732,0.1539890466251641,-0.131441343820584,0.4044572702292894,-0.3456496474441179,0.7425261248307684,-0.008907304425602386,0.03272848052467311,-0.1804571879426454
12,relative_humidity_975_max,-3.7013318669804725,-3.667267688962404,0.13958332829404232,-1.586245130926284,-1.2164845200183498,-0.45946164005611817,-0.8405017772639223,0.2982811863754542,-0.7567797671040015,-0.9547912786000453,-0.2377929746509896,0.37069546153136274,-0.3543674913024843,0.23003103814538542,-0.3150595531671697,-0.36176914864474813,-0.5942836046394763,0.23536252785524084,-0.7261060130980797,-0.3853691448542672,-0.9327388341173809,-0.26816297464582184,-0.33707542347605723,0.15712211669984136,-0.15696389084816906,-0.5005298252471154
13,relative_humidity_975_max,-2.7158827768647202,-3.2908401738322106,0.5124968926289136,-3.093965228015151,-2.84045853999581,-0.46973226785342315,-1.033809109639012,0.46233141511635356,-0.7846156157143882,0.19338021792541352,-1.2581156377630467,1.2930331949039882,-0.018847936633855047,1.1815535090798708,0.3723001513593526,-0.6213545841236612,0.838461959017124,-0.21812553696084977,0.05247357546374849,0.3819890170905253,0.4351990032061427,-0.17042018867549577,-0.3538559298610255,-0.221907913319634,0.6091984471015462,1.154960538930703
14,relative_humidity_975_max,-2.38051942317369,-4.018834258915944,-0.4068105317762259,-2.4799708053927696,-1.1966390628922587,0.36470171831170395,-0.3883558854567518,1.8431011452749844,-0.1824403963800079,1.1078585755202774,-1.0918060044052325,0.2807290205404997,-0.003571775122029185,0.4073347158206941,-0.321560053005992,-0.8109605585758138,0.4120656293744223,0.5145561000906769,-0.5868059557258473,-0.09651889945406678,-0.3327483083242892,-0.26733079126970644,0.7714013713080933,0.2379699550310421,-0.26375055380894713,-0.5555895166716823
15,relative_humidity_975_max,-1.6644645282428365,-4.271730610375869,-0.8715057789447753,-0.39207155624977186,-0.7344822120509811,1.3773537941417566,1.3297344188175613,1.7817985675758028,-0.04666755605556349,1.4751708856551058,0.17524146784924013,0.39577248852041635,0.898192125750021,-0.9272067357995455,-0.04598433670220065,-0.04201014705467776,0.1277686564673129,1.0787672987518733,1.4091481428875314,-0.4769163105581307,-0.37552547294344935,1.0690025032102544,-0.6198868825600559,-0.27634409458384784,-0.28014555468207136,-0.16443379391893007
16,relative_humidity_975_max,-1.3027617525309039,-4.3174344179278545,-0.9363872795500771,0.5789867465933671,-2.2795379996682628,1.0702619563801736,1.4488550453081754,0.15190923744156964,-0.08737167033666147,0.5094654988128997,1.8821728553320278,0.6946343433368858,0.4333821313202037,-0.2962208603658655,0.018757615084624642,1.9329935894233468,-0.32206759941996854,-0.48050046256378687,-0.07869089054421988,0.6390373886178189,0.38873906692366017,-0.27554502354227783,0.019822253671786923,0.04276530926805974,0.2761225953564776,-0.12823102532396868
17,relative_humidity_975_max,-0.28783581323689467,-3.8373322098477822,-2.119789113048025,1.7972634333922193,-0.5611037513744326,1.690476124292605,2.5106004143583616,0.6602261668482117,0.6621654583067169,-0.0007125307386694459,1.5078655215687458,-0.10067871777681671,-1.251604368005305,-1.3044707364225496,0.3919449746498638,0.5042435523821284,-0.10893700998881868,-0.12525213577051905,-0.7165302711268289,-0.21199476507642379,-0.12071784804785429,-0.59381108831729,0.28565193585135296,0.17560655912998244,0.08380422860687196,0.406640145733627
