time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18
1,mean_surface_net_long_wave_radiation_flux_std,-3.675263496567152,4.083021991192487,-3.6452539099247194,2.237774296242519,-1.104573589529396,-0.7978933282328978,-0.9232448318318467,-0.5819035473705323,-1.0249511908552318,-0.0834985204700925,1.031686368490318,0.7485847410115426,-0.08081841541765776,0.31470731034979305,-0.037530009914253905,0.27440712047626237,0.11261437097993293,-0.09913276802625821
2,mean_surface_net_long_wave_radiation_flux_std,-4.264161892319244,3.415302146816817,-3.5255711054179373,1.8783047755715505,-1.4350860458587062,-0.3470627403211919,-0.33678491616597556,-0.8355521839500344,-0.3787489762968482,-0.06172558505053358,-0.5127984249037756,-0.2978690957462837,0.32948961579508945,-0.514349053674104,0.11304916013568901,-0.198155959736531,-0.24357805869386984,0.1598819724440955
3,mean_surface_net_long_wave_radiation_flux_std,-4.505353652453447,3.042103112984166,-3.1116609116437464,1.548707806191938,-0.6212244081810422,-0.4767148037703354,0.4024481953336667,-0.3702937494516679,0.3567846758628474,0.17456759212197237,-0.8564235065404971,-0.4822365852534426,-0.3201005482960621,-0.3239570263229857,-0.22807116857555043,-0.04313666453144639,0.1802523655205498,-0.19665428054137696
4,mean_surface_net_long_wave_radiation_flux_std,-4.152700006198135,2.7779437530758093,-2.502257789042864,0.7679018959842406,-0.05843055829192209,-0.1242794752092462,0.6514507228689279,0.7129948674718363,1.235217030134813,0.3490930100574194,-0.11460580034190233,-0.13114921639872026,-0.006933360125230433,0.7670519385504949,0.05354487890811716,-0.3430014213554096,0.16139708448583734,0.06543311032529246
5,mean_surface_net_long_wave_radiation_flux_std,-4.462756528400224,3.2024580724620515,-1.343778825127003,-0.1952349994005038,0.818940259417793,0.6589842872284688,0.9581301861718525,1.0817650382129345,0.751558587695349,-0.43309604225985304,0.4425978575879075,-0.06296078434254569,0.20308759887458744,0.3699226819634992,-0.1834088411962619,0.2382824160995679,-0.1714646336629409,0.14049269960623745
6,mean_surface_net_long_wave_radiation_flux_std,-4.163577186975912,3.2120132776739814,-0.41136852817286174,-0.9728751936794214,1.558025715117179,1.0926233553166316,0.6056856886383872,1.1165758445651293,0.09559772950515057,-0.27706663377466045,0.19441109048312194,0.17553526752987944,-0.058244543415632094,-0.6682041259532768,0.651053371609972,0.14719069383916839,-0.3255251782668219,-0.24312958352378525
7,mean_surface_net_long_wave_radiation_flux_std,-4.27712386441653,2.724085195824649,0.7734755555282833,-1.5213887672533604,1.4499881283078784,1.703509882353562,-0.577425806004647,0.24128971684864056,-0.407457806581586,0.3177450421746206,0.10995153331596727,0.14793386207020223,-0.06963628295166067,-0.4114077831557472,-0.19763327330417296,-0.1559260000070107,0.5108863110399651,0.5655507123745135
8,mean_surface_net_long_wave_radiation_flux_std,-4.336261810431543,1.9217212688466156,1.0971739879310565,-1.9409671156275323,1.6025718823676598,1.0161663583621974,-0.7420899093428759,-0.2878386635017592,-0.6045524578700697,-0.32619304915631503,-0.2699893919213995,0.34549752551470925,0.06712142522170561,0.17959024662598047,-0.3175422676039664,-0.05611843256386701,-0.3032196976835204,-0.17079598688365058
9,mean_surface_net_long_wave_radiation_flux_std,-4.139549575122464,0.8040782327859956,1.472088845728428,-2.1504774157617264,1.0712997748347697,0.6055243202281179,-0.17417860817266076,-0.3737692372272597,-0.6394502755174274,0.22605577099942256,-0.16081952966038654,-0.3794142555418266,-0.026578014826853128,0.3373222570462285,-0.041436841622668974,-0.13679236280178986,0.2313902289401602,-0.5198287637843325
10,mean_surface_net_long_wave_radiation_flux_std,-3.9690039132002033,-0.12686727345245197,1.6554775510412494,-2.1019539371525067,0.31158955399435867,-0.3655331606684494,-0.10660527701897256,-0.9906556545752352,-0.3097873154174404,0.4860450506636271,-0.3228094132192702,-0.33315638472773196,-0.05129558103015072,0.26396967462075077,0.02054200331299722,0.1940245417462733,-0.35582274636278777,0.1891918311912525
