time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25
1,mean_total_precipitation_rate_max,2.1880802291232446,-2.5205346911671427,-2.608095894845612,0.34404781392908196,2.137894831614041,0.9414605756632742,-1.53401387498958,0.9433712047880422,-0.43523300618148575,1.0431319638056036,-0.5182694134809755,0.0244996955865989,-0.07048790615235512,0.3448205174934023,0.5930713169981658,0.6042116408344453,0.2211938412553871,-0.1620900753061044,-0.053887357599622814,-0.547633204401116,-0.009106454007548698,0.06655070960431814,0.16720127631602433,-0.11373284255125177,0.1656015829011232
2,mean_total_precipitation_rate_max,2.6400303705939834,-3.2114887510501515,-3.090889915020265,0.22079004891374102,2.1126491258312865,-0.47910854297203037,-0.38857176790091197,0.923863144341652,0.22369202408936764,0.10481579629242702,-0.5880923198598089,0.2752808795112428,-0.44011341026955086,-0.4633086492350682,-0.7113280784947072,-0.6265869642760026,-0.4075063722524848,-0.01645279243121803,-0.08642076009862325,0.6136889326520368,0.05557757818514032,0.02587086356784204,0.04698004919261934,0.16333027175862808,-0.20213303830237478
3,mean_total_precipitation_rate_max,2.979093782320118,-2.917759151593201,-2.059005406839606,-0.6403065644361899,1.4312081368044474,0.058408878053825476,0.5098071691160501,-0.8001205950279738,-0.38702818332674876,-1.0176061692939053,1.5471864899294914,-0.8930767616252909,0.4733878511433078,-0.3788943106791238,0.39313826747634834,-0.2835450622415511,0.36021487627127985,0.34611149373974986,0.21592651009267216,0.1571597295886898,0.21095950504923297,0.04280229507574045,-0.18050458015430765,-0.07078516370111322,0.023718519703896445
4,mean_total_precipitation_rate_max,3.325385651699541,-1.9842200823244722,-1.2766626274975954,-0.8972473161882188,0.02322075710881807,-0.6631568869654361,0.9513843499919433,-1.333718390601242,0.3814499377601476,-0.5859111242165356,0.05763474870945131,-0.47018517644077285,-0.0887455147492458,0.4207530997340657,-0.3400858464521197,0.42146834700320585,-0.21617445757991122,0.12616625730493491,-0.4814339249166243,-0.3739602354831154,-0.1671853830651748,-0.0476088356256719,0.1460632957377599,0.07932139310101195,0.03913378362313691
5,mean_total_precipitation_rate_max,3.616928883613273,-2.222547594060949,-0.18701210647685151,-0.5557315898603198,-0.8552301774823322,-0.32629719277152985,0.3315549559912141,-1.4753535383454992,0.23410358802310918,0.3403310792901087,-0.6601953480875306,0.5057564245158727,0.47086415430293005,0.08192972248048809,0.4006261236757789,0.3570631689553549,-0.513521491884774,-0.5941713813343806,0.05489675726954188,0.10061403575886477,-0.4711898199574754,-0.22043822377641453,-0.06634620795872113,-0.13209167493774837,-0.10144882341981291
6,mean_total_precipitation_rate_max,3.904565601795361,-1.47900365265373,0.669208050911362,-0.504458154501793,-1.4210665996619105,-0.705678245509618,0.7537946571672623,-0.43773821219429193,0.01834066452072982,0.5301726171200097,0.18740553441296492,1.3920992007755202,-0.8555910984657967,0.0736701449260145,0.19191853005458168,-0.12312849577653329,0.72707774150446,-0.13452012986763073,0.15057884820936598,0.2319563067532933,0.28502751323524395,0.05059744288332986,0.17099145541157257,0.10859920753138518,0.25186555886582596
7,mean_total_precipitation_rate_max,3.256701743677079,-1.1614418518149718,0.978276152461024,-0.7533570207195114,-1.8859483172307414,-0.055575025024860135,0.4079843571788829,0.5614378952481032,0.4749259971639565,0.4222022061148929,-0.7175596260131826,0.40169481286196557,0.2894538952108514,-0.5214524445185834,-0.27985570990145203,0.13859332905700722,-0.051377265011064016,0.6953102565321314,0.27883960437470534,0.018345041505151708,0.08036628590896024,0.1505442291979757,-0.4073263114248066,-0.36986888545860286,0.02770786825468386
8,mean_total_precipitation_rate_max,3.0614639783371786,-0.3606120552505797,1.211545240735403,-0.5889997523073544,-1.424452023601441,0.21911890338289278,0.8483241653588506,2.0148341280330557,-0.6464531345828606,0.2773111869810736,-0.129428067664507,-0.6017961087063597,0.03550806822593862,-0.3172434923370736,0.11935498631823578,0.019072745009941838,0.07041619442056751,0.2766731399979338,-0.4319134993979298,-0.36476266096285664,0.07137543258863357,-0.16508279032795403,-0.015415344316908174,0.1094115894382489,0.027187135336269822
9,mean_total_precipitation_rate_max,3.2687331947642106,-0.008920703052397781,1.0345679572390374,-0.8967127928904717,-0.6748592321632755,-0.17114685301904825,-0.016496568574424993,1.0475319091477653,-0.3216743480230362,-0.18822760267836275,0.2733525474932263,-0.7217832865782655,0.41722466937228786,0.6908192298871468,-0.6739668911038825,0.11991530465352973,0.47914852617156445,-0.5808707803398117,0.278753867947049,-0.16206178153494472,-0.10259300197069439,-0.07352410258641578,-0.312213062990397,0.21343110558731015,-0.1921459201028298
10,mean_total_precipitation_rate_max,2.793175110785392,-0.40260247910185853,1.6687736880904838,0.4544915724205035,-1.4389098087489833,-0.030341835402859323,-1.1598500356524228,0.5497923157243982,0.1939024797932426,-0.41072990296533896,0.49723939915733817,-0.3291822036311405,-0.12719781793946255,0.9586248983082832,0.07549300240953614,-0.5935806204767627,-0.4222829026649714,-0.020531680325630876,0.3983803325826575,0.16670902595864343,-0.23551337968051922,0.6226015605264039,0.48157699635758683,-0.20537540950638816,-0.08260639040569262
11,mean_total_precipitation_rate_max,2.48863875954946,-0.07263930626176196,1.7383380928930035,1.4859025623044877,-1.3104014693191262,1.1436098122131526,-1.2055357119297854,-0.30782854604166443,-0.03217966951046439,-0.45322114824111,-0.17772244686635302,-0.2994315289742881,-0.18970589329865603,-0.019621228606791837,0.903289319240742,-0.36398519790180184,-0.20955438946446484,0.2528520783061401,-0.4029694375136669,0.269374817743534,0.029706802745768826,-0.4903385242818332,-0.1578158758071303,0.3259496065705974,0.006999481905375668
12,mean_total_precipitation_rate_max,1.92994505189628,0.5164260835423288,1.148153395436449,2.7315759331863165,0.019905670972181735,0.6516796277418326,-0.47345042338078513,-1.2859942004908098,-0.008252289843515422,0.27296363000412205,-0.7302200570910572,-0.023783120832075854,1.1905277456871222,-0.43386164729778004,-0.5831335055675435,-0.6420632926608545,0.27010923850934415,-0.13597387299204056,-0.04267932117992201,-0.36212408503877436,0.3805809614279978,-0.0015875011813698062,0.27065146357829845,0.045987205288130065,0.05645267870637741
13,mean_total_precipitation_rate_max,2.1537143621692065,1.1784069954288714,1.3604660394445758,3.4003699212330663,0.8546956241754441,-0.25660162217680016,-0.7991442074475472,-0.12063552443799133,-0.18016418030044967,-0.8587804154813952,0.778721804742394,0.5798255520371356,-0.9158342639863516,-0.4134124146026973,-0.42519728630312537,0.46078906297299416,0.20174371340938435,-0.006155392824334019,0.08078651154636002,-0.24686013656409422,-0.443247275213819,0.05783006389603376,-0.3813089312632436,-0.0909480629749827,0.07698890578550088
14,mean_total_precipitation_rate_max,1.7305423583292385,2.5000599355121826,0.7107464884696089,1.8863941876454748,0.7574046502367748,0.4050210984649228,1.7662386266466592,0.8744632708714193,0.09766484456111846,-0.19167310481819008,0.09640401889242074,-0.2174991165074464,0.40952204027010586,-0.6142334617409801,0.2573201790058421,0.7104283006369595,-0.1285014056363091,-0.37854404367725486,-0.1978926543266137,0.5457786903701295,-0.09157981878962394,0.16097991438050122,0.38871134715416694,-0.20363469845705343,-0.10069150098581649
15,mean_total_precipitation_rate_max,1.7378247424430435,2.986929380526519,0.2533104250558153,1.0282772200808756,1.684919170682373,-0.05649744790746287,1.2790324778478273,-0.12412580805638426,0.28288378199618086,0.1898744118834689,-0.5021756890526795,-0.08412614193953813,-0.6597190303203558,0.8761466532641634,0.3432291280926371,0.0019412115053302514,0.011599578739296153,0.22535537694994376,0.24040764971722428,0.014779197851121589,0.5624748957975066,-0.16699414300406573,-0.05401354570727284,0.21195748230960096,-0.26986103669880296
16,mean_total_precipitation_rate_max,0.8340049221786744,3.138044815461447,0.43509330423894516,-0.15187964627529665,1.7375600997245628,-0.5808433155321446,0.189425515521744,-0.3550235113642806,0.20196896475609075,0.3379972459660882,-0.5881075373060537,-0.1773670293182865,0.5379981114599477,0.4595992211775431,-0.05329396420037424,0.10919150123801875,-0.2011647998593854,0.5239640858650273,0.477954353321118,0.06740387291071735,-0.15870947789319928,0.2649418951486462,-0.23387964393615543,0.012228235297141428,0.2804608095124838
