time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11
1,2m_temperature_std,4.649264844359962,3.739184282496489,-1.8648217151430069,1.933515110591024,0.8118373498822083,0.37938181429830453,-0.20598853168328182,-0.17112673591591845,-0.013238986085460983,-0.3536093995079384,0.4981344444083319
2,2m_temperature_std,4.574640886939211,3.2678497559147086,-1.643439999110421,1.6269194475220448,0.4194284613266463,0.6271006090030814,-0.337143163585365,-0.16018176542147844,0.3699978225534321,-0.30072034535714265,-0.06123984947086131
3,2m_temperature_std,4.571826189252692,3.049786362739566,-1.439034710746445,0.9488551617539445,-0.01229693748936626,0.4175846197393961,-0.21364307481044154,-0.01088053156996203,0.19644750360307814,0.1106493987885433,-0.38625168225067474
4,2m_temperature_std,4.761830345378407,2.4212073280950794,-0.9509413233215047,0.29990665273251066,-0.08721723604079645,-0.35320736225798893,0.21416200869705618,0.2169800411963094,-0.31012664009060426,0.44952338097675876,-0.34334628446608056
5,2m_temperature_std,4.694044334283585,2.004264861956792,-0.6773425588693508,-0.34264409734695545,-0.2884295134547416,-0.3559850658435222,0.33699164916311725,0.2768502972368284,-0.2715062619563775,0.4096134989977025,-0.10332687950704998
6,2m_temperature_std,4.541660342952082,1.3389184663743956,-0.24723251543229013,-0.8350364987844537,-0.4609041012737725,-0.513611030985496,0.29293078105785963,0.09985597263672193,-0.3532280261198466,0.36927703394574113,0.12207132930808041
7,2m_temperature_std,4.142174715920563,0.6689671713607542,0.10793723883603752,-1.1768843108828628,-0.661433959631575,-0.5499091721462566,0.5097279011645494,-0.08835638891514504,-0.1945902665127315,-0.10354072454915651,0.18992501093359143
8,2m_temperature_std,3.9040314693192495,0.2416347181434807,0.6293011209970809,-1.550522407872041,-0.8956008011980772,-0.5057984378259495,0.2346651863535967,-0.07446525038676466,0.11277576221398003,-0.3400465904905654,0.2928729356339562
9,2m_temperature_std,3.41759546520401,-0.37166962195861514,1.1783749562774521,-1.6249926678537523,-0.8823313969477259,-0.22488152259709865,-0.2079024544654692,-0.20074868468787488,0.09685084793271083,-0.32813173269365614,0.12105795198867039
10,2m_temperature_std,2.9022131935780786,-1.0886995400992403,1.528913057719732,-1.3296707078991956,-0.4299621283505558,0.15799293616655458,-0.5972377097975214,-0.07873240020823831,0.6434718359776782,-0.4443437850357795,-0.38863448223216784
11,2m_temperature_std,2.3039718941930745,-1.996628651886238,1.726114852879313,-0.7651472488163593,0.18910939180126002,0.7946531521811565,-0.5815220921924663,0.12532733920163677,0.27886461946379687,0.11167748273019253,-0.1686058790078219
12,2m_temperature_std,1.8901807500582346,-2.522194010031913,1.8340312185166479,-0.4683129133220952,0.807561759831451,1.0777523439651786,-0.48293282417620637,0.1864523210334638,0.11231633323426095,0.5184982455380119,0.3236179201205569
