time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20
1,convective_available_potential_energy_std,2.972940937047154,-1.4722268225195392,0.7537332320086608,1.5536470098755195,-2.8856353172048395,-2.595831425723014,3.1887820126099506,0.5357353996115013,-2.0379098538982916,-1.3705027769257336,1.8089921007161356,0.4296833467110005,0.3321891199738285,-0.1713039319499373,0.15847800855803282,0.005293527598806912,0.3581356359741142,0.11658987600317786,-0.1271270340809265,0.07015192821409434
2,convective_available_potential_energy_std,5.443221261718063,-2.115703355500175,-1.6159745084073651,-1.7809984184503362,-1.604649962995921,-2.5965244947706716,-0.5933420098479254,-0.743257324347359,-0.45969621176425546,0.08395019861588868,-0.17503099171368336,0.2523525172939753,0.22994065109051845,0.45533250844784184,-0.2151220144968608,0.14429106276331916,-0.39025707360838746,-0.060741073270256365,0.8773119438983057,-0.038822610434970824
3,convective_available_potential_energy_std,5.6080465248932825,-1.6544522444626701,-1.6245385785968438,-1.984031198504361,-1.3797643840217944,-2.223245390189193,-0.9177920861556366,-1.0490722227282991,-0.054280515754183106,0.8272374504766176,-0.5687130581523413,0.38056661764964633,0.09548362099213838,0.08664594265790514,-0.14485466070469305,0.10455268426033784,0.016633897060974342,0.09490796895371652,-0.002433841951138758,0.1366171494638351
4,convective_available_potential_energy_std,5.510014683906328,-1.6704128842873454,-2.334561076961258,-2.3692845494484263,-0.8841429117107042,-1.2775968520086585,-1.169919951575389,-0.9055540893477945,-0.12794431746336157,0.7433290986883697,-0.4309255420284393,0.280486571287278,-0.17373975379245235,-0.012819983955975627,-0.10479669839430585,-0.2283860321048736,-0.00457718475231083,0.10497166634653712,-0.4936418124854642,0.010884623263132538
5,convective_available_potential_energy_std,5.084431450067087,-2.328186153860111,-2.313054395357707,-2.106438194319491,0.30903493381416347,0.23963472935581734,-1.137091011241051,0.44359213457060553,0.47744942686987,-0.12430890908346383,0.18101654488178368,-0.26374737766418827,-0.23034619487665645,-0.4148967770322594,0.10978963658868178,-0.14529382170253374,0.41816765608242557,-0.31127914855871164,-0.6536877252046857,-0.2705202199106971
6,convective_available_potential_energy_std,4.646288678851475,-2.216673071761806,-1.8709667680909503,-1.5760486573825014,1.3029201813537623,1.4898241272922126,-0.42850799004270673,1.3719826320934028,1.2981306247516498,-0.6432916695376593,0.953651424312567,-1.2442033025820751,0.23364698947951654,-0.37457333931942005,0.3400887131252736,0.18499746402629658,0.2328548964821607,-0.23930423236960296,0.33209577257072026,0.049907779382782416
7,convective_available_potential_energy_std,4.680137284081825,-1.5651662376227162,-1.3386531181949726,-0.1062826795235207,1.6034607840842239,2.3299059202000163,0.46953180390178356,1.0766183152051367,0.4918351788443193,-0.7725385723437159,0.5487203612700476,-0.9239247714274694,-0.08073268400070795,0.23044853737018942,0.2974230601711841,-0.21771469517945177,-0.367717451574826,0.15025917140716616,0.10509768343186979,0.030252438305689244
8,convective_available_potential_energy_std,4.115395287076956,-0.7069315170177896,-1.3698013268864468,0.7488851146242704,1.6328465815661402,2.782416339219814,0.3675013476610952,0.9697490871209699,-0.8583169356151417,-0.7832092556243918,-0.17040232983998846,0.5799076012485844,-0.6318276918220954,0.34896315607312034,-0.41689195952320246,-0.01838422428294255,-0.3653658561765424,0.16626645705263135,0.029787586722668246,0.2487127840053034
9,convective_available_potential_energy_std,3.7798500870883767,0.6343815150137421,-0.5384977406673576,1.5569884035444126,1.577393676255232,2.622351662241266,1.0226920066441885,-0.22354477325322042,-0.4594902067897046,0.6516253550579477,-1.0902318995320928,1.8804264436714415,0.4776850993494086,-0.3587006499780548,1.0473591029321747,0.38503075060834074,0.10618187998354633,0.2921653082159898,0.09933639926958271,-0.03940989844343481
10,convective_available_potential_energy_std,3.74834010552046,1.59887721699904,1.5483980025817223,2.1764230629287327,0.12882176059342293,1.9519620345779098,1.2756604535030422,-0.9582984719877958,-0.14240550835884483,0.4147863969338613,-0.3928407183446387,0.07504778583009566,0.4738046488305967,-0.5644909083106467,-0.6551784333936632,-0.5397279556436589,-0.17174603993796253,0.055871430749180294,0.2862595823931977,-0.16819519805888133
11,convective_available_potential_energy_std,3.6900075350450985,2.027345966960803,2.1087857392834897,2.32587412857078,-0.165841944813606,1.3156328707978422,1.2038266287244173,-0.7659868261043031,0.22827695743679674,0.9268100516644117,-0.053580643304832545,-0.4176929428065443,0.36086972876067397,-0.16394037439639247,-0.9849986243268097,-0.2586432054646229,0.20432064606702965,-0.2716782736007011,-0.3057881221915784,-0.1110037053383224
12,convective_available_potential_energy_std,3.3504506344894325,2.640855809578521,3.470088670252393,2.508125363534692,-0.26315215659810726,0.1048690102260649,-0.30721602034464324,-0.44537713806526064,0.3841039963512494,0.7226508936292071,0.1942271008912065,-0.7196478762104552,-0.08644714065851047,0.9372476945845426,-0.25479483658379765,0.4011229031044921,0.0933871766462482,-0.02445951416810344,-0.31268735481054843,0.11783632167007195
13,convective_available_potential_energy_std,2.313429482770551,3.1349152329726775,3.977260007424711,1.9642075268317034,0.6281402280444336,-0.6208199288531496,-1.4673305666492362,-1.0561523014092407,-0.4293308668729491,-0.14853690566723748,0.41742937018670984,-0.6866577479223714,-0.6413264298285114,1.1591734888352965,1.0997196278576373,0.277560630784744,0.038537019771197105,0.192763921923357,0.1213329260350943,-0.46158316723719717
14,convective_available_potential_energy_std,1.3166742149812056,4.119427137593079,3.409179325869698,0.6127864459267489,0.6830052586583103,-1.167851093392153,-0.9410062499481585,-0.6198410782881576,0.08076207342793462,-0.5567310160909509,-0.24717641149619526,-0.16623396615369487,-0.741731138780793,-0.6642202552219115,0.2722285316954356,-0.46389479005213474,0.5318604637200551,-0.4879872219857899,0.07359524345001404,0.729090808360578
15,convective_available_potential_energy_std,-0.5363916969008704,5.836795825019027,1.2495663110490447,-1.668758057875809,0.8650466787745607,-1.5174726707739223,-0.03271094451047212,-0.22267940486982313,0.27181575624375964,-1.108065562263207,-0.8712919355036584,-0.13247342328142545,-0.22943740311383579,-1.112321022347229,0.0665504288239642,0.11369015308916301,0.12161188026292086,0.29140676412636246,0.3121814755319938,0.10976867783786207
16,convective_available_potential_energy_std,-0.9500939948760359,6.087328373139638,-0.18383915965322634,-2.1544524628808324,1.0411588042307378,-1.3046622401544017,0.8497895962647287,0.11891630720515743,0.3309270606612212,-1.0477673703522126,-0.7105428828344963,-0.09832859690344536,0.35784236552600623,-0.1733420465348588,-0.04348811324222805,0.21895515732285561,-0.5160624217610816,-0.1857467699295556,-0.14360025908004637,-0.5391995608392306
