time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11
1,geopotential_1000_std,-4.0281201536455455,-1.747502599165418,2.0055975672170256,1.4811221112624138,0.45687525661556705,0.7832579279829214,0.48838420213019923,0.0029877463962893073,0.3232310084775842,-0.5097433416115381,0.04236587555361527
2,geopotential_1000_std,-4.01564853858796,-1.8237884451122819,1.899499116616753,1.0828567476074649,0.3845540694212759,0.45805421454851186,0.09078774943713255,-0.10770228230931435,-0.02151660789265253,0.10792207518148503,-0.05994842586174539
3,geopotential_1000_std,-3.9996298928812895,-1.6504060037936612,1.3906019507958145,0.8898834631500425,0.2162408447910375,0.01815153119184324,-0.04956707696908441,0.19019335118062286,-0.2116599703779987,0.5124914455120877,-0.09006953891086052
4,geopotential_1000_std,-4.0248783503649355,-1.643676640475828,0.8948894668428601,0.36291949792479383,-0.1998883241124161,-0.38880835732281466,-0.47104341520570947,0.08481211813165264,-0.2232523851783206,0.25651819757726047,-0.03400196533761785
5,geopotential_1000_std,-3.9242525967899886,-1.4310654683543882,0.5140470892162753,0.03693917608568619,-0.30504072596461146,-0.5379204230098759,-0.2484799625109089,0.08951625862827525,0.019025257145611152,0.013966669449515164,0.11665237947283856
6,geopotential_1000_std,-3.9934127832650286,-1.360094844057828,0.14014647838864325,-0.36433305116131126,-0.47709489065448074,-0.5980239544876567,-0.37978551825428486,0.0350930093568249,-0.07573412105763232,-0.0950000114638293,0.16331785154229025
7,geopotential_1000_std,-3.904086445586401,-1.3286601215883522,-0.25374993452205374,-0.5558870366239326,-0.4737624207053645,-0.5920933118575924,-0.1738422709246947,-0.09801703526024845,-0.04181075498043361,-0.3647408985671918,0.1489412832650779
8,geopotential_1000_std,-3.7350721608098145,-1.185264940254085,-0.6373637157233183,-0.7913660547273527,-0.46001900075003105,-0.473709555974937,-0.03614256675180619,-0.10529509835091443,0.10446519357836134,-0.19198367094383334,-0.04959274318121976
9,geopotential_1000_std,-3.580051128891288,-0.9834041262545519,-0.8967129815044785,-0.9425515500923053,-0.21310369632765672,-0.08558623073043116,0.28611681091170593,0.006735163565076854,0.20934248621053553,0.012039597553584207,0.014262744801608298
10,geopotential_1000_std,-3.388215986055795,-0.5272687385840888,-1.1265242492680696,-0.8416268772011859,-0.13402023084811165,0.1289442060837151,0.44738543517538587,-0.1248759980492879,0.076590610910826,0.05000060056569841,-0.1913756002073938
11,geopotential_1000_std,-3.116590336465712,-0.1924792744983401,-1.275026560902505,-0.9258716559839756,0.09575754875345543,0.3662244285568169,0.45686442730329396,-0.0709277666117796,-0.056203782185281145,0.27461587500359025,-0.07610934953292467
12,geopotential_1000_std,-2.887764487483403,0.1396954898573648,-1.49842480756785,-0.7933795508444719,0.32052435487355635,0.5614507852192692,0.5440520393342229,-0.14310045536833862,-0.014296882793523313,0.13532384632317843,-0.1860414803605928
13,geopotential_1000_std,-2.1759850063908157,1.6848237681138836,-1.3879689818585716,-0.1270754990674433,0.2109947300713646,0.8154292318116918,-0.4851063048997842,0.5545393255182063,-0.177373780312392,0.20489074473029742,0.09865501478283188
14,geopotential_1000_std,-1.8398038799438812,1.8145310194238393,-1.1548545828273569,0.018401654263583096,0.29416884997731013,0.7006829461641042,-0.42437474700158906,0.25616409357196424,-0.1393874523191929,-0.036029432136828944,0.1080298284193085
15,geopotential_1000_std,-1.6725391607461326,1.9922834176717366,-1.193984287558488,0.06849564871603506,0.3412961428317629,0.49108686402578466,-0.3143532615927133,0.09812035591188481,-0.012987191198524803,-0.2554756788038964,0.05529381550762165
16,geopotential_1000_std,-1.3071571146158054,2.295995324313117,-1.0461011224476786,0.3890905155411607,0.5595436017765779,0.11470878595661022,-0.2675441069838031,-0.17398875299517716,0.06937721103458239,-0.33964567355175374,0.11558938683468077
17,geopotential_1000_std,-0.9319973955509083,2.396570796879354,-0.6228050379677452,0.5340609348744607,0.3341198210662392,-0.4528009181265034,-0.14157249998561303,-0.4684689512700352,0.18085973556905702,-0.18727235724546035,0.019220561592190034
18,geopotential_1000_std,-0.4200737626623456,2.3250206704660026,-0.4833460378751148,0.6360184250397525,0.37500672824953074,-0.6076848261563164,0.09081775457912923,-0.3776012804458993,0.08521547275150393,0.03402082904118111,-0.03395127575502614
19,geopotential_1000_std,0.010403848716704989,2.584786969405026,-0.24038156190448554,0.6864892518615808,0.13990367722696415,-0.4939179564104487,0.05384617243901245,-0.22273301870222226,-0.07186644432922414,0.33689716233379957,-0.19449814747786576
20,geopotential_1000_std,0.6150866825602076,2.583665837147676,0.18614071360638984,0.6392982722914009,-0.053904323470116755,-0.5263887966049124,0.09785950506723055,-0.04001725161371388,-0.1010491865994172,0.26714416402082836,-0.018999033707633842
21,geopotential_1000_std,1.049044401882719,2.5217980484563602,0.49134215084123634,0.37205667972885703,-0.4905207114255553,-0.4150301457978306,0.46755465265735063,0.16218062758074434,0.03486331741474308,-0.0880688984197123,-0.07337796688416114
22,geopotential_1000_std,1.367509585575803,2.0603871935261457,1.0141516053824777,0.16368053314748138,-0.6690945728936776,-0.28470121896183903,0.5227748876523255,0.3030567401653806,-0.18299231439496264,-0.0908611232371826,0.08749641982353808
23,geopotential_1000_std,1.9556259581678588,1.7495888745617512,1.3075043488362545,-0.24349642581302108,-0.8376161382816373,0.11982586224112882,0.35878948927568494,0.76734841378603,-0.0759907854674521,-0.01665027896446583,0.384650230251925
24,geopotential_1000_std,2.268403965650729,1.109094217048737,1.7912363004057406,-0.4974105714365024,-0.7209195322805121,0.3340061444936113,-0.3306370910748381,0.012988689563019469,0.4841202262486164,-0.08772489456255403,-0.403327332654874
25,geopotential_1000_std,2.5143175948635266,0.7383224311263759,1.7613616756008819,-0.6583015461551533,-0.49132328036536993,0.4466664754756389,-0.29991341329720117,-0.027625716645362845,0.3590184300000478,0.11734433520485106,-0.19435815744313756
26,geopotential_1000_std,2.875246527075408,0.48417089195453383,1.6494454305084094,-0.7454113559930035,-0.15861175033553512,0.42792375170983554,-0.3373411910507409,-0.301379384056332,-0.005055675538492029,-0.0063661393575340924,-0.021242686793455482
27,geopotential_1000_std,3.2507363357818426,-0.03003864170600463,1.5957396927091039,-0.6281793193152087,0.14834458749732077,0.17353254518489078,-0.09507164078267359,-0.47193146667611185,-0.2380124115368685,0.06254850786442666,-0.015737369227091576
28,geopotential_1000_std,3.47806815159157,-0.45963844948173477,1.256214616711548,-0.6063764770807236,0.4618199322588844,0.08228457666910867,-0.014521437020091284,-0.47273636353053355,-0.423650395946514,-0.0736479075543406,0.15800422518730786
29,geopotential_1000_std,3.718961760778866,-0.8004265303793384,0.7656439614173917,-0.678162805184456,0.6726803113608746,0.0031043629262203507,0.19685839687181156,-0.20585860480598747,-0.37485720463024147,-0.03530094776147222,0.25320911488692593
30,geopotential_1000_std,3.792036812100742,-1.1470665843881442,0.3193336421875883,-0.4625925975397057,0.9459749191171367,-0.21261881717354872,0.15947084869297914,0.21141260589784897,0.016877654353734926,0.0106091276069778,0.16542942925573667
31,geopotential_1000_std,3.9655471923258117,-1.3215966605501392,-0.10332582579228318,-0.2821873321599919,0.9925022442154082,-0.45516906898195725,-0.002776269080197544,0.44637967467425504,0.2094683221939644,-0.02609434550535297,-0.06532349580642316
32,geopotential_1000_std,4.083990044798213,-1.5169447552649427,-0.5292370843481552,-0.11137183306356593,1.0371882731926185,-0.6732270510400139,-0.14042613442862303,0.6394876159929014,0.2328554864597165,-0.10482236147886848,-0.34415232826882086
33,geopotential_1000_std,4.428189703272566,-1.7669766624828736,-1.6367037396849278,0.6281835491896914,-0.4414246724716425,0.11665348311481272,-0.05533420542645574,-0.27801896890978595,0.617415577925937,0.3337411506301893,0.4412355494130928
34,geopotential_1000_std,4.483108598897626,-1.7664283394859597,-1.5081156222984768,0.6591783705480628,-0.43581917792957814,0.253711344825448,0.050145861082792384,-0.13444364603950834,0.2997711752844533,0.16413610278383967,0.14131268514060683
35,geopotential_1000_std,4.622547273743101,-1.892469158693487,-1.6153288107339128,0.7477121760511828,-0.6076535269356118,0.1951275644871342,-0.055056580383711654,-0.07797207210139587,-0.2761498500716162,-0.07763754296967337,-0.11102049058795246
36,geopotential_1000_std,4.4664547429537755,-1.9055379653804592,-1.7729408624989307,0.8591945321596623,-0.817678917544979,0.2068535999675859,0.011181461014277649,0.04167832382097724,-0.5986499687485444,-0.30714492724730735,-0.3505390077323978
