time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13
1,relative_humidity_700_std,-4.027258540407449,1.410072050513712,-1.1029325868773376,2.614142929773135,1.490936921641659,1.388033245680746,0.3894189811090357,0.47699193702463916,-0.02808382634381241,0.9003550287881794,0.056318466439199404,0.06222789623864753,-0.1667626769935576
2,relative_humidity_700_std,-3.9926278149569456,1.8029678159494373,-1.2820549631100886,1.905148491182319,1.2238439107725185,0.966512345999388,0.03623993350345322,0.28102111420338005,0.34996013507787627,-0.025401320374336726,0.08949011742839076,0.15544281955848077,0.2174699715254163
3,relative_humidity_700_std,-4.021550321302076,1.8798333621414367,-1.3558662974125901,1.423797223795649,0.49332120365132437,0.19300600795096615,-0.20862120805400092,0.034892349539384644,0.1638477197933908,-0.6441885689773176,-0.15585908730158266,0.0503485632006163,0.19838179929498237
4,relative_humidity_700_std,-4.05416161052991,1.8834539795859468,-1.352938180336497,0.81223670143083,-0.030586321121662187,-0.2769526940605611,-0.315100674674469,-0.1876284304236063,-0.04212682217009779,-0.819592368676367,-0.08800011383379128,0.012704931846760732,0.011168991467267183
5,relative_humidity_700_std,-3.9997758125576883,1.9529871595800818,-1.123217080445531,0.7012204241193386,-0.32048996708850774,-0.6369311156193712,-0.3302037302033743,-0.47892287376120035,-0.09491905653385653,-0.549852503217972,-0.15410957840922487,-0.052500182448803105,-0.2659527011306397
6,relative_humidity_700_std,-4.027253220662775,1.8245431245595733,-0.8846931811036305,0.2644669271190153,-0.5244623617115814,-0.8898934042663253,-0.30782801759822315,-0.6600125080444675,-0.1781769236683426,-0.0559478191387557,-0.1207596288583918,-0.028568402002832755,-0.17489710584591395
7,relative_humidity_700_std,-3.9668125824284455,1.8304368268622533,-0.6519059147232931,-0.010901142635037511,-0.759993254788551,-1.1222489925005286,-0.2100226923528922,-0.4886419016825451,-0.4316671750298954,0.5115094491325775,-0.13357330182813656,-0.1465608324437115,0.042772337645875666
8,relative_humidity_700_std,-4.0840154590662525,1.5782513811909613,-0.4572533144002829,-0.5062451521219166,-0.8712880299295127,-1.029123387025123,-0.008327084505445814,-0.1290026432941267,-0.24541889171166095,0.6770014100285912,0.02912669316424058,0.013225984539495205,0.0028322054162520692
9,relative_humidity_700_std,-3.977781769853637,1.2735527470178751,-0.4473553083816044,-0.9768752382307728,-0.7248368575864909,-0.7800309740018502,0.26620425490345995,0.37479711036596347,0.07106254699069352,0.50622615046877,0.2605665541862304,0.07656802321997996,-0.002272066950999463
10,relative_humidity_700_std,-3.8516305587885347,0.8298211802390055,-0.21747872209870242,-1.4439815217436538,-0.4680777863662514,-0.30000134404714085,0.25420507437702305,0.812801309597683,0.41729394746323367,0.09351958781589628,0.4567022959637295,0.04841802035742051,0.06255342915525965
11,relative_humidity_700_std,-3.732267319096034,0.23617824205832813,0.1763059552154354,-1.7196264131359822,-0.4107124682312567,0.13214512137007448,0.13112264627401224,0.7701418391795177,0.478759154776851,-0.12927836971419882,0.30453862399815845,-0.19357671594518724,0.08507269506694802
12,relative_humidity_700_std,-3.707458816756442,-0.4653853483728776,0.6237795706099152,-1.6749356958728687,-0.2846904740555597,0.5284387286522643,0.30321321738187246,0.4730269137952312,0.2817003333141593,-0.3363196322236805,0.1381264289603715,-0.23525701553646672,0.2309313652621818
13,relative_humidity_700_std,-3.549135355264907,-1.2326931577934328,0.7740561959920983,-1.4321686120714172,0.10022754819346986,0.6871260600355196,0.47336939713881526,0.3352731188084427,-0.10785348432881627,-0.36417699133372455,-0.5279700955510487,-0.0005609314666123883,-0.3337886118650111
14,relative_humidity_700_std,-3.2399181327685653,-1.8227201471225745,1.1205962211020577,-1.2637173674297641,0.3091256404555257,0.827914808162955,0.556126398292487,-0.1250781266854183,-0.36200172530170754,-0.059300652596912945,-0.5698532622422723,0.16827389238032472,-0.1742719049565018
15,relative_humidity_700_std,-2.8208732942081447,-2.22615360670863,1.4094721822605463,-1.0007902589904973,0.43844949114166204,0.7425167233073202,0.3130364077574221,-0.5946604990548893,-0.4649758003010228,0.12952233618134765,-0.47262312314513144,0.05601746081761562,0.1425130787793058
16,relative_humidity_700_std,-2.5256071223731573,-2.627989155107484,1.380950248104377,-0.4817987166286075,0.7083173837389538,0.6572870187554581,0.003105148918284069,-0.8043853715092085,-0.44697835359345295,0.19875097081614465,0.24966533634513247,0.05332057397588508,0.15504834699779557
17,relative_humidity_700_std,-1.6629129372842888,-3.147218315024105,1.5050769857410489,-0.10575540834962548,1.0691944622419682,-0.006347497738826984,-0.6519111104398082,-0.801545600876683,0.16219550199955934,0.09804173644261285,0.679097403955682,0.015679281874569594,0.035060019110160295
18,relative_humidity_700_std,-0.7290560827040324,-3.6140148880266834,1.65186915835208,0.31435831993715163,0.7919118069518621,-0.4014639904119484,-0.9621546325128945,-0.4658085282092633,0.6435693307422123,-0.006423368232792419,0.3542450923871488,-0.029228037375853864,-0.07365668490293169
19,relative_humidity_700_std,0.07356120885610462,-3.9029835806143907,1.5343330434946092,1.0033625550257292,0.00863132938925605,-0.4877504134708269,-0.7965817282377217,0.3191944875086492,0.17271382356667803,-0.11816117331823109,-0.1406554411816773,0.03488356559043182,0.21812455330308073
20,relative_humidity_700_std,1.039083435354555,-3.8775452502912504,1.4707189540073282,1.3752049843506533,-0.7582367762896718,-0.6267400320445435,-0.3824113634207547,0.7691095180534482,-0.23358326667099577,-0.08654159611930118,-0.24467808949013828,0.04149026486646193,-0.02601876276051339
21,relative_humidity_700_std,1.6057254523886506,-3.696568837860826,1.1407653688618702,1.6265781406898019,-0.9565729353373607,-0.6354814299285327,0.1760480696253758,0.8842337317596349,0.0098269543119063,0.09460559907740414,-0.2074949402153356,0.24491321021341425,-0.3474338446850944
22,relative_humidity_700_std,2.556079009904094,-2.8119535704591767,-0.7507937955228339,1.401875073169309,-1.2744201030425177,-0.1765447397713648,1.0343596409349407,-0.08532319109523948,-0.13472934014605326,0.03425088853655624,0.09123706380191131,-0.43671524281499163,0.09660030392944426
23,relative_humidity_700_std,3.185940959526023,-2.037992090041431,-1.4823070860026746,1.0051267180594656,-1.0496538935903474,0.12867712252555874,1.0710871845445016,-0.4563956544623899,0.00955059814021154,-0.06105504021750582,0.08159861588270481,-0.411389769922101,0.17106027058716686
24,relative_humidity_700_std,3.824577036218389,-1.4123422238525016,-1.9891018641802956,-0.028644143440452557,-1.152170414961178,0.6304273592292986,0.7108060494849547,-0.4998880583081771,0.14660774006820906,-0.21772702740665612,0.3500846874904096,-0.06500706484829323,0.22850803426126162
25,relative_humidity_700_std,4.016146386059362,-0.9454897805565453,-2.5811450627233925,-0.6518613965252535,-0.7877471033593673,0.5980644872040468,0.06653325615426718,-0.3805492575026295,0.2656389185292143,-0.034826502305198355,0.2618809721187965,0.5032220774991861,-0.4879752627170794
26,relative_humidity_700_std,4.2432824561515075,-0.7138676921221172,-2.5999098346501306,-0.8569574975480113,-0.5749728234316293,0.49253650990629383,-0.6525991702044047,-0.1814629032007826,0.29471282853595604,0.20340276604749297,-0.1247300030339997,0.4952029885625885,-0.17993689288835604
27,relative_humidity_700_std,4.492946030168637,-0.35942288562876423,-2.359414163887213,-0.9530114192497122,0.005307906876055984,0.19262383590659649,-0.9198636952775769,0.10904995950611437,0.25320736445587133,0.2748069505335124,-0.5698320493136358,0.116870672463433,0.18786656179199845
28,relative_humidity_700_std,4.416176083710402,0.024425193562818158,-1.9493123801796897,-0.7939990500010574,0.6837215599776334,0.025437629582392655,-0.87635642082364,0.3560204665026595,-0.2053413799016654,0.2243722955816858,-0.3454816779659324,-0.35330779622193714,0.49276756836117
29,relative_humidity_700_std,4.464317978104101,0.2545527260574569,-1.4273911000610775,-0.5707502207092731,1.4059117267137107,-0.10033720660411134,-0.36552692106517193,0.45636594117241064,-0.5335012807696874,-0.1318967581009834,0.05095312696159699,-0.5248164650991483,-0.16431830165055866
30,relative_humidity_700_std,4.308073048289163,0.5273092648232309,-0.6039029216738132,-0.5837781906861728,1.90548841368268,-0.4309191930414118,0.11379507930877587,0.38899065728252613,-0.6377787471039572,-0.2257799009303029,0.5306755501782516,-0.24013031635126125,-0.43967005948190124
31,relative_humidity_700_std,4.470347556195753,1.1703326294608176,0.4908736528772703,-0.2088699861531844,1.6206517367872937,-0.9488591815001788,0.7445501066750608,0.06946914232021897,-0.34854569492971665,-0.12088662535636369,0.22895990795968696,0.4192430985040898,0.14463360926441285
32,relative_humidity_700_std,4.289518654895923,1.9955758769904313,1.2388008853987291,-0.0898018631572031,1.2285931515151611,-1.2341909958794843,1.0920278303945066,-0.14894398599743172,0.3207449437544981,-0.08848969735910196,-0.29757898145185396,0.639421702279903,0.37701718612765606
33,relative_humidity_700_std,3.9182998338184154,3.041717710186573,2.257094194477791,0.014333018513783888,0.5339802255734764,-0.2052837502286073,0.3942044678275117,-0.37060604685253906,0.8576761200569147,0.13977734478456263,-0.3290763436768594,-0.33367512563328905,-0.273783133956489
