time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22
1,mean_surface_sensible_heat_flux_max,4.160478517522112,1.5712391153539498,-1.2124974346907653,2.150965652723068,1.7329701152892418,2.1104394002769378,1.0114213189502896,0.6417723968150683,-0.009666096517180462,0.746029074529098,-0.578014704068887,0.27770555000337094,0.4415262573776252,-0.2434507369542787,-0.41023930833379524,-0.13480371435056268,0.007546638014227833,0.05648349073378103,0.16557879187895877,0.02434367613113223,0.0036887524723268924,0.10659761391700583
2,mean_surface_sensible_heat_flux_max,3.9528710025675653,1.4818201915360705,-1.6024341719229924,1.9428748808762744,1.6092325234117861,1.6994555940698628,0.9589582882789606,0.32388276583712144,-0.3667815309173181,0.32000593166171204,-0.36401450636003807,-0.12304571835916102,0.06864098878620505,0.23761387425415167,0.3070201235542564,0.07600306601303905,-0.08297274570334723,-0.012567586203137795,-0.1419459339957306,-0.12252120938006635,0.0015623542857452328,-0.16623376647373025
3,mean_surface_sensible_heat_flux_max,4.188856674042269,1.3849827869736449,-1.466218346056203,0.9488677933667754,0.8602450772057073,0.18089706253762297,0.3721298207398598,-0.16282742338365452,-0.160104813433263,-0.6742143917609036,0.9011805497375522,-0.27014619939799395,-0.7108071972690057,0.5299230903418557,0.45940917822367405,-0.22391336541204565,0.07965013563570228,-0.245363333962549,0.07116985392934645,0.13858334361057956,0.08899466142608943,-0.09262360932268107
4,mean_surface_sensible_heat_flux_max,4.392859161291785,1.4965102739990688,-1.4519293560835942,0.3999945502226513,0.5350499125178353,-0.81218945086236,-0.2299162847838359,-0.10538014763637424,0.09238455590074474,-0.6864428026929325,0.8812903626853378,-0.2300228803864663,-0.2544741204464839,0.4778052583112658,0.005917311048563619,0.23874833977187362,-0.229944260428584,-0.30237717871211695,-0.2811673664108723,0.016236644475223737,-0.12672850082697754,0.33127697364621267
5,mean_surface_sensible_heat_flux_max,4.287851227587327,1.6259031845264589,-1.8790338538344313,-0.21530275678661898,0.252878352771364,-1.2082750213324458,-0.49860748166931435,-0.710588773921413,0.12300457417491051,-0.14324319836538968,0.4322800973795646,-0.2384996196423062,0.0028038512656552704,-0.6291512018315136,-0.021798220670625475,-0.11346925272055662,-0.13652348399219574,0.7423238592858881,0.13871238471171304,0.07660338676463249,-0.14242674593245067,-0.049980038241885
6,mean_surface_sensible_heat_flux_max,4.115509801567696,1.578195359265292,-1.9662415897802343,-0.48739310728722224,-0.2689781210984007,-1.2708988413847768,-0.6135024929079116,-0.7055154439908902,0.31016232860503135,0.021466045219717726,-0.09257103826912534,-0.1391925213911406,0.3292805632424544,-0.39837793247843534,-0.43154133210996587,0.046972982546802905,-0.030244799507142893,0.29366357039923885,0.14777343761702066,-0.13013187397011888,-0.0013048362558012881,-0.07533807047497192
7,mean_surface_sensible_heat_flux_max,3.74278179627565,1.0665079513182685,-1.5915174009723345,-0.8402445101379502,-0.8676041408610172,-1.159517624023663,-0.7238983379553974,-0.23913332365504397,0.4800538938270493,0.3854494706637557,-0.43678347361918435,0.24274023616199156,0.12761619064202076,-0.28518648056203283,-0.3334423106251582,0.0613420971396418,0.4264479780912435,-0.32218032855624246,-0.021731013352582745,-0.24240338455590613,0.1690697294896278,-0.03383534462526144
8,mean_surface_sensible_heat_flux_max,3.707756365070682,0.6390181869258669,-0.6378903262001107,-0.9754226511456818,-1.2821720297617902,-0.7168959039404353,-0.8567344604320062,-0.1570481307279408,0.19565053454054582,0.4693704654870169,-0.8618987479946737,0.48098621060360097,0.01847866802460041,0.3087992890363062,0.6522769671693193,0.34995634776345,0.3923198026842529,-0.6999381319983858,-0.024293545771643377,0.19637329215704405,0.148042565890587,0.0008590141141448714
9,mean_surface_sensible_heat_flux_max,3.407237743755765,0.2996247972273891,0.16612427284244038,-1.8533831458550483,-1.583565427703602,0.504275412429654,-0.8716745458546976,1.1093940907999473,-0.3500869717456296,-0.0344588575721516,-0.6498756115892417,0.2925215761300927,0.2084416784197821,0.25770193423295906,0.3460402319860392,-0.4271316022381236,-0.27112864936675424,0.467028349711014,-0.2833669738826502,0.00846226983055956,-0.08068631710409982,-0.03623295748811797
10,mean_surface_sensible_heat_flux_max,2.91514691432243,-0.3783984197859669,1.1040861184374158,-1.8691329560754226,-1.3285347613770528,1.3520411246273234,-0.7107727235975778,0.6780900451364362,-0.42747488212141765,-0.5738212734307409,-0.025095525691766683,-0.27775655995264387,0.3524938122061175,0.27126601940552075,0.07777069780334678,0.04516253622486219,-0.5860708099672832,0.07099527447873921,0.04560286444612177,-0.04159970554669655,-0.139956633625125,0.03569351356380781
