time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23
1,mean_vertically_integrated_moisture_divergence_min,-2.1460147920631107,3.586912193475845,2.948862659496862,0.7585808820978779,2.7179503626658095,-1.3832612942716473,-0.7194950230757066,0.7924566848502843,-0.5170953551388481,-0.16180375789218412,0.2818529755555717,-0.4384316726827581,0.01950448568284284,0.6377486564614412,-0.10084546584818824,-0.05496638453766074,-0.3676693419582452,-0.26273113483809096,0.09672331961437435,-0.2357840556864574,-0.07342835765839027,-0.017812644400251165,-0.08482921751544292
2,mean_vertically_integrated_moisture_divergence_min,-2.3479888238128814,4.147656371291854,2.6921754499545947,0.6199570828907119,1.7420542918636954,-1.1541582701764013,0.2798009058651626,0.08230319227642878,0.1379809629891398,-0.009906804901493545,-0.5075140016242161,0.09468718410865203,-0.16294118434941562,-0.5337637790484296,0.26438634172888104,0.05678444547245533,0.6139990309292046,0.29930352017692813,-0.18742389190095096,0.3304489512994048,0.08717823170666612,-0.08689901479834501,0.09166411426319898
3,mean_vertically_integrated_moisture_divergence_min,-2.373617692803054,2.8665806260457423,2.4457491945554657,0.022415963859311064,-0.6559655744587498,0.5811229207378629,1.0493330885792407,-0.9659444526844226,1.1080595648654084,1.2995097166064227,0.2605858715952371,0.9351361353609967,-0.31627326451854076,0.12862179639740454,0.023521422123979237,0.23949716925597367,-0.20889907110724293,0.003713267418707209,0.2274761546836266,-0.04118219717221942,-0.1752731088551924,0.08837299133434674,-0.0012181914599488407
4,mean_vertically_integrated_moisture_divergence_min,-2.516812478531845,2.5845563683570565,1.8148159679685847,-0.8457622995965484,-1.4007748118742451,1.0499603681027134,0.6556993897775983,-1.1152230219890773,-0.21410199243517505,-0.2229280850532033,0.03046178728378555,-0.11468948813553165,0.2784366046869412,-0.4650107893763312,0.2006317273132955,-0.18764036067114725,-0.1752511522955187,-0.6071135505843341,-0.26350985389995196,-0.28500639529842503,0.2205883933197259,-0.11228104551245725,-0.1437698795628727
5,mean_vertically_integrated_moisture_divergence_min,-2.1331124998074475,1.9774224853209263,1.6387694647617788,-0.730310732427708,-1.4265743591137792,0.9912265377658633,0.03357518733300589,-0.3304381033607273,-0.816952221273483,-0.8264202326086494,0.6421742483275364,-0.19367881238143567,0.33976246750216244,-0.043701172092168686,-0.23472851642911094,-0.48723831569242504,-0.17875169821413484,0.7151414252192374,0.0436256506865516,0.10690907114109899,-0.07582565155492492,-0.1840934317585249,-0.0005551707060800971
6,mean_vertically_integrated_moisture_divergence_min,-3.5950252988454703,1.149147134809803,-0.13051470052868286,0.1580140251150787,-1.462900578257604,0.18802874069824577,0.09538780760322309,0.07544632036062152,-0.5742200351193086,-0.1144235688315871,0.25439378857698985,-0.27840441596651677,-0.2321587631770451,0.5077289967794717,-0.4495634851195379,0.13879345201778764,0.31579960065238716,0.2938445918971691,-0.09284681479194594,0.16416086895680884,0.07341522794675964,0.4313272215459419,0.06884119629583203
7,mean_vertically_integrated_moisture_divergence_min,-3.7821474153444483,0.8842020401155412,-1.421876995799952,0.34139842071670473,-1.3287042409596677,-0.1457486092093715,-0.5349861205209899,-0.003955829894765548,0.05418721153335623,-0.2252212610902822,-0.4880301330850793,-0.4640315699088386,-0.4742034587016903,0.35147083191921885,-0.21254994429542404,-0.048419660591015226,-0.03362754855299369,-0.30065126764893707,-0.03927141436506334,0.3704120134270404,-0.247640130010155,0.17621872988184523,0.0853180816223454
8,mean_vertically_integrated_moisture_divergence_min,-3.885240655337511,0.4666187472850797,-1.3375521797779693,0.07222092993327348,-0.8403245523321534,-0.13641800682618285,-0.3897975541251333,-0.4157267053130054,0.28214915908962734,-0.400291146530292,-0.8621614836939521,-0.27810362634244185,-0.029253101112228865,0.14266784081382092,0.20850905471665157,0.16931795106981723,0.4405303769115888,-0.38688149281778883,-0.03094337675408367,-0.19106810047738082,-0.014069073284301258,-0.07371952021654181,-0.02587395795024548
9,mean_vertically_integrated_moisture_divergence_min,-3.733857513770252,0.1085628198394908,-1.706838674619285,0.17924865802592038,-0.475594706021131,-0.5027645126381157,-0.37722065917566505,0.03548878140110619,0.3041172919400807,0.0154784192648593,-0.6434827662413753,-0.01760625790393067,0.3124385939319101,-0.08704768874434579,-0.30775250727515224,0.34556222628758543,-0.09266463935681574,0.08623485051587562,0.2696836066186804,0.06970660676140777,-0.17298298179655444,-0.26658050652165677,-0.2823015972938017
10,mean_vertically_integrated_moisture_divergence_min,-3.6062245416631025,0.022227422520451807,-1.8659045884502476,0.48268002565733237,-0.19301220436822053,-0.33995111659854177,-0.26537941623467937,0.4339955543798395,0.04823827997809048,0.25001407827032524,-0.12926427000123775,0.1650306007269636,0.3424622938525291,-0.20196569589564647,0.1181935934183637,0.17440232879793122,-0.22881360149408364,0.18030016925732503,0.17186956194005373,-0.43271225432031596,0.2204200236857179,-0.3223865583715522,0.28787135733691444
11,mean_vertically_integrated_moisture_divergence_min,-3.371055630873055,-0.17695724428046428,-1.9925358970752054,0.5226318170428254,-0.07587606978377867,-0.022965917279959315,-0.5343597088983667,0.7192722612563542,-0.10255334180636247,0.15856931475647673,0.2454118113989132,0.16684612175946484,0.23870954134299432,-0.6556654913306426,0.2369769723824282,-0.0017329722070321754,-0.42574396719640595,0.2786873735062022,-0.13957034652174705,-0.19556545848886514,0.07863889181625193,0.21103901869593755,0.007813330989648084
12,mean_vertically_integrated_moisture_divergence_min,-3.1324249511073523,-0.8939536991673359,-1.921494906273124,0.9276090961746709,0.5899640929824966,0.046147571110427915,0.0012098854600244783,0.8908166329888919,-0.04750847990004257,0.6577710326950824,0.8655230431235809,0.26142169320405073,-0.2689134738815168,-0.15673729247686477,0.3460451410483463,-0.5012846436543207,-0.217688581120422,-0.28778703510863757,-0.2735123434716076,0.29002005152919524,0.06383589060737133,0.3676792055411885,-0.06402080768164257
13,mean_vertically_integrated_moisture_divergence_min,-2.4498970938012343,-1.3355738868762483,-2.1464162037303165,0.3119324748709626,1.5962643671341818,0.43778541810047594,-0.3120189877406176,0.22187207928076685,-0.12628558690199893,0.008544016411754781,0.46802816680556586,0.933402311577486,-0.06590758394019107,-0.023484614362610005,-0.49864920677034974,0.15456178548899438,0.3005964027558734,-0.004579934280845232,-0.09814118350471092,0.10965404332796116,-0.14601674595582217,-0.3773635540526984,-0.05472665629890645
14,mean_vertically_integrated_moisture_divergence_min,-0.5101467969472929,-1.7708402128264351,-0.1455226661108544,-1.8266367131830887,2.4521945554597098,1.896366818712123,-0.2108089127970211,-0.9091671232611153,-0.9503157302452461,-0.3206622247143907,-0.14531839049372788,0.44704839180242173,0.0612713779146891,-0.07579029370552899,-0.3136408648952417,0.18251796426354858,0.312056921842316,-0.13733667586818657,0.1238234348412302,-0.06420991423162238,0.21710793809727652,0.25372232472984474,-0.20915286829850352
15,mean_vertically_integrated_moisture_divergence_min,-0.9808973016030608,-2.093605861857379,-0.44033495421104446,-1.3577278611100199,1.5785795574396224,1.2135179421143225,0.4673825153116985,-0.6468805258954486,-0.11098922266603337,0.11908809291911929,-0.34194874296839983,-0.7290221915113841,0.26576470298034865,0.4511324330157285,0.7760597197210108,0.2715011464961697,-0.2975185445284489,0.1402369667331613,0.07180129126007001,-0.1140035768776671,-0.33822974537099565,0.1766710265191495,0.24012313663133697
