time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17
1,relative_humidity_950_min,5.171376982173726,-3.7739675725213417,-1.2977211411977687,-1.2089092444040646,0.3054364553615887,-1.4227107440678102,-0.6805220564785848,-0.5205156747095995,-0.4852555918439014,-0.7020953390319506,0.8770605170560437,0.5011735569360595,0.040092839555658004,0.36178747147482104,0.20113781105953576,0.0830862749812548,-0.21334431802102047
2,relative_humidity_950_min,5.336749107709631,-3.470316989174315,-1.0940599062030134,-1.3595441118267293,0.1482142456893323,-1.1374508061885826,-0.9062952402259055,0.0574555086612822,0.06535232323778284,-0.5182382161650361,0.34750078717188604,0.25754717659198845,0.08222474241715576,-0.1719741569442171,-0.1230627014018431,0.06571139777304136,0.12961471558728396
3,relative_humidity_950_min,5.310323764152729,-3.3117047198761562,-1.464629428401792,-0.9011810881376845,-0.057507471607692,-0.7975381858837058,-0.5633457784453412,0.15460207407141424,0.3927825227452428,0.09493461407672775,-0.3632947486591203,-0.12296212615596623,0.019565024863575357,0.0006956600651419493,-0.13199583738288495,-0.27506103836354534,-0.12452143593888906
4,relative_humidity_950_min,5.226877838720211,-3.0508625013888286,-1.0889335702671468,-0.7766541288314533,0.09946403809243017,-0.12060427129995648,-0.2676910808345281,-0.33952022513587954,0.26796350374961175,0.6667614248307844,-0.7075751462720248,-0.5575373553306078,0.054290855327733964,-0.16138622734188182,-0.2011711056188571,-0.2851831435020163,-0.083675658676126
5,relative_humidity_950_min,5.33751821982125,-2.5707639891234084,-0.7906225551125858,-0.5294713151766751,0.27021252353402403,0.17679351230441342,0.38971574309815954,-0.15309874370523704,0.3202875906233381,0.6691682808284392,-0.5327380750758348,-0.3404005718324401,0.10036421954401573,-0.20095241810139508,-0.11384249024137187,-0.03494846582882583,0.17478091382758199
6,relative_humidity_950_min,5.257515759758068,-1.9731554325828273,0.09548040900171716,-0.04835789804756291,0.33250882371973306,0.6906714669219687,1.4113805855820118,0.1294880412052191,-0.19210706169402383,0.578258657189862,-0.007127103191726357,0.2740751855953202,-0.35521437210359963,0.05777332364315029,0.035531855911229177,0.5899002877881048,0.4237246906903663
7,relative_humidity_950_min,5.037540813767772,-1.1054596817617994,0.8356848613471439,0.6227513067707635,-0.011638474817574069,1.172656379245627,1.6164196755649953,0.10029189406949378,-0.18340375019483052,0.16621377325461623,0.13920559127383308,0.4151913643930443,-0.25853148588500513,0.0005423085416589285,0.29230397989201057,0.14613950566553416,0.007103743418480235
8,relative_humidity_950_min,4.7253356923491605,-0.3160781868846009,1.3235634087615111,1.0961222973295144,-0.4802347737248166,1.4405111696481006,1.338125540227478,0.03464690979475763,-0.22174952475256313,-0.27506481307856845,0.0021775761416912317,0.0791454055905879,0.08266707972828527,0.207985649292303,0.15280103678699275,-0.08412124220852392,-0.37238347647252906
9,relative_humidity_950_min,4.173373108493197,0.08512141616647784,1.6825468708970726,1.3603549245196893,-0.6422059438677115,1.178807975620212,0.027691268961841195,0.1534191699751658,-0.3728318380677053,-0.4039208277244193,0.24642996095266606,-0.5174938923951565,0.2855036184150499,0.19440501354781925,0.06089621370831617,-0.42147862461084146,-0.3414903309575313
10,relative_humidity_950_min,3.359266997051567,0.5941856408121139,1.9914629307948806,1.5802169161819946,-0.42110114991242314,1.0985586248591754,-0.6441172311738196,0.27366358098475374,-0.04140209759225236,-0.5616312929441843,0.31038678352861493,-0.3442473931721074,0.31605388462541073,-0.1705815140084199,-0.077915454680565,-0.06790183437779192,0.15014846267259832
