time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25
1,mean_surface_net_long_wave_radiation_flux_min,-4.1852681570608485,4.228843401391921,1.830829543765343,1.2109087253564312,-1.520727214964742,-0.5209582135971584,0.43043215945373925,1.1234856859174354,1.6060074722795818,-0.10273723935598829,-0.3787723357098992,0.9078697653307474,0.7153766633644489,-0.23007549083342804,-0.20644936751752146,0.13576056768297615,0.11045663601565703,-0.1353176373730482,0.236749551752399,-0.33296394175067395,-0.15573474040794005,-0.15768228187915873,-0.14514906753457368,0.031001485999409304,0.23146043738204153
2,mean_surface_net_long_wave_radiation_flux_min,-4.140646743901638,4.644462261217859,2.4158366198955417,1.01649243470631,-1.5818505554794613,0.6386715166501832,-0.08007075771946247,-0.045196985712849976,0.010342845807308829,0.6367919628229417,0.25566706090663915,-0.09498646180410726,-0.9898268904975005,-0.2540079369308345,0.11933146694843873,0.0005238429574257487,0.3948831190463643,-0.3736430280473178,-0.4059861571910534,0.4788334189594667,0.16485683813831875,0.027406741267967338,0.4852630485629486,-0.07556285580353625,-0.10546459928552804
3,mean_surface_net_long_wave_radiation_flux_min,-4.3511957348037145,4.102076932484051,2.6183109164281047,-0.11734750541446273,-0.6232895010097558,0.37439392637173136,-0.10292555320576849,-0.29681140168701275,-0.516663129127881,-0.4664346140142404,-0.1831423582692057,-0.8350490965928297,0.09459861381889113,0.5396782938501776,-0.07582139576148218,0.3394674442474616,-0.2393383850551891,1.0242093740274238,0.13946845364761776,-0.15572204555616098,-0.22813943631600436,0.363344953010827,0.005711799553535759,0.3393812035092718,-0.24837780719812003
4,mean_surface_net_long_wave_radiation_flux_min,-4.312194693609413,3.143282235823481,1.5074573952978267,-0.48309785179647213,0.20032383246749416,0.6806304042804455,-0.6064492357270366,-0.43936673928831954,-0.95645541638164,-0.7197230365491644,-0.36466936233723696,-0.1999887331638802,0.2841400481963761,0.23087042995675702,0.4947856504181475,-0.5978346986898451,-0.36752271410514775,-0.4529859920952256,-0.02944536723468285,-0.22071168355422185,0.38225719161836563,-0.350742129545784,-0.3488143134336806,-0.12755075973248162,0.14393995171260976
5,mean_surface_net_long_wave_radiation_flux_min,-4.664606564602961,2.497765837358394,1.0501562481796822,-0.5329738298865292,1.3820125241944972,0.16767173076805594,0.16208167979087945,-0.3873004727448247,-0.8442288400147523,0.2635075358429152,0.7578923392646945,0.06552132472459989,0.10389694603137578,-0.05142612038871076,-0.19897072575706176,0.09915972046755102,0.0449545225736087,-0.41812713905858506,0.12230673980841436,0.15908297290235593,-0.22783206807463505,0.10404118975498494,-0.31062231678648683,-0.3636960304530603,0.10868729746934772
6,mean_surface_net_long_wave_radiation_flux_min,-3.502015159658377,1.539532664690581,-0.1883976041403846,-1.0236564868437819,1.9215106984564327,-1.1123099051195817,0.4541644460359791,-0.26614549133717236,-0.6095992792020084,0.26798057965565314,0.9378256908066268,0.6390957397500364,0.5409710986535212,-0.6174517826619944,-0.019618677305528447,0.04542986367899009,-0.20725908112024688,0.257184536015602,0.2875701776120516,-0.1916781721278372,0.18217594965664077,-0.13508760694336258,0.6469400622553119,0.05063308812431485,0.16823812513819708
7,mean_surface_net_long_wave_radiation_flux_min,-2.834228923301157,1.0872544645200433,-1.0939271267554365,-1.2070534706879443,1.2452409558432098,-1.3915594518882681,0.9047102254152842,-0.07504198376194317,0.7751694185478178,-0.5999306636359654,0.24931420875261465,0.10822564824554498,-0.6743589516511933,-0.30039482651230814,-0.26612853906882034,-0.6790523215489512,-0.15825658436947757,0.22781905672262198,-0.3397765509228421,0.2708486236881536,-0.25327420134744716,0.13089081155765184,-0.5815944944769522,0.011624566834072142,-0.2891903335593087
8,mean_surface_net_long_wave_radiation_flux_min,-2.862400335147389,0.45652006954272323,-0.9527377812762318,-2.164031809906172,1.083217523229488,-0.6212007598049708,0.14161133277399507,-0.32723419313702345,0.9111659947729531,0.16816678720547878,-0.4308091691681668,-0.05490721085060397,-0.3096549730253748,0.3256420753642019,0.2172314396157753,0.48689048107229493,-0.2506494047073182,-0.07351111322773443,-0.7278115971257239,0.16922148473795384,0.11505094522224142,-0.08253367618318001,0.1310149994472439,0.2589499576601492,0.0553240403043964
9,mean_surface_net_long_wave_radiation_flux_min,-2.7925376220475315,0.023362738922812782,-1.3419226591042084,-1.8511451421330616,0.7409720952136167,-0.706849506285235,0.65582500062793,-0.5642332478846523,0.7102882705410868,-0.02079479958618072,-0.3967628488664251,-0.3740924728950228,-0.34083090624148227,0.4673165300750415,0.27202800226601037,0.6255892576849279,0.43804714226679003,-0.11091327189729354,0.6819158079272316,-0.11031206887379102,0.21226267635558108,-0.12510881013074968,-0.02466808220768008,-0.027020444345538578,0.061857055074247956
10,mean_surface_net_long_wave_radiation_flux_min,-3.0984612053132436,-0.3838580442040603,-1.6223581424727933,-1.6382311762259854,-0.21114040932654363,-0.11259943323900978,-0.5926619130023282,-0.048130956572769036,-0.4203627435384043,1.1092573978306384,-0.4851561922711128,-0.12245994899913076,0.3039950171434574,0.4197307098399366,-0.24194675266782642,-0.6216579816887999,0.4341374616165615,-0.07343316204715207,0.413427803734743,0.21453111293583502,-0.2853935806787734,0.05800526592724813,0.0712887129837831,0.1851059640483153,0.09713081790663845
