time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16
1,mean_surface_sensible_heat_flux_min,-4.5267909999849705,-1.408217490534491,0.427188432308763,3.739773527357319,0.6188986880119584,1.1771287701903632,1.2278108672590005,-0.5464646683022328,0.6043810784678837,-0.13576232762831392,0.4738902681445684,-0.2124093461348114,-0.31757830518924274,-0.1941409982235901,-0.31458095614886705,0.09379584163994775
2,mean_surface_sensible_heat_flux_min,-4.794137929755393,-1.8002959398977272,0.7050961849001176,3.2461191554989153,0.5419319568361293,0.7272055480607235,0.8231611953431125,-0.2487465300797645,0.3428734456949966,-0.07664039747263866,0.11944333232662932,0.05565485067764832,0.17099394447777858,0.12251925077306838,0.04247182828844884,0.09370080818534005
3,mean_surface_sensible_heat_flux_min,-4.93749124574765,-2.017942689608029,0.5749189206206063,2.4159032578496924,0.013576547887132943,0.30569376974815293,0.11447094935420507,-0.02651769334121943,-0.2504225280295633,0.3139443841461072,-0.36539349357823386,0.2876379126944938,0.20731480236239014,0.35340103446075666,0.3395619439911014,-0.2760631240854691
4,mean_surface_sensible_heat_flux_min,-5.083262696745083,-2.1027512625817293,0.5421181019541106,1.484156000621872,-0.2292816295817284,-0.29805529012082005,-0.6615452950210085,0.08158166301564292,-0.4974174687553133,0.34433712800292016,-0.5681800902317904,0.10163747717415342,0.21229657563142892,0.06629465845593066,0.02569301289901354,-0.18858293051107297
5,mean_surface_sensible_heat_flux_min,-5.022452934554125,-2.4129214632660543,0.5909543969733632,0.4526926716163515,-0.30957266290394625,-0.5392451131591057,-0.9072362001630109,0.15639566597540536,-0.5678293092927644,0.19007234834649187,-0.35494591930736963,-0.12309008590137818,0.05496186650378702,-0.12474733026660467,-0.11467041025676485,0.045756269089883714
6,mean_surface_sensible_heat_flux_min,-4.841974233208656,-2.6888958717954274,0.7433937207633896,-0.020874188057510342,-0.2754160505849614,-0.7022498740793048,-1.0947105262026164,0.5180838776466358,-0.5644183117003579,0.10718987652953592,-0.12342461753483182,-0.13286391716900042,-0.03704069898802314,-0.2562417621054861,-0.14061238515040683,0.3000740526711578
7,mean_surface_sensible_heat_flux_min,-4.874946211687421,-2.537303677910678,0.31308549076755265,-0.629119304692001,-0.2551469054865966,-0.705730488748148,-0.8349087625212617,0.42602897477891005,-0.19405288811561106,-0.20602222621807703,0.28769830164701843,0.05254673529553561,-0.31150546891045494,-0.15191350953654556,0.03717398966964146,0.26987167522546845
8,mean_surface_sensible_heat_flux_min,-4.7214104321338,-2.0841790985749573,0.10585456248803582,-1.4717227352364142,-0.07180125432523358,-0.8031305763757048,-0.37480244635948695,0.33399234775216563,0.07161736766087186,-0.4302860425631111,0.9350442651315464,-0.1741034052071973,-0.24213401760831402,-0.10780332570434124,0.09779876425514235,-0.10241945163378822
9,mean_surface_sensible_heat_flux_min,-4.565260726422749,-1.8048325470157782,0.05017200272580581,-1.8194831523044874,0.2231489987635347,-0.40672558155044103,0.03239522535030023,0.12082304571488806,0.739945087601098,-0.3798551351206599,0.6479644919971181,0.09999581322837506,-0.009262942015755064,0.12208644538902926,0.368275403101018,-0.30669430240893125
10,mean_surface_sensible_heat_flux_min,-3.8199587798132137,-1.1881533951308723,0.007681320094954752,-2.4292099911862266,-0.05907503496231388,-0.44253801136061605,0.37866415563466904,-0.29827618639152464,0.4723907439438732,-0.02077672242596972,-0.14968841474898806,0.06701878173035831,0.20563771545954268,0.2110330125254128,-0.4112491202339964,-0.3001858300082772
11,mean_surface_sensible_heat_flux_min,-3.720661489539723,-0.6672529721695013,-0.39887660601751057,-2.459445374006903,-0.1695745820560959,-0.2399266488433526,0.3360250350105627,-0.5191162509375156,0.493022604295279,0.07718160511212341,-0.2901796456670039,0.010762718896529135,0.37976553708194305,0.2033080804805472,-0.3798047987982324,-0.10237164086936067
12,mean_surface_sensible_heat_flux_min,-3.612183770480589,0.14579862917791722,-0.9938218684295076,-2.2235109759456972,0.006941500503584454,0.06838502661538612,0.9273029750629503,-0.4014207225101198,0.5175052083795908,0.1373504861879155,-0.38866578957587933,-0.12609235872692212,0.2065634885366346,0.04728440204861856,0.34012752144739655,0.5488653126586683
13,mean_surface_sensible_heat_flux_min,-3.150021654610371,1.0454597003858903,-1.602033631275768,-1.763881621663574,0.04305846436272079,0.7427837184326574,0.8478525201079034,-0.3950018330340705,-0.19748665365607435,0.37398701313487465,-0.5532529756700912,0.009149101581428266,-0.3828204556106756,-0.14513096587160487,0.049075839760873326,0.30719418378192376
14,mean_surface_sensible_heat_flux_min,-1.9955469104396013,1.9887821244065478,-2.1753011502810033,-1.2943049317501898,0.2295502186895342,1.6181594530742827,0.5244180628088114,-0.11011161276662026,-0.5302419549043585,0.3062052164868545,-0.1466717319436619,0.06420735026636092,-0.3957748026083357,-0.4848341444914467,0.260642199234275,-0.26747638471293145
15,mean_surface_sensible_heat_flux_min,-1.5449030795967602,3.0121744853991124,-2.21813519845392,-0.42063137615956286,0.1843311656124929,1.715554761885397,-0.08674951630651957,0.14244907351249528,-0.774558534085626,-0.14136037819100936,0.2930998219661983,0.4721176403186046,-0.14470987802535712,-0.002017258228242413,-0.1796820475291886,-0.490719514088144
16,mean_surface_sensible_heat_flux_min,-0.7212102438281914,3.865578795507872,-2.3281752036983856,0.17164273877164477,0.4117468827473108,1.1326827675298046,-0.4336186611487862,0.5796276873985866,-0.7649588264428385,-0.5391743164386614,0.43609016346740737,0.1609284390498039,0.40167650031112917,0.608113879470964,-0.17659630130983955,0.4470511801053551
