,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
53,54,105.63824,105.27098,103.36646,103.07721,102.339455,102.550705,105.41724,106.931755,106.918755,106.3955,108.42027,109.49928,107.34776,107.08125,108.26102
55,56,102.53036,102.1139,106.763855,104.7567,102.840355,103.86742,103.648224,103.5856,104.35277,103.73277,102.18592,103.98953,101.810165,101.89784,100.67038
57,58,110.22683,108.48511,108.40798,107.710655,110.23004,103.33064,104.702805,103.8448,105.9368,112.42165,110.50962,108.732544,109.744804,108.04164,106.312775
59,60,103.45543,104.2948,104.63875,103.86565,103.38284,103.3292,101.62837,99.57727,102.47405,101.32228,102.272095,101.89975,99.95278,99.52363,104.31373
60,61,105.99942,105.99013,106.13258,104.667786,103.122475,101.357285,103.31138,103.329956,104.91244,103.150345,105.922,109.15508,105.39292,104.06129,105.699005
61,62,102.12463,101.79496,107.0603,111.104294,107.72907,106.29735,105.27693,102.91585,101.421326,101.28946,101.76356,103.56891,104.95354,104.859344,106.79028
62,63,110.07208,106.853,106.432686,110.10466,111.81195,108.824196,108.63196,108.92194,109.36179,113.92,106.61514,106.051476,103.69581,104.19757,102.15794
63,64,104.71562,104.53642,104.236664,104.6472,106.91164,105.72566,109.58987,105.84296,108.95778,105.06099,107.84674,106.84973,105.680046,107.390594,106.63469
64,65,101.55562,102.32898,102.439926,102.1854,102.71729,102.84456,103.02729,102.80866,104.388016,104.221596,103.59181,104.472855,103.87244,104.65233,104.94927
65,66,109.7745,106.38957,105.77033,106.40561,110.11459,105.84092,104.83988,108.10931,105.30832,103.38324,103.65275,107.092224,106.78421,106.41524,104.477325
66,67,104.61934,103.26279,104.67361,105.819496,110.92015,108.433655,105.982285,106.30785,110.06791,105.95355,113.34918,112.704414,107.20797,106.732376,104.281006
67,68,106.16323,106.49224,106.21308,106.007034,104.129326,107.40949,110.65311,111.626854,106.34269,104.11271,107.41282,105.68799,105.91398,105.43541,106.40251
68,69,109.58298,108.17055,109.22406,104.01301,104.50154,108.03761,105.80763,109.06121,109.76909,110.67637,107.848175,107.48593,108.00105,104.36529,101.2679
70,71,103.78454,104.02448,103.544586,103.471275,105.91072,104.72432,105.05758,106.86383,103.48794,104.19444,103.7912,104.987595,103.05804,104.50104,103.53126
