lon_east,lon_west,lat_north,lat_south,step
"370.809617","362.809617","72.86039","64.86039",14
"372.457523","364.457523","73.096672","65.096672",15
"374.030933","366.030933","73.341387","65.341387",16
"375.604342","367.604342","73.586103","65.586103",17
"377.177752","369.177752","73.830818","65.830818",18
"378.935143","370.935143","73.79113","65.79113",19
"380.692533","372.692533","73.751442","65.751442",20
"382.449924","374.449924","73.711754","65.711754",21
"384.078988","376.078988","73.684891","65.684891",22
"385.708052","377.708052","73.658028","65.658028",23
"387.337116","379.337116","73.631165","65.631165",24
"388.881057","380.881057","73.711452","65.711452",25
"390.424998","382.424998","73.791738","65.791738",26
"391.968939","383.968939","73.872025","65.872025",27
"392.85213","384.85213","74.054586","66.054586",28
"393.73532","385.73532","74.237147","66.237147",29
"394.618511","386.618511","74.419708","66.419708",30
