lon_east,lon_west,lat_north,lat_south,step
"-47.571594","-55.571594","46.909283","38.909283",51
"-47.29421","-55.29421","47.062723","39.062723",52
"-39.259765","-47.259765","51.557826","43.557826",73
"-38.906891","-46.906891","51.924073","43.924073",74
"-39.951131","-47.951131","50.75727","42.75727",71
"-39.61264","-47.61264","51.191578","43.191578",72
"-37.803629","-45.803629","52.68651","44.68651",77
"-37.428436","-45.428436","52.884605","44.884605",78
"-38.554016","-46.554016","52.290321","44.290321",75
"-38.178823","-46.178823","52.488416","44.488416",76
"-42.335235","-50.335235","49.074203","41.074203",65
"-41.889648","-49.889648","49.248081","41.248081",66
"-43.22641","-51.22641","48.726448","40.726448",63
"-42.780823","-50.780823","48.900326","40.900326",64
"-40.628113","-48.628113","49.888653","41.888653",69
"-40.289622","-48.289622","50.322961","42.322961",70
"-41.469136","-49.469136","49.461605","41.461605",67
"-41.048625","-49.048625","49.675129","41.675129",68
"-31.971354","-39.971354","55.365042","47.365042",89
"-31.395325","-39.395325","55.560234","47.560234",90
"-33.123413","-41.123413","54.974659","46.974659",87
"-32.547384","-40.547384","55.169851","47.169851",88
"-29.749664","-37.749664","56.26897","48.26897",93
"-29.125061","-37.125061","56.505261","48.505261",94
"-30.846771","-38.846771","55.796479","47.796479",91
"-30.298218","-38.298218","56.032725","48.032725",92
"-36.102234","-44.102234","53.57439","45.57439",81
"-35.627462","-43.627462","53.855273","45.855273",82
"-36.986369","-44.986369","53.114533","45.114533",79
"-36.544301","-44.544301","53.344462","45.344462",80
"-34.159749","-42.159749","54.602912","46.602912",85
"-33.641581","-41.641581","54.788785","46.788785",86
"-35.152689","-43.152689","54.136155","46.136155",83
"-34.677917","-42.677917","54.417038","46.417038",84
"-22.284943","-30.284943","58.511738","50.511738",105
"-21.644043","-29.644043","58.610114","50.610114",106
"-23.471731","-31.471731","58.221226","50.221226",103
"-22.878337","-30.878337","58.366482","50.366482",104
"-19.661937","-27.661937","58.956136","50.956136",109
"-18.961629","-26.961629","59.105407","51.105407",110
"-21.003144","-29.003144","58.70849","50.70849",107
"-20.362244","-28.362244","58.806866","50.806866",108
"-27.224823","-35.224823","57.177481","49.177481",97
"-26.573791","-34.573791","57.377119","49.377119",98
"-28.500457","-36.500457","56.741553","48.741553",95
"-27.875854","-35.875854","56.977844","48.977844",96
"-24.684337","-32.684337","57.909565","49.909565",101
"-24.065125","-32.065125","58.07597","50.07597",102
"-25.92276","-33.92276","57.576756","49.576756",99
"-25.303548","-33.303548","57.743161","49.743161",100
"-8.85432","-16.85432","64.297025","56.297025",121
"-11.603862","-19.603862","62.562907","54.562907",119
"-10.372498","-18.372498","63.359474","55.359474",120
"-3.336334","-11.336334","67.351189","59.351189",125
"-2.09552","-10.09552","67.94072","59.94072",126
"-4.577149","-12.577149","66.761658","58.761658",124
"-17.029246","-25.029246","59.72554","51.72554",113
"-16.413208","-24.413208","59.960972","51.960972",114
"-18.261322","-26.261322","59.254677","51.254677",111
"-17.645284","-25.645284","59.490109","51.490109",112
"-14.066589","-22.066589","60.969772","52.969772",117
"-12.835225","-20.835225","61.766339","53.766339",118
"-15.631002","-23.631002","60.297239","52.297239",115
"-14.848795","-22.848795","60.633505","52.633505",116
"9.215167","1.215167","71.838699","63.838699",138
"6.228285","-1.771715","70.65696","62.65696",135
"7.223912","-0.776088","71.050873","63.050873",136
"1.105103","-6.894897","69.280846","61.280846",129
"1.986196","-6.013804","69.496824","61.496824",130
"0.038229","-7.961771","68.834137","60.834137",128
"4.575017","-3.424983","70.171507","62.171507",133
"5.401651","-2.598349","70.414233","62.414233",134
"2.86729","-5.13271","69.712802","61.712802",131
"3.748383","-4.251617","69.92878","61.92878",132
"44.912618","36.912618","77.947718","69.947718",169
"46.152026","38.152026","78.329351","70.329351",170
"42.169679","34.169679","77.258398","69.258398",167
"43.67321","35.67321","77.566086","69.566086",168
"49.160217","41.160217","79.381897","71.381897",173
"50.044609","42.044609","79.717354","71.717354",174
"47.391434","39.391434","78.710983","70.710983",171
"48.275826","40.275826","79.04644","71.04644",172
"39.162617","31.162617","76.643021","68.643021",165
"40.666148","32.666148","76.950709","68.950709",166
"55.470259","47.470259","81.04526","73.04526",185
"55.783119","47.783119","81.04673","73.04673",186
"54.84454","46.84454","81.04232","73.04232",183
"55.1574","47.1574","81.04379","73.04379",184
"56.022808","48.022808","80.808907","72.808907",189
"55.629131","47.629131","80.638258","72.638258",190
"55.863015","47.863015","80.967456","72.967456",187
"55.942912","47.942912","80.888181","72.888181",188
"51.948391","43.948391","80.354233","72.354233",177
"52.445815","44.445815","80.468178","72.468178",178
"50.679203","42.679203","79.929647","71.929647",175
"51.313797","43.313797","80.14194","72.14194",176
"53.908621","45.908621","80.811485","72.811485",181
"54.376581","46.376581","80.926903","72.926903",182
"52.943238","44.943238","80.582123","72.582123",179
"53.440662","45.440662","80.696068","72.696068",180
"54.748802","46.748802","78.9711","70.9711",201
"54.756836","46.756836","78.801827","70.801827",202
"54.635358","46.635358","79.265279","71.265279",199
"54.69208","46.69208","79.11819","71.11819",200
"54.618123","46.618123","78.284734","70.284734",205
"54.463343","46.463343","78.106189","70.106189",206
"54.764869","46.764869","78.632553","70.632553",203
"54.772903","46.772903","78.46328","70.46328",204
"54.774627","46.774627","80.151924","72.151924",193
"54.707475","46.707475","80.00689","72.00689",194
"55.235455","47.235455","80.467608","72.467608",191
"54.841778","46.841778","80.296959","72.296959",192
"54.599199","46.599199","79.562198","71.562198",197
"54.578636","46.578636","79.412369","71.412369",198
"54.640324","46.640324","79.861855","71.861855",195
"54.619761","46.619761","79.712026","71.712026",196
"54.275969","46.275969","76.39222","68.39222",217
"54.295942","46.295942","76.228752","68.228752",218
"54.24765","46.24765","76.682757","68.682757",215
