,true_winds_Vivian,cluster_z_wind,cluster_u
0,34.298316129702584,23.06771302150108,11.368074733518968
1,32.94978917885976,23.233917010500473,-22.567685543692935
2,19.258854679788445,14.942114965664057,36.97628972753116
3,38.22601582905756,26.377604519494774,4.999452633969533
4,24.28176225614534,19.51715283026915,22.24360166533403
5,22.349681795266378,18.2886362850035,7.825495618835607
6,41.357808735354645,28.21908168993326,23.426372036212708
7,20.82558716948432,21.09309662221417,-8.787600119979018
8,21.190099104120073,18.431968350953795,10.99399485452208
9,14.108033511690108,17.794670121969393,4.306244061018628
10,18.722119216402778,16.855599974438515,35.21392104452438
11,21.553775002208496,,72.28793343074781
12,19.268887118356403,,80.99337973990129
13,23.10211468786312,18.020168791990244,3.30611088480026
14,17.479768907070824,17.450656185488953,5.916868215825746
