,true_winds_Lothar,cluster_z_wind_lothar
0,20.936828157907613,24.388262237595985
1,41.53188486521407,25.280166054089158
2,25.710155612280904,16.287544630517555
3,41.74005540595033,29.658948841148288
4,20.667205059020414,19.18484749107558
5,23.44332437348857,14.309390001293476
6,29.373496235053068,30.30512041236912
7,42.69717899915103,21.865356725796115
8,28.76127512447445,
9,21.90547410576161,18.284825742763232
10,24.896677373758003,17.3806968363094
11,27.80491968825064,13.36696702656771
12,26.75945804270799,
13,34.74905875930545,19.23051001617627
14,30.27300805498727,24.1399766446037
