,true_winds_Lothar,cluster_u_lothar
0,20.936828157907613,24.882708973754834
1,41.53188486521407,18.60449373001404
2,25.710155612280904,24.510699679650536
3,41.74005540595033,33.8725492740259
4,20.667205059020414,16.664416452464852
5,23.44332437348857,16.958051692311535
6,29.373496235053068,21.426606679292963
7,42.69717899915103,11.742217435779303
8,28.76127512447445,12.205952901885722
9,21.90547410576161,8.256727380244953
10,24.896677373758003,23.566972616210727
11,27.80491968825064,27.259243562544093
12,26.75945804270799,23.21226026312848
13,34.74905875930545,23.619122914799316
14,30.27300805498727,23.386070652507378
