Date,Longitude,Latitude,Vorticity,Longitude (MSLP),Latitude (MSLP),MSLP,Longitude (925wind),Latitude (925wind),925hP Wind Speed,Longitude (10m wind),Latitude (10m wind),10m Wind Speed
2020021309,280.797333,41.280457,4.239024e+00,280.849,39.88025,1001.546,287.4375,39.4848,28.89909,287.7188,38.6417,13.92841
2020021312,286.320465,41.909710,4.069633e+00,285.4042,42.75294,1004.512,291.375,40.0468,31.92755,291.9375,40.0468,16.63819
2020021315,290.611908,42.563076,4.618186e+00,293.5515,41.67591,1001.254,294.75,41.1709,37.18857,294.4688,41.1709,18.77299
2020021318,294.571564,43.052773,4.956315e+00,296.8413,42.53167,996.3116,298.6875,42.014,38.64187,298.9688,42.014,20.77452
2020021321,299.162048,43.418964,5.172658e+00,301.5554,42.90032,995.4708,302.625,42.2951,39.19117,302.0625,42.5761,21.09504
2020021400,302.949738,43.630264,5.246955e+00,305.2168,43.68949,992.0873,306.2812,42.5761,40.55378,306.2812,42.5761,21.67618
2020021403,306.913544,44.054585,5.184660e+00,308.5562,44.40671,988.1705,310.2188,43.1382,41.52627,310.5,42.8571,21.73455
2020021406,310.770935,44.539448,5.544358e+00,313.0719,45.43382,983.2346,314.1562,42.5761,40.42114,315.2812,43.1382,24.12041
2020021409,314.712372,44.941944,5.778104e+00,316.8165,46.29905,978.5576,318.6562,43.7002,42.11197,317.25,45.9485,22.61559
2020021412,319.257721,45.948345,5.515113e+00,320.4335,47.35009,973.2443,322.875,44.8243,41.85347,323.7188,45.3864,23.53902
2020021415,324.143188,47.444584,6.481483e+00,324.5352,48.50394,966.1199,327.6562,46.2295,43.20689,327.6562,47.0726,25.47226
2020021418,328.599121,49.004097,7.589004e+00,328.8023,50.06895,956.774,332.1562,48.7588,44.39891,329.0625,49.6019,27.14742
2020021421,332.718750,50.725304,8.222407e+00,332.4303,52.01414,945.874,336.6562,49.3208,46.20722,333.0,51.288,26.4406
2020021500,336.550262,52.361042,8.784230e+00,334.9498,53.78701,938.1469,334.9688,52.6932,43.79249,334.6875,53.2552,26.58702
2020021503,339.640503,54.553783,9.659434e+00,337.5757,55.19092,933.8681,337.7812,54.3794,51.28931,338.3438,54.3794,31.58477
2020021506,341.338501,56.775425,9.906764e+00,340.2981,56.92606,929.8901,341.1562,56.0655,44.25901,339.75,56.0655,32.51385
2020021509,341.853271,58.853687,9.891167e+00,341.3891,58.80602,926.8267,342.8438,57.7517,40.09042,340.0312,57.4707,30.11809
2020021512,341.876312,60.384571,1.021331e+01,341.3301,60.06934,923.6415,352.125,60.281,37.73859,342.5625,58.8759,28.34682
2020021515,341.825470,61.845493,1.020385e+01,340.6236,60.82253,920.6404,354.375,62.8103,39.15063,341.4375,59.4379,26.40749
2020021518,341.305481,62.561584,1.010814e+01,340.2984,61.28867,920.0041,336.0938,68.1498,42.95505,341.1562,60.0,26.4682
2020021521,340.082581,62.521370,9.196009e+00,339.7764,61.42761,919.9911,335.8125,68.1498,43.84527,340.875,60.281,26.21638
2020021600,339.409424,62.305912,9.023878e+00,339.7857,61.54153,920.42,336.375,68.1498,41.05083,341.1562,60.562,25.86719
2020021603,338.597351,60.250526,8.947032e+00,339.8452,61.54545,921.7534,335.25,65.9016,36.26053,342.8438,60.8431,22.85033
2020021606,339.567657,59.938210,8.922938e+00,340.3502,61.32788,923.9224,336.0938,54.6604,33.57007,336.0938,54.3794,24.24083
2020021609,341.152771,59.502064,8.703550e+00,341.4239,61.10434,926.6406,337.7812,53.8173,34.96424,340.3125,54.0983,25.23163
2020021612,343.023346,59.741592,8.305822e+00,342.7339,60.86327,931.0859,344.25,54.3794,34.39298,343.9688,54.3794,24.68842
2020021615,345.166595,60.267353,8.153539e+00,344.3808,60.67178,934.2471,347.9062,54.9414,32.86504,347.9062,55.2225,23.64236
2020021618,347.683868,60.219631,7.703098e+00,346.4017,60.50611,937.8579,352.9688,56.9086,33.43573,351.8438,56.0655,23.35772
2020021621,349.943207,60.697182,7.561920e+00,349.0907,60.45421,941.3555,352.6875,55.7845,33.77511,351.8438,55.5035,23.11088
2020021700,352.709106,60.747719,6.968439e+00,351.7184,60.46032,945.6577,359.7188,57.4707,34.08533,351.8438,58.3138,22.97228
2020021703,356.483185,61.222618,6.651274e+00,354.9897,60.68004,949.5309,358.875,56.6276,37.35469,354.9375,58.8759,23.36292
2020021706,359.732666,61.323441,6.477104e+00,358.7899,61.01712,952.7469,3.6562,55.7845,37.38713,357.4688,59.1569,23.16243
2020021709,2.227356,61.880363,5.748365e+00,2.162197,61.55901,956.1036,3.375,59.4379,36.16559,4.2188,59.4379,22.29119
2020021712,2.888619,63.891632,5.153227e+00,6.229993,65.78567,958.9005,4.5,59.7189,31.93419,4.7812,59.7189,20.96873
2020021715,5.375218,64.057610,4.961434e+00,7.938525,66.52586,960.0663,10.4062,58.5948,29.71942,10.4062,58.8759,18.60073
2020021718,6.347153,65.232635,4.303987e+00,9.18736,67.19203,961.9269,8.1562,63.3723,22.49178,7.875,63.3723,16.76054
