lon_east,lon_west,lat_south,lat_north
331.266266,339.266266,44.216362,52.216362
332.203542,340.203542,44.772182,52.772182
333.140818,341.140818,45.328003,53.328003
334.078094,342.078094,45.883823,53.883823
334.945841,342.945841,46.305193,54.305193
335.813588,343.813588,46.726564,54.726564
336.681335,344.681335,47.147934,55.147934
337.712107,345.712107,47.761037,55.761037
338.742879,346.742879,48.374141,56.374141
339.773651,347.773651,48.987244,56.987244
340.667185,348.667185,49.410716,57.410716
341.56072,349.56072,49.834188,57.834188
342.454254,350.454254,50.25766,58.25766
343.57253,351.57253,50.815249,58.815249
344.690806,352.690806,51.372839,59.372839
345.809082,353.809082,51.930428,59.930428
346.970418,354.970418,52.39608,60.39608
348.131755,356.131755,52.861733,60.861733
349.293091,357.293091,53.327385,61.327385
350.317871,358.317871,53.834118,61.834118
351.342652,359.342652,54.340851,62.340851
352.367432,0.367432,54.847584,62.847584
353.350057,1.350057,55.384686,63.384686
354.332683,2.332683,55.921787,63.921787
355.315308,3.315308,56.458889,64.458889
356.272854,4.272854,56.90935,64.90935
357.2304,5.2304,57.359811,65.359811
358.187946,6.187946,57.810272,65.810272
359.236673,7.236673,58.136625,66.136625
0.285399,8.285399,58.462977,66.462977
1.334126,9.334126,58.78933,66.78933
2.219704,10.219704,59.331678,67.331678
3.105282,11.105282,59.874026,67.874026
3.99086,11.99086,60.416374,68.416374
5.197795,13.197795,61.039322,69.039322
6.404729,14.404729,61.662269,69.662269
7.611664,15.611664,62.285217,70.285217
8.93749,16.93749,62.846018,70.846018
10.263316,18.263316,63.40682,71.40682
11.589142,19.589142,63.967621,71.967621
12.565224,20.565224,64.339834,72.339834
13.541305,21.541305,64.712046,72.712046
14.517387,22.517387,65.084259,73.084259
15.488404,23.488404,65.342173,73.342173
16.45942,24.45942,65.600088,73.600088
17.430437,25.430437,65.858002,73.858002
18.623462,26.623462,66.083318,74.083318
19.816487,27.816487,66.308635,74.308635
21.009512,29.009512,66.533951,74.533951
22.792926,30.792926,66.417336,74.417336
24.576341,32.576341,66.30072,74.30072
26.359755,34.359755,66.184105,74.184105
27.639932,35.639932,66.224548,74.224548
28.92011,36.92011,66.264992,74.264992
30.200287,38.200287,66.305435,74.305435
31.378658,39.378658,66.35921,74.35921
32.55703,40.55703,66.412984,74.412984
33.735401,41.735401,66.466759,74.466759
34.836037,42.836037,66.42392,74.42392
35.936672,43.936672,66.381081,74.381081
37.037308,45.037308,66.338242,74.338242
36.326734,44.326734,66.675237,74.675237
35.61616,43.61616,67.012233,75.012233
34.905586,42.905586,67.349228,75.349228
33.331728,41.331728,67.813767,75.813767
31.757871,39.757871,68.278305,76.278305
30.184013,38.184013,68.742844,76.742844
29.395894,37.395894,68.914047,76.914047
28.607775,36.607775,69.085251,77.085251
27.819656,35.819656,69.256454,77.256454
26.731736,34.731736,69.403783,77.403783
25.643815,33.643815,69.551112,77.551112
24.555895,32.555895,69.698441,77.698441
23.626043,31.626043,69.671695,77.671695
22.696192,30.696192,69.644948,77.644948
21.76634,29.76634,69.618202,77.618202
21.463424,29.463424,69.769757,77.769757
21.160508,29.160508,69.921313,77.921313
20.857592,28.857592,70.072868,78.072868
20.881727,28.881727,70.224769,78.224769
20.905863,28.905863,70.376671,78.376671
20.929998,28.929998,70.528572,78.528572
21.073098,29.073098,70.616702,78.616702
21.216197,29.216197,70.704831,78.704831
21.359297,29.359297,70.792961,78.792961
21.906798,29.906798,70.945267,78.945267
22.454298,30.454298,71.097572,79.097572
23.001799,31.001799,71.249878,79.249878
22.559486,30.559486,71.460955,79.460955
22.117173,30.117173,71.672033,79.672033
21.67486,29.67486,71.88311,79.88311
21.539524,29.539524,72.102053,80.102053
21.404188,29.404188,72.320997,80.320997
21.268852,29.268852,72.53994,80.53994
20.434554,28.434554,72.554642,80.554642
19.600255,27.600255,72.569343,80.569343
18.765957,26.765957,72.584045,80.584045
17.273867,25.273867,72.570724,80.570724
15.781776,23.781776,72.557404,80.557404
14.289686,22.289686,72.544083,80.544083
13.598781,21.598781,72.540395,80.540395
12.907875,20.907875,72.536708,80.536708
12.21697,20.21697,72.53302,80.53302
12.731823,20.731823,72.602727,80.602727
13.246675,21.246675,72.672435,80.672435
13.761528,21.761528,72.742142,80.742142
13.975071,21.975071,72.738162,80.738162
14.188614,22.188614,72.734182,80.734182
14.402157,22.402157,72.730202,80.730202
14.881088,22.881088,72.785632,80.785632
15.36002,23.36002,72.841062,80.841062
15.838951,23.838951,72.896492,80.896492
16.561445,24.561445,72.963768,80.963768
17.283939,25.283939,73.031044,81.031044
18.006433,26.006433,73.09832,81.09832
18.514131,26.514131,73.145485,81.145485
19.02183,27.02183,73.19265,81.19265
19.529528,27.529528,73.239815,81.239815
20.154759,28.154759,73.201248,81.201248
20.779989,28.779989,73.162682,81.162682
21.40522,29.40522,73.124115,81.124115
21.695752,29.695752,72.959259,80.959259
21.986285,29.986285,72.794403,80.794403
22.276817,30.276817,72.629547,80.629547
23.017812,31.017812,72.835439,80.835439
23.758807,31.758807,73.041331,81.041331
24.499802,32.499802,73.247223,81.247223
25.601862,33.601862,73.305049,81.305049
26.703921,34.703921,73.362874,81.362874
27.805981,35.805981,73.4207,81.4207
28.769119,36.769119,73.499875,81.499875
29.732258,37.732258,73.579051,81.579051
30.695396,38.695396,73.658226,81.658226
30.76942,38.76942,73.714539,81.714539
30.843445,38.843445,73.770851,81.770851
30.917469,38.917469,73.827164,81.827164
