,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,start_date,storm_name
0,1,26.494497,27.814377,27.79384,27.149303,26.790867,14.169377,13.723591,13.540113,12.129957,11.136426,10.620527,9.941813,9.186752,8.993188,8.615336,1990-01-22T22:00:00,C3S_STORM_TRACKS_ERA5
1,2,24.50098,24.110338,23.799877,26.870548,26.144701,25.80494,24.849152,24.539333,24.317867,24.462465,24.334805,23.996729,24.065042,24.157463,24.400751,1990-01-25T04:00:00,DARIA
2,3,23.982864,23.909008,24.42319,24.200958,24.300875,24.170784,24.108646,23.779778,23.355608,23.28725,23.144196,22.986513,22.943886,22.781971,22.199305,1990-02-01T10:00:00,C3S_STORM_TRACKS_ERA5
4,5,23.310173,23.474876,23.515821,23.170893,23.034477,23.11015,22.628103,21.96823,23.46126,23.395496,23.84749,23.578917,22.676638,21.99698,20.68512,1990-02-02T23:00:00,HERTA
5,6,18.129725,18.207884,18.092947,18.27291,18.66431,19.147505,19.152025,19.190067,19.109447,18.898512,18.956028,19.092648,18.193405,19.139965,19.97859,1990-02-28T07:00:00,WIEBKE
6,7,17.838537,18.175562,18.431465,18.383606,18.436905,18.539717,18.575464,18.383705,19.368935,19.236776,19.470783,19.203583,18.38694,17.732899,17.486502,1990-02-25T23:00:00,VIVIAN
7,8,27.026363,27.302088,26.691698,26.577473,25.97898,25.350685,24.13366,23.436655,23.013046,22.532732,21.124739,20.203186,19.333908,19.379526,18.891132,1991-01-05T06:00:00,C3S_STORM_TRACKS_ERA5
10,11,25.6615,25.719282,26.078608,26.921825,27.401878,27.80525,13.0045185,13.910176,13.989734,13.899486,13.880468,13.7074795,13.365153,13.0857525,12.625596,1992-02-27T02:00:00,C3S_STORM_TRACKS_ERA5
11,12,22.613152,22.726496,22.46341,22.639187,21.94413,22.703224,22.762775,22.942148,23.02051,23.089705,23.322231,23.356997,23.509497,23.755394,17.066927,1992-12-17T15:00:00,C3S_STORM_TRACKS_ERA5
12,13,16.732782,16.160433,15.649589,14.807206,14.884644,14.675773,14.65116,15.134025,15.823492,16.523165,17.876614,18.917877,20.169939,20.246096,20.167847,1992-12-25T04:00:00,C3S_STORM_TRACKS_ERA5
15,16,25.548475,25.71099,25.29182,24.947193,24.116835,23.82074,22.938745,23.04528,22.716702,22.502674,22.259954,22.85317,23.266926,23.97431,24.687473,1993-01-16T21:00:00,C3S_STORM_TRACKS_ERA5
18,19,24.995173,24.928923,24.455929,24.030127,23.133944,22.249031,21.225824,19.944666,18.911232,18.28395,18.193901,18.777803,19.182314,19.995834,20.35328,1993-12-08T11:00:00,C3S_STORM_TRACKS_ERA5
20,21,25.031193,24.016243,22.345892,22.083221,21.833317,21.246195,20.587835,19.7283,19.622585,19.52881,19.696228,19.58451,18.932833,18.70739,19.190632,1994-01-27T05:00:00,LORE
25,26,15.388161,16.353981,17.091803,21.805307,23.464727,24.039639,24.931423,25.362967,26.025343,26.269917,26.215586,25.732603,25.531866,25.611408,25.607916,1996-10-11T11:00:00,C3S_STORM_TRACKS_ERA5
26,27,23.423754,23.492294,23.585823,23.698784,23.77784,23.667002,23.567417,23.391521,23.303726,23.452274,23.160587,23.458128,23.524895,23.45724,23.240705,1996-10-27T23:00:00,C3S_STORM_TRACKS_ERA5
28,29,25.319237,25.417774,25.627783,25.845713,26.324682,26.54803,26.723528,26.552984,26.721222,26.755707,26.855545,26.992989,27.208073,27.068308,27.434134,1997-02-19T08:00:00,C3S_STORM_TRACKS_ERA5
30,31,20.200497,20.69449,21.073503,21.1801,21.487387,21.765642,21.542442,21.15107,20.64546,19.930212,19.647451,20.5682,19.971222,19.90607,20.09632,1997-12-24T08:00:00,YUMA
31,32,26.520147,26.63394,26.605291,26.272354,25.871893,25.371319,24.86261,24.152699,24.284664,23.582432,22.909592,22.205935,21.374784,20.684307,20.062166,1998-01-04T04:00:00,FANNY
32,33,22.70141,22.786215,22.791115,22.36011,21.93561,21.155754,21.259378,20.843733,20.765402,20.460876,20.248936,20.417072,20.819294,20.947247,21.16399,1998-01-03T00:00:00,C3S_STORM_TRACKS_ERA5
33,34,27.637001,28.151075,28.527397,28.264204,27.969582,27.7093,27.124197,26.650448,26.143894,24.831648,24.501308,24.305323,24.37138,24.354406,24.218073,1998-12-26T10:00:00,STEPHEN
37,38,21.672974,21.609604,21.06804,20.878483,20.141151,19.793083,19.799383,19.870062,19.219187,19.081282,19.009071,18.796724,19.36192,18.585367,18.384714,1999-12-25T22:00:00,LOTHAR
38,39,26.006485,26.165224,26.455559,26.550268,26.339153,26.603203,26.242308,26.194695,25.562729,25.265911,24.32445,24.12512,23.977316,24.039633,24.39396,2000-01-02T21:00:00,C3S_STORM_TRACKS_ERA5
42,43,22.643293,22.788013,23.419802,23.085747,23.162876,22.736795,22.273808,22.041906,21.524542,21.447515,21.287664,21.223476,21.152946,21.295147,21.776209,2001-12-27T17:00:00,C3S_STORM_TRACKS_ERA5
43,44,28.82285,29.018736,29.281559,29.448782,29.683113,29.890905,29.780645,29.727219,28.384068,27.912355,27.112984,26.347673,25.75985,24.854544,23.684856,2002-01-27T23:00:00,C3S_STORM_TRACKS_ERA5
44,45,20.137562,20.14627,20.266518,19.8641,19.079075,18.532316,17.693914,16.610662,15.970305,15.561372,15.154169,15.85002,16.137062,16.92997,17.168842,2002-02-25T21:00:00,C3S_STORM_TRACKS_ERA5
45,46,21.486921,21.531002,21.491177,21.370203,21.637972,21.277626,20.937626,20.360502,19.878393,19.50869,19.024515,19.293688,19.737478,20.515085,20.755234,2002-10-26T19:00:00,JEANETTE
46,47,19.130093,19.197248,20.124271,20.84871,20.924992,20.422998,19.948238,20.476427,20.945463,21.768599,22.11591,23.227509,24.771198,25.35912,25.03397,2005-01-07T21:00:00,ERWIN
47,48,30.720802,30.756388,30.49132,30.508408,30.44754,30.199842,29.816786,29.274668,28.153912,27.33654,26.721987,26.132217,25.68963,25.431639,24.747015,2005-01-11T11:00:00,GERO
48,49,19.203014,19.354177,19.485826,19.4258,19.055344,18.575844,18.574894,18.631182,18.900661,19.100727,19.405096,18.855398,18.61353,18.496769,18.607647,2005-11-07T14:00:00,C3S_STORM_TRACKS_ERA5
49,50,20.765274,23.03896,23.453466,23.577372,23.700493,23.620596,23.281115,23.438124,23.479076,23.195112,23.059544,23.280167,23.072489,22.911661,22.937126,2005-11-11T06:00:00,C3S_STORM_TRACKS_ERA5
