,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,start_date,storm_name
0,1,3.926323,4.000448,3.8496113,4.314188,6.6603394,2.7859993,3.3531437,3.972866,2.731699,2.7360077,1.8473663,1.9542446,2.1981678,1.9516582,1.7370396,1990-01-22T22:00:00,C3S_STORM_TRACKS_ERA5
1,2,2.3740005,4.627926,5.942358,11.156984,10.349365,7.792904,5.797554,7.9670124,7.4946785,6.774975,8.092854,6.8309994,6.762045,6.861166,4.5856934,1990-01-25T04:00:00,DARIA
2,3,5.226816,5.005266,6.1606693,6.867956,7.93223,8.924606,7.5635376,4.7711754,5.413252,2.7237225,5.134016,5.570427,7.0945225,6.0235596,6.959919,1990-02-01T10:00:00,C3S_STORM_TRACKS_ERA5
4,5,2.4118805,2.2889843,2.2563782,1.8007374,3.9819584,3.9175835,2.79813,2.3993397,5.559559,6.424856,6.5460815,6.1849136,6.6255054,5.011118,4.462679,1990-02-02T23:00:00,HERTA
5,6,1.6051064,2.4336185,2.002222,2.279787,2.329113,3.2027721,2.2521973,2.0908432,3.0857258,2.9469452,3.0673332,4.2469807,3.8331432,3.4552536,3.2144756,1990-02-28T07:00:00,WIEBKE
6,7,2.0156002,2.1000385,2.167759,1.860096,2.208723,2.494648,2.047369,1.6377106,1.4186687,1.2849045,1.0056667,1.2012997,1.3166733,1.262331,1.6736603,1990-02-25T23:00:00,VIVIAN
7,8,4.125046,5.2711105,6.033348,6.592066,6.58897,5.829054,3.7613392,3.1530952,3.4726944,2.5874157,2.8102818,2.2925797,2.4210377,2.5309238,2.3312721,1991-01-05T06:00:00,C3S_STORM_TRACKS_ERA5
10,11,6.328987,10.425968,5.5834465,13.74942,8.012869,8.257755,3.2791862,2.1045113,3.3328266,2.9137993,2.8422775,2.5888405,2.0695267,2.5857315,3.4206753,1992-02-27T02:00:00,C3S_STORM_TRACKS_ERA5
11,12,5.9937286,5.73695,5.9150906,6.388527,4.4923744,11.8852005,12.158028,9.055817,6.968687,9.468269,11.295411,5.464123,8.070429,6.474388,2.333828,1992-12-17T15:00:00,C3S_STORM_TRACKS_ERA5
12,13,2.3490734,2.067419,2.1901913,1.222456,1.6589813,2.1564903,2.602642,2.7880058,4.324667,5.3822746,6.959057,6.919739,4.89921,5.352585,5.895832,1992-12-25T04:00:00,C3S_STORM_TRACKS_ERA5
15,16,8.166128,7.486063,5.9859734,5.605568,6.1681023,6.540432,6.057749,4.1593094,3.1598473,4.9981747,4.016657,5.2718163,6.0532627,7.1352654,5.8917694,1993-01-16T21:00:00,C3S_STORM_TRACKS_ERA5
18,19,7.0071087,7.400256,7.976465,8.121025,8.209517,7.8501453,4.526636,4.6738987,3.2465458,3.2458706,3.4910812,3.718052,3.3917809,3.0533504,5.5466576,1993-12-08T11:00:00,C3S_STORM_TRACKS_ERA5
20,21,9.942586,6.045643,3.8190346,3.886303,4.610365,4.8817005,2.9196243,3.783512,1.8244591,3.9732208,4.571064,4.2891483,2.9438095,2.326315,5.3253593,1994-01-27T05:00:00,LORE
25,26,2.7861538,6.851324,3.013712,3.7868347,4.169447,6.608692,7.4514446,5.447216,6.010725,5.4866962,5.994932,2.4810696,6.2361298,7.5505085,6.1794186,1996-10-11T11:00:00,C3S_STORM_TRACKS_ERA5
26,27,3.020172,3.6131153,3.9627075,3.8665142,3.682747,5.2110424,6.541214,6.104763,4.9863567,2.4466133,4.059616,4.778181,4.126375,3.7631454,1.8622856,1996-10-27T23:00:00,C3S_STORM_TRACKS_ERA5
28,29,6.1336517,7.6118355,3.8665123,7.9383564,7.7067356,8.068642,7.303814,8.438591,6.736025,7.5619736,6.8840027,5.9695873,5.6535244,3.6855602,2.6698112,1997-02-19T08:00:00,C3S_STORM_TRACKS_ERA5
30,31,2.7546482,3.154234,3.0239506,3.3725872,2.904585,2.3179436,2.8318005,2.6949654,4.0429306,3.9490395,3.5545483,4.418497,2.7553768,2.3077526,2.1519947,1997-12-24T08:00:00,YUMA
31,32,2.6556149,2.2899323,2.7761955,6.3668194,2.512968,2.3947525,2.3104248,4.074211,2.4365215,2.3521938,3.061491,5.0727444,3.8866425,2.1559544,2.997654,1998-01-04T04:00:00,FANNY
32,33,2.5200615,2.1323109,2.2639256,2.3915997,1.9013958,2.1551666,4.388666,7.556864,4.7630177,7.124981,7.872896,7.195122,6.8199825,5.518814,4.060026,1998-01-03T00:00:00,C3S_STORM_TRACKS_ERA5
33,34,6.9081936,5.739004,7.2138634,7.58296,6.1554794,4.484228,4.8686085,5.7053814,3.078146,6.6223907,7.556978,4.295477,2.152729,1.513113,1.963213,1998-12-26T10:00:00,STEPHEN
37,38,6.1290665,5.8548355,5.227251,5.430813,2.746872,4.1011333,5.34017,5.7403793,3.6794147,3.1178913,3.2131443,3.5157967,3.0003643,3.110979,2.5840225,1999-12-25T22:00:00,LOTHAR
38,39,8.03088,7.0611134,7.118204,5.3968678,1.2870922,2.2928333,3.5425816,4.1346073,4.408333,3.3603592,3.968027,4.880703,4.253483,4.19952,3.1304302,2000-01-02T21:00:00,C3S_STORM_TRACKS_ERA5
42,43,5.638214,5.251873,6.5121155,4.3795166,3.8000069,6.440256,6.239359,4.386471,4.630638,2.7947483,3.543476,6.978815,5.5114937,4.5634136,2.5420818,2001-12-27T17:00:00,C3S_STORM_TRACKS_ERA5
43,44,2.1361675,3.6286373,1.8816128,1.3481827,1.481945,3.3651657,3.5037918,3.2638302,2.4953003,4.305559,3.0895329,3.0246773,5.179476,7.894457,8.051731,2002-01-27T23:00:00,C3S_STORM_TRACKS_ERA5
44,45,6.7202034,5.279131,4.0411987,1.7532005,1.117815,1.2025833,1.3415737,1.1873112,1.4370346,0.79935837,1.1514168,0.9780617,0.7298641,0.38009644,0.6954975,2002-02-25T21:00:00,C3S_STORM_TRACKS_ERA5
45,46,4.8526134,5.416788,5.708786,5.842205,7.467636,7.3669987,5.663042,4.1420593,4.2762413,6.3042183,4.508774,3.2698784,3.9964428,3.7776337,6.599266,2002-10-26T19:00:00,JEANETTE
46,47,1.5312004,1.4751759,2.0388737,1.6777267,2.8706303,2.2000542,2.5844727,3.1007652,4.888397,7.172497,4.309183,7.627594,7.727577,8.211979,5.931326,2005-01-07T21:00:00,ERWIN
47,48,8.648975,5.2909164,3.2145386,1.4949989,1.3700199,3.1964378,6.444172,6.377802,5.0737114,3.8325386,2.6637688,3.3326225,4.0635357,4.5617275,4.604824,2005-01-11T11:00:00,GERO
48,49,2.4924908,3.1913166,3.426609,2.9727688,2.7233772,2.3664722,2.4554787,2.2113743,2.4360905,2.3400364,4.2426395,6.461609,3.1252232,3.7747002,3.3384838,2005-11-07T14:00:00,C3S_STORM_TRACKS_ERA5
49,50,4.605711,7.4891396,4.6497746,7.234459,3.4556904,3.6248875,2.8097382,2.4263973,3.3428898,2.8846436,3.3508224,2.7075138,4.12191,4.4303436,5.447298,2005-11-11T06:00:00,C3S_STORM_TRACKS_ERA5
50,51,2.8779907,4.2646275,7.652029,5.3688583,3.9030266,1.7633,2.9138508,4.7024345,6.0980377,5.464489,4.2922707,4.514162,2.5432835,4.1772156,5.0124855,2006-01-10T15:00:00,C3S_STORM_TRACKS_ERA5
52,53,7.5623894,4.7090397,5.0068703,6.301468,5.5104923,5.616005,4.99415,4.8504715,3.1547737,4.046774,4.3745384,3.989153,3.6636333,2.6533985,2.99613,2007-01-18T03:00:00,KYRILL
53,54,1.9073868,1.6228943,1.8834934,1.656496,1.4937153,1.79389,0.43788147,1.5586777,1.4869957,1.3204803,1.3369083,1.6579895,2.376316,1.6116943,1.4563808,2007-03-17T18:00:00,C3S_STORM_TRACKS_ERA5
55,56,2.5909824,3.3439236,4.5086555,4.8411903,3.996931,2.3997326,2.0870132,1.4900017,1.3185654,1.4055748,0.9920616,1.1927872,1.3495789,2.204174,2.090458,2007-12-08T22:00:00,C3S_STORM_TRACKS_ERA5
57,58,1.6467113,1.9656601,1.7939186,2.841465,2.8035488,3.1797447,3.4786186,3.2057648,4.7685356,2.381258,2.5388737,4.526909,4.071163,4.7700233,3.391632,2008-01-24T22:00:00,C3S_STORM_TRACKS_ERA5
59,60,2.2278976,2.3634205,2.1968575,2.273325,2.542099,2.2983093,2.164301,2.321022,1.9273243,2.096161,1.4412594,1.6350803,1.7668171,1.7683315,1.5813255,2008-02-29T12:00:00,EMMA
60,61,2.1865463,3.1595478,3.1886883,3.0883121,3.4202003,3.4218197,3.8233242,3.8427525,3.8524647,3.7189007,3.423439,3.0203152,2.9395828,2.8827991,3.0304356,2008-03-11T12:00:00,C3S_STORM_TRACKS_ERA5
