,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,start_date,storm_name
43,44,42.556072,43.922073,45.1227,45.236195,44.88922,44.051785,42.320976,42.488785,41.794838,41.550014,40.7142,42.801712,44.21149,46.306297,46.16767,2002-01-27T23:00:00,C3S_STORM_TRACKS_ERA5
44,45,31.920258,32.124924,31.91262,31.849234,30.997726,31.312365,32.183727,31.08326,29.43981,30.546389,30.08207,30.94656,32.11576,35.126205,36.63601,2002-02-25T21:00:00,C3S_STORM_TRACKS_ERA5
45,46,32.799038,33.357876,32.767017,32.29357,31.540321,31.698137,33.57821,36.33351,34.611256,34.158394,34.387875,34.71418,35.529945,36.34952,33.787106,2002-10-26T19:00:00,JEANETTE
46,47,31.545143,31.375343,30.601336,32.509636,33.00438,36.32538,36.36158,38.250053,37.704456,42.583813,45.746216,38.54742,40.443653,43.770683,41.86583,2005-01-07T21:00:00,ERWIN
47,48,54.591286,54.09568,53.454407,52.75625,51.92794,52.611443,52.396828,52.840717,49.146507,48.86121,49.05256,48.300957,47.640724,47.337326,46.929638,2005-01-11T11:00:00,GERO
48,49,31.592018,33.67792,33.972256,32.59752,33.466423,34.596176,36.140995,35.99471,36.310196,37.12887,38.53269,37.785397,39.182167,39.46945,35.97268,2005-11-07T14:00:00,C3S_STORM_TRACKS_ERA5
49,50,37.928158,32.15954,33.356266,34.564453,35.903942,37.81007,39.429794,40.883846,41.37558,41.206383,41.459297,40.71553,40.640625,38.99446,36.72438,2005-11-11T06:00:00,C3S_STORM_TRACKS_ERA5
50,51,39.45804,42.322464,40.792377,43.926506,44.886547,44.173058,42.932106,43.26457,42.5451,43.603756,41.868965,41.8077,40.81479,36.480053,37.136765,2006-01-10T15:00:00,C3S_STORM_TRACKS_ERA5
52,53,37.056747,39.479065,39.29947,40.602295,40.273033,40.33664,39.316677,39.175995,39.607025,39.847984,39.285248,40.30671,40.521477,40.27378,39.384026,2007-01-18T03:00:00,KYRILL
53,54,34.468018,36.378822,35.093754,33.271805,35.317764,34.692776,36.905994,37.632534,35.918858,36.876873,37.57952,37.754246,36.3497,36.961998,37.032936,2007-03-17T18:00:00,C3S_STORM_TRACKS_ERA5
