time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19
1,vertical_velocity_975_min,-2.0274087230588322,-2.206794922263542,-2.6756944154258,3.7673767284268673,-2.0308045157988026,1.737718001743317,-0.8718507010157209,-0.5812449306973243,-0.36103263210224124,-0.2398718164053769,-0.9683425983988481,-0.18688703195612538,-0.4781142910550519,1.0724721577401146,0.09845412457570472,-0.5724946014468503,-0.000911087704325189,0.2346312453523478,-0.6823538607348087
2,vertical_velocity_975_min,-1.6578589699519501,-3.8210287577583824,-1.732038813122362,2.6304755979117798,-1.343566860977663,1.4480346925072245,-0.7196675476789771,0.11909810014306033,-0.6830112765248295,-0.37170656274669517,-0.07361133178650879,-0.11502691476563819,1.0181783871514032,-0.3327996324398496,-0.11941154031261769,0.9199942738450969,0.16900705363362986,-0.22064842637664617,0.33707493729474425
3,vertical_velocity_975_min,-2.0112787603646414,-3.406967666546198,-1.3785977769607796,1.643069451172635,-1.0952353848622653,0.20124134464055288,0.6224453875603634,1.0584209152572812,0.8575868056243874,0.3397264326415588,-0.25152545188382996,-0.7805241704496741,0.15569690699180658,-0.50356483758192,-0.5436896675376338,0.18374425645026327,-0.19865923148339468,-0.17563027036952467,0.732227176236892
4,vertical_velocity_975_min,-2.8862889479976443,-2.172670270594762,-1.8352869221409185,0.8847279044080154,-0.8682663925700078,-1.580269210264844,0.8027366009845689,1.119538984848773,1.2704475403181545,0.8942997362557532,0.8631251902435766,-0.05096090231072912,-0.37229709449041615,-0.24396812007393812,0.013893951342560235,-0.22233506939031208,-0.09290112311077471,0.31354661063121936,-0.1567070829227345
5,vertical_velocity_975_min,-3.3901434638554275,-2.5366774596036854,-1.629072644049856,-0.35401292274823615,-1.9975214327208535,-1.3576425576549236,-0.01986616349865713,-0.44820410695066376,0.48689889815869775,0.6896993291438599,0.8841381409686311,0.558778503087277,-0.5022196217074908,-0.15744701135981676,0.4940347240716187,-0.3856434475464209,-0.20805344574849377,-0.15367909195233578,-0.11970404300733643
6,vertical_velocity_975_min,-2.615858079978619,-2.5635733234492646,0.8576983000403223,-1.5936463198903097,-1.6572719428192164,-1.3079653361272139,-0.2764787946953467,0.2863656753786531,-0.844565730488227,-0.17785587018876073,0.3673288575692135,0.573342184817236,-0.03579968745064617,0.42103036385836506,1.2545145814358796,0.6145888127740955,0.08716372384648566,0.2770082961689122,0.07308247196131573
7,vertical_velocity_975_min,-2.4131024984766327,-2.474036013493824,1.8752543341926635,-1.6654497028410384,-0.9490184763359303,-0.8777239914679689,0.04892457663216925,1.7477290772089624,-1.066936158212827,0.018446232850331413,-0.4784026036406629,0.43539013299736956,0.5138430098866403,-0.3807559457532881,-0.5912865716564368,-0.22288477687489225,0.48740775473451653,-0.11398970992144204,-0.4413421986298116
8,vertical_velocity_975_min,-2.2137606914140924,-2.325493037655193,1.949177378423399,-2.4513775980465193,-1.0411069684182095,-0.5330941771148997,-1.6528450529530718,-0.1442772383172185,-0.6386715697317812,-1.068859290183767,-0.5928224529301038,0.5652045482159801,0.0627521600211661,-0.4412913881547433,-0.6236856590786224,-0.2829195860613898,-0.6092420747045557,-0.04530389625406396,0.029970902510650054
9,vertical_velocity_975_min,-1.3884546369490491,-2.912245017762514,2.8133233166957607,-2.615208445595822,-1.6802650194628634,0.5707792394792507,-0.2894794176107521,-1.4353753774563471,0.546718788722757,0.4215970332070835,-0.22652718144676706,-0.9598230129266824,0.05712424026368673,0.4829611492896624,-0.5341708195082485,-0.23074954935060146,0.317724248274103,0.23572005305550278,0.04750105207527727
10,vertical_velocity_975_min,-1.737840507759503,-1.9560921088002503,3.422056981141227,-1.2635183007520983,-0.4794111052465178,1.1297906377927025,0.5352517601251863,-1.2166359069729482,1.423391581555952,-0.19679928969185578,0.41774553489071015,-0.6396702126600511,-0.0522941498759391,0.07622685815854759,0.5875283249008308,0.09810680949566225,-0.05102879368837774,-0.4474769251402064,0.04785497330841216
11,vertical_velocity_975_min,-1.27764002933342,-0.9464835410220518,2.7021775103558925,1.5642708938952608,1.4423842701302134,1.7738279383004998,1.0841559615233427,0.8944420958762074,0.5211059486057468,-0.6802219005810605,0.719606630590011,1.1861398150371225,0.134285163698627,0.1185005832662421,0.23481365992282718,-0.2303265459100167,0.5421371710866345,0.07742519040281941,0.12790464492188022
12,vertical_velocity_975_min,-1.6230925105296732,-1.0823855823619417,2.23010110410664,2.4450932557721856,1.4996203554170262,0.2936697242924754,1.1248936357961143,-0.11434945472508815,-0.49818517533084783,-0.4201689616631239,0.2168000004053126,0.7962530623415718,-0.8559826649945861,0.44293541861126673,-0.4652508838330163,-0.32991597399971323,-0.15500753355170974,0.1577500222396336,0.5408880762805487
13,vertical_velocity_975_min,-1.9786738523848648,-0.09454034842292772,2.1241917489832844,1.963162813598006,2.0522717683609777,-0.779955019834205,0.9709439909847553,0.17237281749646818,-0.7247361475408235,0.321224940006492,-0.041514308376689825,-0.4041107122145989,-0.42128127512911917,0.21414743786503354,-0.240849321814771,-0.0019322349979355362,-0.7929311897953267,-0.3125377761763529,-0.2981305920559729
14,vertical_velocity_975_min,-1.3774697886027731,0.1952491955287374,2.513166986452818,2.3578766686194714,1.5979261043637645,-0.6557516844839408,0.42871772324214324,-0.994556605822108,-0.6741742012129324,0.8897495282981923,0.1492951445249689,-0.6577781958866338,0.967380591021573,-0.2086742167797939,0.21258805051309052,0.4472588649979559,-0.1822798828802362,-0.09694784944759924,-0.48108817212208554
15,vertical_velocity_975_min,-3.243948687390052,1.9479274439743335,0.07492429835680715,1.5609627800941848,1.4027068600583559,-1.8059568607473946,-0.6467220777889074,-0.4773448436486333,-0.2973744824334854,-0.024880726600052205,-0.4803816981464585,-0.12576731148128295,-0.181840049147357,-0.1511953380976714,0.45811458768284063,0.2884849278063044,0.825467114151547,0.32624939807396625,-0.02738324882852828
16,vertical_velocity_975_min,-2.413860836522973,1.7671757036729128,0.01850960285993723,1.3335557302277938,1.273218605079503,-1.3049257641669887,-1.1115808062603016,-0.528570751205197,0.142473433464868,-0.3385152526661972,-0.7216457311013221,-0.8264587933042993,-0.3395377321483494,-1.0160493530050894,0.2478981055859487,-0.5276136911048378,0.2451966001157256,0.1379449854367024,0.4921606107188382
17,vertical_velocity_975_min,-3.783093262016425,3.891653909776935,-0.7394586606778102,-0.057165521734087316,0.3799302946611087,-0.18108033710540425,-0.7610526062629983,-0.28874567229360654,0.1258069128952562,-0.6303852085362027,-0.05228729199191186,0.1539931904500456,0.16293581409705135,-0.30951739955795715,-0.1269482910988821,-0.45360973660050163,0.17861035451402607,-0.097488353004029,0.13025166485788178
18,vertical_velocity_975_min,-3.6569047258376846,4.307952774815676,-0.613225246717537,-0.24880556458095857,-0.02458549991943104,0.5457350719622774,-0.5554353749367344,-0.10207436359634989,0.784720913817021,-1.299799936810702,0.2504737954442809,0.26232377061958606,0.21879659678255745,0.010202403801878623,-0.05320180079931751,0.28200716457672387,-0.5649396331410212,0.5630579636109602,-0.09573173000196046
19,vertical_velocity_975_min,-3.496682745036638,4.1748300620791365,-0.3783216770298989,-0.7062347393435473,-6.945676290204786e-05,0.3046477061204251,-0.08288426399729691,0.6866877357343905,1.1541989610557726,-0.810848512664807,0.2497324376872194,-0.27374203584928586,0.04916732982426247,-0.0018506474636587147,-0.26541265368031264,0.7124220518609304,-0.3250189489431111,0.10714076141705976,-0.4715312994349499
20,vertical_velocity_975_min,-3.626128457852646,3.926441791343109,-0.7279505197979925,-1.119761343709084,0.028570457634035262,0.3196114461095805,0.46716606923725656,0.34741559537365335,0.20623591589582546,0.5649668989916026,0.1768619618236991,0.01159364010590032,0.12004169695845618,0.39385447001477736,-0.4755713447030529,0.03554752360842689,0.3623948385735013,-0.4162706610920083,-0.41464868726197
21,vertical_velocity_975_min,-3.846414960885399,3.9949521421309155,-1.7406681287581542,-1.1305865240260653,-0.2597768285596674,0.2857772380566933,0.2972066695610094,-0.4277308561488488,-0.7989198776941908,0.7847186031752711,0.21948153664633777,0.4725715499249707,0.2754630290324077,0.7249474993959838,0.05170488239247023,0.022121705954262657,0.03978367557493967,-0.5848933758547653,0.3730843863151376
22,vertical_velocity_975_min,-3.1454414041895244,3.5575506932488556,-1.2250028712982788,-1.6303601018147342,-0.29174691478487463,1.0477610664081336,0.3350679171016041,-0.15029192934807903,-0.8869144119324295,1.1753684648978864,-0.20318082445147823,0.04103227394059865,-0.07106940099799039,-0.004475693988487891,-0.03129899029595316,-0.23676229886794473,-0.06187191724611581,-0.06494976588744826,0.5107455210555313
23,vertical_velocity_975_min,0.31782470968537774,0.2900699323458045,-0.2506415692254138,-2.6605628374411876,0.9694074028421179,2.2043569678153596,1.4543594397721549,1.1692768082100304,-0.5521518323011341,0.49285708837467196,-0.9709860955629176,-0.8602616583630442,-0.24077745100803574,-0.37948257910434224,0.7184240775192074,-0.13754762313020158,-0.05460865962806688,0.6743024383006834,-0.009742158800080973
24,vertical_velocity_975_min,1.9985472328715117,-2.5743845449867955,-2.3783170646474128,-1.497497301189726,1.3880512721038494,0.6152627129642796,0.5400819839591419,-0.34660096869928375,-0.8599819868507773,-0.6868140054864394,0.26145029942941966,-0.2910952624906834,-1.2436103955465259,-0.8662073378202522,0.09368533907131743,0.47012468886893605,-0.22879317748802777,-0.3108362476482074,-0.32457759791156915
