time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9
1,10m_magnitude_of_wind_std,2.613603546315078,4.57261601357542,-3.0877909651953637,2.4229419487915296,2.017911522075253,-1.0146667871377133,-0.5547808287140289,0.6434834556320466,-0.5845781742940119
2,10m_magnitude_of_wind_std,3.3756153031101093,4.704951684884498,-2.8437332654720544,1.7880152335512605,1.4746371440430217,-0.5397210701246536,-0.3899728501315884,0.31352068691459545,-0.11918599408856462
3,10m_magnitude_of_wind_std,4.014101538358987,4.617135324385458,-2.2114924794631863,1.0123650086285474,0.5527872193041624,-0.08758744515967323,0.04880086112066,-0.20006955645930113,0.3562586779345594
4,10m_magnitude_of_wind_std,4.393177402845669,3.9976149718580802,-1.3128534778152134,0.19437216009855726,-0.2892602001459903,0.641832892144247,0.31573809035340566,-0.3517599909089664,0.4436820429678684
5,10m_magnitude_of_wind_std,4.642531306385224,3.230510526864043,-0.545020881446962,-0.5560081936656625,-0.743192665920206,1.0228985778866428,0.46559943653780883,-0.5844164488126258,0.3791729733457086
6,10m_magnitude_of_wind_std,4.661327600757922,2.571774809974817,0.0689054816913659,-1.0878446731686715,-1.1203498339794948,0.9472239657419688,0.2670527162811232,-0.6090235532230017,0.22307195900148102
7,10m_magnitude_of_wind_std,4.5630843466335245,1.8447656952925187,0.6989775091472333,-1.9118927847401452,-1.0868363948900452,0.4036602014445255,0.35113842203920453,-0.19675254767805334,-0.06996247721216652
8,10m_magnitude_of_wind_std,4.558528123278314,0.7892906187192908,1.0903360846927126,-2.0358783885885163,-1.160229046579333,-0.10370357104836658,0.013419988924908291,0.39045885187293583,-0.3026156233042335
9,10m_magnitude_of_wind_std,4.442249902933116,-0.645842376032752,1.4274610609925789,-1.790109203791338,-0.5499460867699795,-0.3001454050830814,-0.005021673085655085,0.3537819116992223,-0.725536435740309
10,10m_magnitude_of_wind_std,3.9827465519898095,-1.833487481788516,2.0572937855305033,-1.3388105417053169,-0.12694743790518193,-0.5519641804368164,-0.5327520912243983,0.436764325913159,-0.6539755970883324
11,10m_magnitude_of_wind_std,3.5694084950692972,-2.690398086077832,2.1216869092301445,-0.7483153994337249,0.3516689024490084,-0.8492713886624789,-0.566390326580127,0.37812664089537384,-0.17153706805762867
12,10m_magnitude_of_wind_std,2.9572293949306605,-3.328671539655073,2.1482373220590625,-0.2645785010174542,0.8995819592433851,-0.7878110411777857,-0.45198023712553315,0.4743643604837986,0.3120822989953876
13,10m_magnitude_of_wind_std,2.5446574927045855,-3.8337299877033932,1.8140736156776658,0.1645623360817964,1.0744536830917493,-0.6799129067527223,-0.16940957378658966,0.17907562046710498,0.5837090807568254
14,10m_magnitude_of_wind_std,2.1480015242281194,-4.2215667081684884,1.40150726780011,0.4479241087909718,1.4052040768694443,-0.27870522766578487,0.03844027780293571,-0.06588439072393384,0.7643138599851451
15,10m_magnitude_of_wind_std,1.6439745007989495,-4.498310230371064,0.6658727960441883,1.081581544566495,1.1792250370806043,0.2617739845317751,0.12408343040849398,-0.4096934717026073,0.4658037428461797
16,10m_magnitude_of_wind_std,1.0256199314597618,-4.4984894857065205,-0.18909258315362346,1.461216014058521,0.663597520143475,0.6981327086327908,0.22548866777334506,-0.7693994076709683,-0.0645033182170201
17,10m_magnitude_of_wind_std,0.7376862947395784,-4.310692394018108,-1.0243111330822698,1.602655208594828,0.14127810625561496,1.1068944827929579,0.26825969917385545,-0.963750450919031,-0.5260267154494723
18,10m_magnitude_of_wind_std,-0.1438228738818301,-3.7015321851577934,-1.7641894600441783,1.5301188397291525,-0.6366770666337979,1.4394789065584301,0.31472257906678835,-0.23007929660926346,-0.6704258815874619
19,10m_magnitude_of_wind_std,-0.8990934778036522,-3.165200741202985,-2.445077875604813,1.3508137525531247,-1.316449896568936,1.2492667019574029,0.015403485724963917,0.5124931522629224,-0.43460045888260174
20,10m_magnitude_of_wind_std,-1.6361104745586394,-2.3273051578364616,-2.7957136857487677,0.7954940796024106,-1.7489261802877787,0.8328571220716126,-0.3399959973871211,1.207923586676433,0.09140084405700129
21,10m_magnitude_of_wind_std,-2.4262006305553907,-1.5534346578462785,-2.811088806141799,0.0643806886043901,-1.5061308853550661,-0.3416512572504389,-0.40458791679860295,0.7459881043783305,0.6661743488061704
22,10m_magnitude_of_wind_std,-2.5487854871698494,-1.040772310633684,-2.830354413496366,-0.728478648004499,-1.2614491275339312,-0.9374860805917578,-0.5496425363734709,0.020425932905414203,0.5792860674661547
23,10m_magnitude_of_wind_std,-2.923634109054166,-0.8252166282551865,-2.7752546199061054,-1.1452184320983478,-0.8428061821027896,-1.386301792134968,-0.3679806193884552,-0.43650328472128735,0.2829101465250732
24,10m_magnitude_of_wind_std,-3.257050975594636,-0.4789436551343808,-2.4079567113226763,-1.4625871123629037,0.0038971898976707118,-1.595368176361981,0.14056219009692947,-0.7051258775137096,-0.02038594977252952
25,10m_magnitude_of_wind_std,-3.598543642143169,-0.1769149080407574,-2.0084489605532307,-1.4059413499057785,0.43322831243669774,-1.2754704297156345,0.3562425376324615,-0.6343069915580527,-0.3639686209043429
26,10m_magnitude_of_wind_std,-3.7012094272509453,-0.1913174456782446,-1.37297697580256,-1.5968646616210393,1.0448283896777364,-0.7582901319896189,0.8098354696576034,-0.30438952703574973,-0.3187122163154922
27,10m_magnitude_of_wind_std,-3.8333909641126365,0.19307009770648775,-0.4451898320994635,-1.5539598386280662,1.4536849611259302,0.06451731216783037,0.8741455751800973,0.18746046429021837,-0.2626309192732145
28,10m_magnitude_of_wind_std,-4.117636927376727,0.8930188276949967,0.12450398473344206,-1.4196755670405947,1.464038522645271,0.9947912389054135,0.6068481516890052,0.6911112384308178,-0.12894041118476293
29,10m_magnitude_of_wind_std,-4.191979436403285,1.4929764077482008,0.7679512445474062,-1.18660036038937,1.1709366300195934,1.7809884181227686,0.16633254839147693,0.5912855989436177,0.2358433949295578
30,10m_magnitude_of_wind_std,-3.947942105528587,2.1770629007863587,1.5219764556358093,-0.8410653053307685,0.7197137084439942,1.7881426599841292,-0.36869787101312934,0.22539729266790012,0.2129636670708185
31,10m_magnitude_of_wind_std,-3.853332011076862,2.484550863421927,2.18452807721858,-0.24781999769853466,0.37196908327566097,1.2156875663021651,-0.8439962988679445,-0.2275644754880699,0.15011621174428225
32,10m_magnitude_of_wind_std,-3.827606846843782,2.317006530782874,2.345600089331374,0.4376940308754631,-0.1959533302406575,0.41841570891476476,-1.2765248140650471,-0.5481437113474158,-0.000820637693546072
33,10m_magnitude_of_wind_std,-3.4421795558889148,1.9878088446478728,2.749911553642279,1.1887880218634734,-0.7214537268928851,-0.37950204867694093,-1.1534059272174009,-0.5194240845301139,-0.1990504344902994
34,10m_magnitude_of_wind_std,-3.0870884604902207,1.8197860327328286,3.1751719227922774,1.4745953675524432,-1.0028975607123483,-0.8910800945632934,-0.32594327517133026,-0.20242724146062566,-0.38082816374754125
35,10m_magnitude_of_wind_std,-2.603664610695713,1.815914835517956,3.331132194110694,2.0991467640027945,-1.0729100664669005,-1.028194176016431,0.7705289976354447,-0.021501724860268065,-0.028461487067786145
36,10m_magnitude_of_wind_std,-1.834271240109688,1.8119709927138803,3.175418771471203,2.2049838512449766,-1.04022627909295,-1.079729237609286,2.128439711439915,0.6285548087891526,0.2799572679390952
