time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12
1,vertical_velocity_50_max,-2.715379997140821,-3.083390885328943,0.20673491237005984,2.441396251520275,1.9391200710730314,1.1645475208015847,1.074102974935944,-0.3251943752785564,0.17935306682694033,0.31138588096821,0.4807199287396526,0.388700932037376
2,vertical_velocity_50_max,-2.762538526274568,-2.9493839894443696,0.26434469336757643,2.2459929537934125,0.9965419979019252,0.31746445718730915,0.9230232962411388,-0.0592916802791029,0.06899768320712917,-0.3217906088018111,-0.2831345559284678,-0.12455257875715242
3,vertical_velocity_50_max,-3.062866114838736,-2.8776742309500998,-0.06632265138726377,1.6571656280126341,0.22667809194971847,-0.567075094876626,0.11698227959672607,0.701450831339052,-0.2077302561976636,-0.22578869852965894,-0.2076746588361144,-0.466560802853066
4,vertical_velocity_50_max,-3.16528657672992,-2.8576498950166527,-0.24814641659222164,0.682434519212397,-0.515599087106711,-0.740002428008944,-0.9278803041485105,0.5251412421532958,-0.45631237081737225,-0.015001075580229459,-0.05833780933541962,-0.48472496991927605
5,vertical_velocity_50_max,-3.3050967107895284,-2.406817550054983,-0.00039150583581831826,0.4551367116354262,-1.0797483782751376,-0.941681523757735,-0.8748807424816849,0.627813664332304,-0.2826633605420576,0.027863473714571277,0.09319665990882259,0.2092864219579205
6,vertical_velocity_50_max,-3.1046435515624657,-2.5119516409788782,-0.15239888704009916,0.23776911229314054,-1.2519015132059095,-0.34216548378992806,-0.8208787594458727,0.1593393161564229,0.28510116280876535,-0.21406192222194334,0.07214229508913304,0.5700482703369301
7,vertical_velocity_50_max,-2.892886928050863,-2.190448063942777,-0.3141666480408689,-0.48332463638897544,-0.9882753655677452,0.04841245616088847,-0.3287743530022447,-0.25473183609090244,0.27873061586115605,-0.07153409566009146,-0.05337312544767334,0.3917598426783918
8,vertical_velocity_50_max,-2.801412714567537,-1.9339722190474071,-0.5356134184898663,-1.132656553948721,-0.6255384471149489,0.6869471294130635,-0.28111846805070484,-0.6409094349022331,0.4222066829565098,0.31001586642847406,-0.2801302271220047,0.24289247593246013
9,vertical_velocity_50_max,-2.849491061514089,-1.622856216504434,-0.47807489540623144,-1.4004570793692217,-0.7322116859741877,0.9119782445856022,-0.11160323312572547,-0.6899659629033947,0.25754423883916455,0.5450872060870023,-0.013751433949308339,-0.1188167672460655
10,vertical_velocity_50_max,-2.8459642825617086,-1.4597329075218946,-0.4526374280087226,-1.58660944514306,-0.06359677465546097,0.6832361280496018,0.07211210647680875,-0.4107317974532888,-0.005520897512110167,0.2375523316927392,0.2125604764145424,-0.5156521225823079
