1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,start_date,storm_index,storm_name
36.43371,37.374065,37.779167,41.429405,41.101875,42.836063,41.12084,41.836235,41.787968,43.360973,40.595066,37.37579,37.642982,40.545937,40.4494,39.70815,41.401825,41.232887,39.54352,38.54283,38.36269,38.118767,37.9912,37.05343,36.81468,35.136517,33.87466,34.242702,33.636772,33.18771,32.446457,30.49248,31.504375,30.583843,29.314232,29.190115,1990-01-23T03:00:00,2,DARIA
34.38192,34.25902,34.405327,32.803482,33.042587,33.23404,33.471474,33.728138,33.615273,36.374195,37.023796,36.241264,35.353394,36.400112,36.35998,37.6851,37.611526,36.70861,36.650925,36.116695,34.98554,32.327778,32.77422,30.690819,29.828028,30.149902,30.414927,30.48181,28.333195,27.24384,25.639484,26.977144,26.91277,26.476358,26.38105,25.570093,1990-01-28T18:00:00,3,C3S_STORM_TRACKS_ERA5
36.33156,37.804653,38.154118,37.15171,37.29885,36.932667,38.038742,39.10302,41.35781,39.24765,36.32905,37.048042,39.720013,39.92735,39.95076,38.74185,36.966946,36.7061,34.980522,33.988148,34.315872,34.85428,33.99149,33.126194,32.366234,32.674732,31.153147,30.016136,29.70095,29.455156,29.14833,28.838161,29.206854,28.527155,28.634169,28.605743,1990-02-01T00:00:00,7,HERTA
28.456928,30.050415,29.1291,31.381384,28.883307,29.34229,31.647243,33.786663,34.17709,30.63982,31.982494,33.902035,34.447968,33.290894,33.13037,37.104053,35.941128,35.648407,32.739086,33.413258,35.242916,29.037735,35.005554,30.147892,28.215212,31.314095,28.986637,28.125378,27.958895,27.547634,24.684465,23.389692,22.042173,18.775162,17.031216,16.649624,1990-02-22T15:00:00,6,WIEBKE
31.834517,32.668045,33.921265,33.77412,34.889393,34.82084,35.076668,34.359344,35.745495,36.4787,38.283703,37.57725,36.37754,33.942165,32.94561,33.532505,33.187225,32.00423,32.02513,30.665737,28.815588,30.588821,28.860733,27.92939,27.542305,27.141006,25.749842,24.908789,25.096897,24.867823,23.559425,22.485954,21.747734,21.812109,22.69162,22.344666,1990-02-23T18:00:00,5,VIVIAN
47.54087,45.925858,45.652687,45.65656,46.16575,47.05103,46.865303,47.771477,47.87053,47.70957,46.926437,45.189156,43.132275,36.714,35.67395,34.584377,34.041138,33.35706,33.209255,31.954851,31.328035,30.523237,31.862762,31.521498,30.975163,33.956017,30.175007,29.19996,29.503307,29.600813,29.067633,28.581657,27.952522,27.613577,27.03474,26.739906,1991-01-03T00:00:00,8,C3S_STORM_TRACKS_ERA5
44.98543,45.597607,43.60115,44.400833,44.575478,44.54331,44.977158,45.34391,44.961533,45.346672,45.798904,44.578236,42.607513,41.185547,40.41619,35.98115,35.95909,35.363464,35.616238,35.295444,34.533443,34.185993,33.860603,33.469032,34.016865,33.35138,33.10136,32.80171,31.83841,30.781353,30.10116,29.554249,29.481634,29.414534,29.25,28.484324,1991-12-18T18:00:00,9,C3S_STORM_TRACKS_ERA5
47.288895,49.2704,50.552708,51.136322,52.342182,53.709152,52.480278,51.593346,51.307297,50.774643,53.24144,53.899857,51.30236,52.38328,48.565956,46.63099,41.838783,35.25381,30.734505,30.512568,28.4206,28.825842,27.430101,27.236113,26.262053,22.84668,20.899384,19.790518,19.05237,18.079132,16.88478,16.609413,16.43515,18.06927,18.953732,19.345821,1991-12-30T21:00:00,10,C3S_STORM_TRACKS_ERA5
33.839397,34.50875,34.883465,35.19288,35.976513,42.932053,22.868505,21.424068,21.058681,20.643543,20.192642,20.363672,19.896446,19.084824,18.595053,17.756998,17.30221,17.372955,16.67017,17.020008,16.59243,16.540342,16.712929,16.869967,16.958656,17.099224,17.084654,17.511505,17.671787,17.997496,17.749786,17.845783,18.510916,19.055193,18.905195,18.80491,1992-02-24T06:00:00,11,C3S_STORM_TRACKS_ERA5
34.34683,34.34055,34.523575,34.91385,35.549057,35.57238,37.572205,39.10818,41.11787,43.370697,41.756664,40.98419,40.36962,41.336784,41.540443,42.34522,40.671074,39.106384,40.610065,40.259266,39.297485,39.566643,38.080906,37.861095,38.03784,39.24545,39.389,39.383614,37.755226,40.671074,39.316326,39.97396,40.82808,38.40479,36.711803,37.64577,1993-01-12T00:00:00,17,C3S_STORM_TRACKS_ERA5
