variables
10m_u_component_of_wind
10m_v_component_of_wind
2m_dewpoint_temperature
2m_temperature
convective_available_potential_energy
convective_precipitation
convective_rain_rate
convective_snowfall
geopotential_500
geopotential_1000
high_cloud_cover
instantaneous_10m_wind_gust
k_index
large_scale_precipitation
large_scale_snowfall
mean_large_scale_precipitation_rate
mean_top_net_long_wave_radiation_flux
mean_top_net_short_wave_radiation_flux
mean_total_precipitation_rate
mean_sea_level_pressure
mean_surface_latent_heat_flux
mean_surface_net_long_wave_radiation_flux
mean_surface_net_short_wave_radiation_flux
mean_vertically_integrated_moisture_divergence
relative_humidity_10
relative_humidity_20
relative_humidity_30
relative_humidity_50
relative_humidity_70
relative_humidity_100
relative_humidity_150
relative_humidity_200
relative_humidity_250
relative_humidity_300
relative_humidity_400
relative_humidity_500
relative_humidity_600
relative_humidity_700
relative_humidity_800
relative_humidity_850
relative_humidity_900
relative_humidity_925
relative_humidity_950
relative_humidity_975
relative_humidity_1000
specific_rain_water_content_400
specific_rain_water_content_500
specific_rain_water_content_600
specific_rain_water_content_700
specific_rain_water_content_800
specific_rain_water_content_850
specific_rain_water_content_900
specific_rain_water_content_925
specific_rain_water_content_950
specific_rain_water_content_975
specific_rain_water_content_1000
surface_pressure
total_precipitation
total_totals_index
vertical_velocity_10
vertical_velocity_20
vertical_velocity_30
vertical_velocity_50
vertical_velocity_70
vertical_velocity_100
vertical_velocity_150
vertical_velocity_200
vertical_velocity_250
vertical_velocity_300
vertical_velocity_400
vertical_velocity_500
vertical_velocity_600
vertical_velocity_700
vertical_velocity_800
vertical_velocity_850
vertical_velocity_900
vertical_velocity_925
vertical_velocity_950
vertical_velocity_975
vertical_velocity_1000
