0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
3.4763985,3.4582977,1.6275768,1.9938927,2.1714497,1.8163376,2.1352482,2.442093,2.3645191,2.7463512,2.5929298,6.9818363,9.285753,8.914265,7.766184,6.9680443,7.458479,4.419342,5.068369,4.2779865,3.89357,3.2928104,4.0995693,3.4988098,2.8713303,2.5067368,2.6868782,3.6005154,3.5496616,3.8659878,4.0297527,3.3462486,3.171278,3.2859135,2.7722092,2.757557
1.0121651,1.8206463,1.3569336,0.971653,0.4295044,0.7441063,0.6691189,0.72600555,0.68894386,0.94924355,2.1576576,3.6720543,2.829958,2.3619347,1.4767399,3.624649,2.8334045,1.8042698,3.7737617,3.204893,2.4507122,2.036127,4.3228054,8.693613,9.196976,9.49951,9.59432,9.577944,7.6067295,6.8775425,5.5260487,4.733944,4.024582,3.5884495,3.0187187,2.6937733
3.7289429,1.9861355,3.473814,4.123703,5.2898827,6.2000713,8.357462,8.098024,8.484165,6.4448586,8.39625,6.6680965,7.2860947,10.824284,10.470034,10.370913,10.780325,11.87669,2.896326,9.521919,5.6312046,5.555355,3.9185658,4.4365807,4.2633343,2.9885502,2.115425,2.4369621,2.3115559,2.7412796,3.45191,3.1609688,2.516386,2.681921,2.6250706,3.7503757
11.290588,10.510567,9.858459,9.272396,9.625204,10.843309,11.720312,13.268652,13.028709,11.915109,10.968716,10.023994,9.277412,9.312527,9.248987,9.53742,8.547554,8.3335285,6.0728855,5.052084,4.8505993,3.7612438,2.5122051,2.509697,2.3650627,3.3482418,3.1108074,3.78298,2.077467,2.8750458,3.7094097,2.748804,2.6116943,2.3190804,2.2363129,2.6133652
3.974434,5.071314,4.4083366,2.6961327,1.206316,1.769804,2.2363129,2.3575382,2.8273907,2.9151745,3.6642628,3.0698414,1.4345531,1.9077511,3.1350517,4.298815,4.8313713,2.2463455,2.9912548,5.251898,4.5245457,5.486824,5.7928123,4.619854,3.211132,2.1627426,2.2563782,2.46706,2.25387,2.690281,2.3090477,2.3015232,2.7889328,2.7713757,2.531435,2.8298988
1.9319954,1.6326942,1.5515995,1.739708,1.769804,1.7815094,2.449503,2.1167603,1.3576393,2.15271,2.7471313,3.2955723,4.0011864,5.378975,6.5527706,6.6731586,5.4709377,3.966072,4.251997,5.5570507,5.4249573,4.2227364,3.7821445,4.445957,5.1908665,4.9308586,3.929287,5.3764668,7.5334415,7.4949837,7.2884827,6.9916897,6.60544,6.265173,5.3204517,4.21772
2.8549805,4.0463314,3.6358376,2.9193554,2.531435,2.400177,2.5289268,3.9526958,3.6935253,2.1042194,2.2756062,3.5363503,3.946844,4.187622,3.2830315,2.9912548,2.36339,1.8483925,1.9219627,2.206215,2.0147629,1.9888458,1.5215015,1.6243343,1.7823448,1.9403553,1.8835049,2.1109085,1.957077,2.114252,1.6627922,1.8475571,1.9495525,1.8876858,1.5950737,1.5674839
4.945322,4.5460186,5.3392105,5.4831448,4.752634,3.6916924,3.638298,4.227194,5.2293243,4.7162647,3.4649563,3.464182,3.0788078,3.8178291,4.1598682,5.2858143,5.128723,5.1581306,4.9236546,3.7481842,2.6431313,5.257181,8.101837,7.2939434,7.257572,2.8698692,5.538862,7.3852577,5.714525,4.072424,3.7048473,3.0857716,2.7197418,4.119629,5.381771,3.9462872
3.5489483,3.1571312,3.0521793,3.590929,2.5110989,4.1382294,4.7609406,5.0174866,4.669983,5.7801323,5.2514896,3.4634323,4.453861,3.76507,3.2496433,2.521206,3.0716152,3.6228027,2.833727,2.3843803,2.3183002,4.877552,4.850342,4.3730087,2.4286919,2.8220654,3.9283276,2.4745598,4.5798016,2.432579,4.0099564,6.865404,2.557743,6.3530865,3.6554546,5.261595
3.3200188,4.400898,4.8406315,6.6083946,5.9415703,6.7127094,5.6422634,5.814787,6.392538,6.1823006,5.964039,5.401533,3.6538315,3.5479107,2.7053547,3.06003,2.21587,2.7687473,3.708397,4.294977,4.281336,4.168192,4.4955845,5.0259933,5.210554,5.205738,5.547575,5.060499,6.125328,3.32724,4.636814,2.9324436,3.7437038,4.051838,2.490303,2.1372318
