1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,start_date,storm_index,storm_name
2.3740005,4.627926,5.942358,11.156984,10.349365,7.792904,5.797554,7.9670124,7.4946785,6.774975,8.092854,6.8309994,6.762045,6.861166,4.5856934,3.6212025,3.2712612,3.8832264,5.0606117,4.6330986,6.3121223,6.853409,3.775486,3.0032043,3.8642635,4.7554913,3.4445076,4.169384,3.88064,2.3464184,3.6910172,3.2859135,2.40934,1.9740696,1.1474857,1.5181122,1990-01-23T03:00:00,2,DARIA
5.226816,5.005266,6.1606693,6.867956,7.93223,8.924606,7.5635376,4.7711754,5.413252,2.7237225,5.134016,5.570427,7.0945225,6.0235596,6.959919,3.4786644,3.2579498,4.4166965,4.4384327,2.1159248,2.0030594,2.0348282,2.8198662,3.0422516,2.681921,2.1401691,2.884241,3.473648,3.9409924,3.0180073,2.1017113,2.3826199,2.1175957,2.0247955,2.1284637,2.4311104,1990-01-28T18:00:00,3,C3S_STORM_TRACKS_ERA5
2.4118805,2.2889843,2.2563782,1.8007374,3.9819584,3.9175835,2.79813,2.3993397,5.559559,6.424856,6.5460815,6.1849136,6.6255054,5.011118,4.462679,2.5723991,2.378439,2.658512,3.3524227,4.0789375,3.8080616,2.6835918,2.748804,2.4570274,2.4469948,2.1209393,2.2162476,2.2446728,2.7237225,2.6718884,2.987074,2.4954853,2.1159248,1.0014877,1.7271671,2.9419289,1990-02-01T00:00:00,7,HERTA
1.6051064,2.4336185,2.002222,2.279787,2.329113,3.2027721,2.2521973,2.0908432,3.0857258,2.9469452,3.0673332,4.2469807,3.8331432,3.4552536,3.2144756,2.5790882,1.5156498,2.1128998,1.2771912,1.4065857,1.2590599,0.7810402,1.7972431,1.4271889,1.5714188,2.203558,2.3362503,2.2373505,2.084879,2.1417465,2.3378983,2.225811,1.6480675,0.88982964,1.1576862,1.3480701,1990-02-22T15:00:00,6,WIEBKE
2.0156002,2.1000385,2.167759,1.860096,2.208723,2.494648,2.047369,1.6377106,1.4186687,1.2849045,1.0056667,1.2012997,1.3166733,1.262331,1.6736603,1.9662743,1.5816975,1.886013,2.4010124,2.137661,2.6225624,2.423586,0.890295,1.4445858,1.7346916,1.1561546,1.5014362,1.4320469,2.1811352,1.2899189,0.74482346,0.35105133,0.32429695,0.4923401,0.6001892,1.0884342,1990-02-23T18:00:00,5,VIVIAN
4.125046,5.2711105,6.033348,6.592066,6.58897,5.829054,3.7613392,3.1530952,3.4726944,2.5874157,2.8102818,2.2925797,2.4210377,2.5309238,2.3312721,0.8323326,1.9188118,2.1772766,2.1734085,1.9366112,2.491459,2.503065,2.8915367,4.0639114,2.567295,2.281746,2.1888847,1.6069527,1.5690346,1.81357,1.685112,1.4506359,1.2215786,1.4343853,1.2223511,1.1055012,1991-01-03T00:00:00,8,C3S_STORM_TRACKS_ERA5
6.518694,5.991085,3.2133236,4.6500015,3.3530388,3.4366856,3.3631496,5.276882,2.7583313,4.7125053,4.2354507,2.6213722,1.6736984,2.0597534,3.0717697,3.2629604,2.9614697,2.5800095,3.009266,3.335575,3.262041,2.5230198,2.8686314,4.170191,3.5065422,4.034151,4.127907,5.0048046,3.9624557,3.7381763,2.5073948,2.4356976,2.8631172,1.9751892,1.8915443,2.0386124,1991-12-18T18:00:00,9,C3S_STORM_TRACKS_ERA5
2.307932,1.411623,2.2763577,2.964363,2.7637978,3.7814217,3.5808563,3.0712223,4.7743874,3.0712223,2.9446354,3.878418,6.0723114,5.209221,4.239271,3.9047203,3.1304054,2.1966248,1.8439903,1.5184822,1.6302719,1.0088463,0.79595184,1.0828266,0.901989,1.2529793,1.3359985,0.97021294,0.6545696,0.6110039,0.7227936,1.0030937,0.8913021,0.7104645,0.67183113,1.0162449,1991-12-30T21:00:00,10,C3S_STORM_TRACKS_ERA5
6.328987,10.425968,5.5834465,13.74942,8.012869,8.257755,3.2791862,2.1045113,3.3328266,2.9137993,2.8422775,2.5888405,2.0695267,2.5857315,3.4206753,2.7015648,3.074726,3.6165848,2.8897,2.6253796,2.4745598,2.469118,2.406147,2.3657227,2.158615,1.7711926,1.4754848,1.0469189,1.3092003,1.4437695,1.4626274,1.4274845,1.5663395,1.6023388,1.913477,2.2511864,1992-02-24T06:00:00,11,C3S_STORM_TRACKS_ERA5
8.166128,7.486063,5.9859734,5.605568,6.1681023,6.540432,6.057749,4.1593094,3.1598473,4.9981747,4.016657,5.2718163,6.0532627,7.1352654,5.8917694,5.0232964,3.7806969,3.6613712,3.7735195,3.3814507,3.8784904,3.0450077,3.8533688,3.862341,3.5411491,6.1259346,7.7614994,8.198427,9.561249,5.539177,4.565733,2.6161537,2.0823288,1.9280148,0.94021606,2.085022,1993-01-12T00:00:00,17,C3S_STORM_TRACKS_ERA5
2.9696445,2.8969727,2.9202976,2.5040054,2.5919304,3.3195457,2.9005604,2.9857922,2.5847511,2.9400368,2.8924866,2.3461018,2.4663239,3.1768932,4.030113,3.6443253,2.861084,2.844038,2.0302925,1.6723175,1.6346359,1.7198677,1.160923,1.5251789,1.6229725,1.8077908,2.035675,1.7701092,0.63427544,0.7114334,0.48444557,1.1564369,2.2384396,2.6762638,2.7121525,1.8921261,1993-01-14T03:00:00,16,C3S_STORM_TRACKS_ERA5
7.0071087,7.400256,7.976465,8.121025,8.209517,7.8501453,4.526636,4.6738987,3.2465458,3.2458706,3.4910812,3.718052,3.3917809,3.0533504,5.5466576,7.063176,6.7173157,4.406397,3.1722393,2.4420147,2.1610012,1.3213425,0.89914894,1.3949738,1.6327534,1.8205452,1.7692051,1.7874451,2.0630531,2.1650543,2.3244743,1.9880714,2.7196484,2.6075134,3.0783443,2.2805672,1993-12-03T00:00:00,19,C3S_STORM_TRACKS_ERA5
9.221546,8.123358,7.788536,9.059048,8.916956,7.729582,6.691103,3.2710743,3.674677,6.5187798,13.374707,12.730003,9.493637,7.901907,6.101574,3.2997952,4.277811,3.1425877,3.079855,1.7307396,1.5856247,1.4057426,1.980156,1.2553368,3.5235138,2.7805557,3.7729301,1.8002739,1.618124,1.107954,1.5992298,1.8305054,1.7927151,2.7926483,1.9189358,2.3013744,1994-01-21T12:00:00,20,C3S_STORM_TRACKS_ERA5
9.942586,6.045643,3.8190346,3.886303,4.610365,4.8817005,2.9196243,3.783512,1.8244591,3.9732208,4.571064,4.2891483,2.9438095,2.326315,5.3253593,6.867962,5.6768093,4.6096096,3.9633942,2.8160782,1.6196365,1.8131218,1.8811455,1.8524246,2.242422,0.5335407,1.0746994,1.15028,1.0527802,1.2659187,1.4465561,1.3830681,1.086792,0.4111004,1.06563,1.1941166,1994-01-23T06:00:00,21,LORE
5.279354,6.3193016,4.1369915,1.5623493,3.7032413,4.746954,3.1286716,2.2340603,2.0442944,4.9322014,6.318548,4.0616875,3.0601444,3.5383244,2.6120853,3.919363,5.109167,4.880995,4.3124504,4.067713,6.1092033,4.1046104,3.0895138,1.6768112,3.7461643,6.2884274,1.7573853,1.6632557,1.4117413,1.2995377,0.7490654,0.9147339,1.1127834,1.5390034,1.1715202,1.1662502,1994-12-07T18:00:00,22,C3S_STORM_TRACKS_ERA5
3.020172,3.6131153,3.9627075,3.8665142,3.682747,5.2110424,6.541214,6.104763,4.9863567,2.4466133,4.059616,4.778181,4.126375,3.7631454,1.8622856,1.9785767,1.8795128,1.7431221,2.8579388,1.7273293,2.0482082,1.5643787,1.7668114,1.1817665,1.0044575,2.3863144,3.533434,4.9253407,5.071781,5.7759895,5.998522,6.277046,4.346754,2.7516975,2.196085,2.069025,1996-10-12T00:00:00,27,C3S_STORM_TRACKS_ERA5
7.4885235,5.8487625,4.6907387,8.669708,7.649721,7.5941353,7.3338127,8.124975,7.784052,4.2543945,5.8228226,2.456215,5.9756813,5.061306,4.436899,3.6253567,1.8410721,2.1977444,1.8132801,1.5548096,1.5946445,1.0545425,0.9952526,0.6219044,0.74048615,0.8720379,0.9535637,0.76457405,0.7321491,1.0378666,1.2842941,2.1940384,1.9994907,2.0050488,1.7530632,1.6057625,1996-11-05T12:00:00,28,C3S_STORM_TRACKS_ERA5
6.1336517,7.6118355,3.8665123,7.9383564,7.7067356,8.068642,7.303814,8.438591,6.736025,7.5619736,6.8840027,5.9695873,5.6535244,3.6855602,2.6698112,2.927971,4.3812237,2.8941917,3.5102367,3.5737705,4.618473,4.9996796,4.713373,4.9546432,3.182108,5.224062,6.0628796,4.76404,4.6739655,4.5661983,4.8669815,5.1227283,5.6165295,5.487047,5.52565,6.068508,1997-02-15T03:00:00,29,C3S_STORM_TRACKS_ERA5
4.8420506,3.9589996,3.133051,3.2560978,3.1378765,4.0434437,3.264141,2.855589,2.4341698,2.0014915,1.0211277,1.6918602,2.1824436,1.8004322,1.8559246,2.6207523,4.0185127,5.7950687,6.5470295,2.1237354,5.4363804,3.2609234,3.3397388,2.2821693,1.8285809,1.7248344,1.754591,1.6894474,2.1148891,1.923481,1.7722836,1.5334263,2.0151634,2.4607105,3.2625313,2.2178307,1997-02-22T09:00:00,30,C3S_STORM_TRACKS_ERA5
2.6556149,2.2899323,2.7761955,6.3668194,2.512968,2.3947525,2.3104248,4.074211,2.4365215,2.3521938,3.061491,5.0727444,3.8866425,2.1559544,2.997654,2.9322414,2.0385265,2.432581,2.360075,2.7446728,2.8699818,2.3498287,1.5979729,1.3008575,0.9580288,1.0943718,1.4064636,1.0801868,0.69716454,0.47649574,0.4236908,1.7343159,1.873024,1.6405315,0.90916634,1.1731834,1997-12-31T00:00:00,32,FANNY
6.9081936,5.739004,7.2138634,7.58296,6.1554794,4.484228,4.8686085,5.7053814,3.078146,6.6223907,7.556978,4.295477,2.152729,1.513113,1.963213,3.5045547,4.967188,4.802126,4.213711,2.5860157,2.5157127,5.3072453,4.314581,4.2022476,3.4999695,3.832386,3.0536919,2.590601,2.2788181,2.3200836,2.190937,2.2322025,2.0755463,1.9739113,2.8007488,2.6502075,1998-10-27T12:00:00,36,XYLIA
7.655655,6.28253,5.0049763,3.6710606,2.872181,2.4335327,1.9597588,1.6387367,1.833147,1.8641872,2.1394672,2.4016762,4.30657,3.840149,1.2213268,1.3471222,0.8308735,1.4467773,0.83740807,2.462122,2.4098434,3.2217922,3.5640526,4.1954784,3.7649975,4.212633,3.9896317,3.6130638,2.4327164,1.4369755,1.9940681,0.87498283,1.2286777,0.83904076,1.7204227,1.6795807,1998-12-24T00:00:00,34,STEPHEN
2.4780178,2.9773197,1.9264812,0.98856163,1.215168,2.2752247,2.9565792,2.5932407,2.272152,2.4242458,3.700924,5.0352116,6.1828384,5.1043453,5.6881447,5.202669,1.9933109,2.6032276,3.0218716,3.5434513,2.629345,1.9249439,2.9343033,1.7421227,3.0787163,2.0340233,3.108675,3.6448479,3.1225014,2.8966637,4.7632847,4.413004,2.4880028,4.6849327,4.3669147,2.685419,1999-12-02T00:00:00,37,ANATOL
8.03088,7.0611134,7.118204,5.3968678,1.2870922,2.2928333,3.5425816,4.1346073,4.408333,3.3603592,3.968027,4.880703,4.253483,4.19952,3.1304302,5.035551,4.80797,4.508436,4.5358086,2.4750557,1.4794807,3.5973263,2.9708881,3.7521763,3.0475311,3.7388802,4.9252796,4.509218,4.123659,4.95187,5.0754375,4.9768963,4.7563534,4.195608,3.038927,2.805872,1999-12-26T03:00:00,40,MARTIN
2.350504,2.1661453,2.2729187,1.8857689,0.882555,1.3303909,1.8327656,2.3059502,3.032627,3.4428215,2.6992474,5.313284,4.3062305,2.3474312,2.6639118,2.2007122,2.1576958,2.088562,2.2030163,2.27676,2.0048332,1.7482681,2.0685902,2.0194283,1.6307392,2.5855598,2.8882122,2.6869564,2.4511318,2.1991768,2.404274,1.8542728,1.8250847,2.0816479,1.2359066,1.5062981,1999-12-31T06:00:00,39,C3S_STORM_TRACKS_ERA5
1.5537529,1.3172703,1.4884186,1.903862,3.343359,2.8050556,2.1346645,2.5508194,2.3200169,1.6886845,2.2873497,2.159521,1.7597008,2.3945847,2.9563198,2.9371471,1.913805,0.8322315,1.0772362,0.92952347,1.1922817,1.6624088,1.912384,1.6297417,1.3762131,1.2086163,1.926588,1.251936,2.122593,2.1318245,3.5081158,3.5990162,4.308466,5.0910625,4.63727,3.8085136,2000-10-29T18:00:00,42,ORATIA-TORA
5.1716003,2.3940601,2.2796593,2.6174164,1.2181396,2.032957,0.8453617,1.2095795,1.4313774,1.6119289,1.5846901,1.9208908,2.7100258,4.5100956,6.027666,7.4884224,6.74209,3.6322422,4.008909,4.76536,7.062725,6.7311954,6.7942314,5.3031235,4.9505806,5.206621,7.0253696,7.926573,6.0377827,4.504648,2.3084545,2.555935,1.7239952,2.4010658,2.797968,1.9901543,2000-11-24T21:00:00,41,C3S_STORM_TRACKS_ERA5
5.638214,5.251873,6.5121155,4.3795166,3.8000069,6.440256,6.239359,4.386471,4.630638,2.7947483,3.543476,6.978815,5.5114937,4.5634136,2.5420818,3.6663322,3.6678772,4.670044,5.725527,3.966133,3.1362743,2.878971,2.2198734,1.6936779,1.3328362,1.8474426,1.770174,2.0413857,1.5970936,1.5468693,1.7531757,2.1402874,2.3396397,1.8443508,1.8567142,1.9355278,2001-12-25T18:00:00,43,C3S_STORM_TRACKS_ERA5
2.1361675,3.6286373,1.8816128,1.3481827,1.481945,3.3651657,3.5037918,3.2638302,2.4953003,4.305559,3.0895329,3.0246773,5.179476,7.894457,8.051731,6.0979805,6.2925453,5.5596867,4.8876305,4.4814777,3.4810925,3.2014065,2.9898186,2.7806606,2.536646,2.3299217,1.3441296,1.1455116,1.8605347,1.8354034,2.709322,2.3453236,2.7409382,3.3359795,2.7174282,2.213993,2002-01-25T15:00:00,44,C3S_STORM_TRACKS_ERA5
6.7202034,5.279131,4.0411987,1.7532005,1.117815,1.2025833,1.3415737,1.1873112,1.4370346,0.79935837,1.1514168,0.9780617,0.7298641,0.38009644,0.6954975,3.3897762,3.3386097,5.365427,4.093893,3.644083,2.9407291,2.3137455,3.217947,3.1011028,2.0701294,1.3919773,1.3713589,1.0742855,1.0246449,0.32969284,0.52290535,2.089985,2.0433998,2.8093758,2.8124313,2.9193459,2002-02-21T09:00:00,45,C3S_STORM_TRACKS_ERA5
4.8526134,5.416788,5.708786,5.842205,7.467636,7.3669987,5.663042,4.1420593,4.2762413,6.3042183,4.508774,3.2698784,3.9964428,3.7776337,6.599266,6.286682,7.117695,7.1001606,6.044241,5.955803,5.704212,4.7169075,4.463791,5.2909927,4.7123337,3.9728088,3.5771236,2.4449635,3.637354,4.507248,5.442709,4.7672253,4.6498165,4.366968,4.125288,3.8660717,2002-10-23T12:00:00,46,JEANETTE
1.5312004,1.4751759,2.0388737,1.6777267,2.8706303,2.2000542,2.5844727,3.1007652,4.888397,7.172497,4.309183,7.627594,7.727577,8.211979,5.931326,5.543459,4.8952923,3.5093174,2.6284294,3.6670494,3.8540878,2.8275356,2.7197933,1.9285469,1.4812088,1.3932915,3.2619457,2.9913006,1.8113251,1.0071507,0.87441254,0.6373844,1.3131332,1.6096344,1.7527142,2.231083,2005-01-05T18:00:00,47,ERWIN
8.648975,5.2909164,3.2145386,1.4949989,1.3700199,3.1964378,6.444172,6.377802,5.0737114,3.8325386,2.6637688,3.3326225,4.0635357,4.5617275,4.604824,4.701359,3.3739948,2.8870068,3.5972328,4.6022377,3.4515686,4.197134,3.0016441,3.6213684,1.7234097,3.4920788,3.7308311,4.0092335,3.4644966,3.4558773,3.6567059,3.7394505,2.1940193,2.474146,2.2534924,2.448288,2005-01-07T00:00:00,48,GERO
2.4924908,3.1913166,3.426609,2.9727688,2.7233772,2.3664722,2.4554787,2.2113743,2.4360905,2.3400364,4.2426395,6.461609,3.1252232,3.7747002,3.3384838,1.473774,1.7566528,2.5647526,1.8333206,0.9053726,2.378811,2.233406,1.6306343,1.03932,0.7943344,1.8518276,2.351492,3.2759151,3.636345,4.3166637,3.9227486,1.2217388,1.446455,2.1347065,1.9981136,1.939951,2005-11-02T00:00:00,49,C3S_STORM_TRACKS_ERA5
