0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
4.8168235,4.7971005,4.800324,4.7755547,4.441721,4.3331776,4.0600376,3.872411,3.7119162,3.3646197,3.725424,3.8191738,3.6865277,3.5600052,3.8237326,4.036964,4.229038,4.6728992,4.937243,5.071316,6.1843767,6.893425,7.1615148,7.974798,8.62073,9.007557,9.152756,9.036558,8.992711,8.909646,8.7148905,8.404924,8.222867,8.26129,7.922217,7.7659764
5.1029706,5.056998,5.1084394,5.0059824,5.272324,5.2099743,5.619887,5.5924983,5.7873096,5.690183,5.7499676,5.6088653,5.7285104,5.6980314,5.894083,6.1845937,6.0320334,5.902221,5.851722,5.880425,5.933635,6.0711403,6.1988316,6.032585,6.085881,6.134421,6.157245,6.31298,7.1106296,7.275449,7.374529,7.566184,7.951743,7.9928513,8.113492,8.294275
5.1132402,5.081371,5.1381063,5.420941,5.506297,5.5779567,5.593957,5.4085965,5.133668,4.8814325,4.282877,3.510696,3.2045648,3.0489233,3.4646232,4.03383,4.7151103,4.827589,5.064332,5.4957094,5.963357,6.705938,6.9769106,7.380781,7.843055,8.231061,8.350826,8.267974,7.9984145,7.6656466,7.4791102,7.5130677,7.437688,7.2377744,6.4029713,6.340982
3.4195268,3.6109285,3.8425426,4.019239,3.9882164,3.8359182,3.435897,3.4097931,3.5545127,3.7793534,3.967653,4.0546036,4.153469,4.1593766,4.116829,4.013652,3.8979795,3.8452492,3.846284,4.787048,4.940959,5.080194,5.498696,5.5403767,5.4045806,5.3907766,5.4794526,5.738165,6.2050033,6.597886,6.6572795,6.768602,7.224095,7.379225,7.5095534,7.9993014
7.2516146,7.5663157,7.700492,7.958116,8.231276,8.458768,7.957812,7.61617,7.4379873,7.0184727,7.211592,7.0025773,7.051359,7.2788477,6.6593957,6.805493,7.309602,7.146162,7.0476522,7.423074,8.011371,7.9657125,8.291503,8.453752,8.797178,9.065504,9.010549,8.97138,9.136354,9.490349,9.742579,10.191805,10.401931,11.08457,10.682571,10.372459
4.1513505,4.530827,4.273105,4.037939,3.674275,3.4108317,3.3140962,3.4434986,3.675897,3.924283,4.0409403,3.9574132,3.8661804,3.8747973,3.6728532,3.6972725,3.700172,3.9484658,4.312436,4.3809423,4.619595,4.8183103,5.010815,4.8871913,4.864341,4.8933935,4.922255,4.650329,4.860882,4.9808273,4.951635,4.8997607,4.916911,4.9016056,4.9311004,5.112084
2.7496085,2.8764067,2.900761,2.8844855,2.8781033,2.8725393,2.9621189,2.945165,3.0241728,3.8459437,4.1416764,4.2724395,4.245339,4.303318,4.4223204,4.4509892,4.57659,4.708139,4.928335,4.9806767,5.1886973,5.122763,5.2555056,5.4733806,5.6096034,5.8825316,6.193007,6.43875,6.7011194,6.7309747,6.71062,6.770994,6.707554,6.820431,6.7533464,6.6133523
4.8030934,4.9764113,5.1426296,5.3856716,5.386051,5.424349,5.5160527,5.502482,5.4103007,5.48012,5.6104107,5.4463253,5.6965985,5.663136,5.3523617,5.4552693,5.7170672,5.6267548,5.66396,5.895967,5.765847,5.5569086,5.5455627,5.486613,6.459643,7.532746,7.491217,8.560973,9.473324,10.235038,10.690857,11.528221,11.185218,11.310843,11.183308,10.87612
5.2041936,5.2663655,5.356641,5.3389225,5.1742797,5.0529695,5.0554385,4.767104,4.6634893,4.857771,4.926993,5.1008205,5.2114444,5.267506,5.2659907,5.0670524,4.9323635,4.6265745,4.570418,4.251992,3.992832,4.364705,4.8739696,5.30124,5.576499,5.751813,5.918958,5.954782,5.6322827,5.3633385,5.7644625,5.8798947,5.8515673,5.8616443,5.793182,5.593503
4.3394065,4.408901,4.2042723,3.960043,3.848592,3.8523085,3.9006407,4.0606437,4.2135825,4.220088,4.369883,4.3739853,4.6900554,4.7876406,5.150863,5.0102286,5.260443,5.212402,5.1069655,5.022906,5.1990676,5.187262,4.926136,4.72695,4.3555346,4.2611756,4.17785,4.5026956,4.4334455,5.4083447,5.630521,5.4017515,5.8819036,6.0072737,6.328639,6.290483
