,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
13,14,-0.014811516,-0.017421722,-0.016377449,-0.013245106,-0.005936146,-0.017421722,-0.014811516,-0.020554066,-0.012201309,-0.0048923492,-0.0007157326,-0.010112762,-0.017421722,-0.016899586,-0.016899586,-0.013767242,-0.014289379,-0.014811516,-0.008546829,-0.0038480759,-0.01794386,-0.016377449,-0.013245106,-0.010634899,-0.010634899,-0.009068966,-0.0038480759,-0.0048923492,-0.0043702126,-0.009068966,-0.012201309,-0.014811516,-0.01794386,-0.014811516,-0.009590626,-0.009590626
14,15,-0.030995369,-0.025252819,-0.024208546,-0.022120476,-0.035171986,-0.063363075,-0.07328224,-0.03882599,-0.022120476,-0.025252819,-0.023164272,-0.020554066,-0.02159834,-0.021076202,-0.017421722,-0.017421722,-0.022642136,-0.018987656,-0.025774479,-0.025774479,-0.026818752,-0.027863026,-0.032039165,-0.023164272,-0.017421722,-0.019509792,-0.025252819,-0.029428959,-0.030473232,-0.048223495,-0.041436672,-0.0403924,-0.022642136,-0.019509792,-0.025774479,-0.036215782
15,16,-0.06440735,-0.057620525,-0.06440735,-0.060230732,-0.052399635,-0.043002605,-0.039348125,-0.03308344,-0.030995369,-0.024208546,-0.014289379,-0.01794386,-0.028906822,-0.032039165,-0.022642136,-0.030995369,-0.028385162,-0.027340889,-0.032039165,-0.033605576,-0.031517506,-0.025252819,-0.02159834,-0.023164272,-0.020554066,-0.021076202,-0.022120476,-0.022642136,-0.02159834,-0.022120476,-0.0153336525,-0.02159834,-0.030473232,-0.031517506,-0.039348125,-0.03830433
16,17,-0.049267292,-0.047179222,-0.050833702,-0.046657085,-0.039870262,-0.03830433,-0.049267292,-0.078502655,-0.08685589,-0.09781885,-0.10930443,-0.09938526,-0.09573078,-0.09573078,-0.09364271,-0.09729719,-0.095208645,-0.080069065,-0.06649542,-0.06806135,-0.05709839,-0.04978943,-0.056054115,-0.06440735,-0.06806135,-0.083723545,-0.098863125,-0.104605675,-0.09938526,-0.06858349,-0.050833702,-0.05135584,-0.052921772,-0.055009842,-0.058664322,-0.06597328
18,19,-0.015250683,-0.01694727,-0.00846386,-0.013554096,-0.0124230385,-0.013554096,-0.018078804,-0.017512798,-0.014685154,-0.017512798,-0.01185751,-0.013554096,-0.0124230385,-0.009594917,-0.0124230385,-0.015250683,-0.024865627,-0.025431156,-0.01977539,-0.015816212,-0.014685154,-0.009029388,-0.011291504,-0.01638174,-0.02034092,-0.02373457,-0.033914566,-0.037308216,-0.035045624,-0.02882433,-0.024865627,-0.023168564,-0.031086922,-0.026562214,-0.035045624,-0.053709507
19,20,-0.025556087,-0.010957241,-0.010293484,-0.01626587,-0.018256664,-0.027546883,-0.02821064,-0.022238255,-0.02887392,-0.02821064,-0.020911217,-0.018920422,-0.015602112,-0.018256664,-0.023565292,-0.02489233,-0.021574497,-0.019583702,-0.02422905,-0.020911217,-0.017592907,-0.017592907,-0.018256664,-0.02422905,-0.023565292,-0.020911217,-0.05077219,-0.038827896,-0.035510063,-0.04612732,-0.044136524,-0.039491653,-0.033519268,-0.043472767,-0.042809486,-0.032191753
20,21,-0.010836601,-0.011940479,-0.01525259,-0.02022028,-0.013044357,-0.01580429,-0.008628368,-0.009732723,-0.014700413,-0.016356468,-0.017460346,-0.010836601,-0.009180546,-0.009180546,-0.010284424,-0.016356468,-0.024084091,-0.026844025,-0.022980213,-0.018564224,-0.018564224,-0.014148235,-0.014700413,-0.005868435,-0.0064206123,-0.011388302,-0.010836601,-0.013596535,-0.0049848557,-0.0136117935,-0.022902012,-0.02422905,-0.02887392,-0.02422905,-0.030201435,-0.02887392
21,22,-0.026225328,-0.03077221,-0.020668268,-0.01965785,-0.017131805,-0.0156161785,-0.017131805,-0.023699284,-0.02521491,-0.026225328,-0.02521491,-0.028751373,-0.013595343,-0.012584925,-0.016121387,-0.018142223,-0.019152641,-0.018647432,-0.0156161785,-0.023194075,-0.022183657,-0.02016306,-0.020668268,-0.04138136,-0.033803463,-0.022183657,-0.022183657,-0.027235746,-0.03077221,-0.028751373,-0.027740955,-0.03077221,-0.026225328,-0.023194075,-0.019152641,-0.02521491
22,23,-0.018068913,-0.01614448,-0.0142200515,-0.018068913,-0.014861528,-0.015503004,-0.02640811,-0.025125157,-0.028332539,-0.019993342,-0.029615492,-0.027049586,-0.034747306,-0.03987912,-0.046935365,-0.0597649,-0.07067,-0.07644329,-0.07516034,-0.08478249,-0.103385314,-0.098894976,-0.0956876,-0.0873484,-0.08927283,-0.08670692,-0.07387739,-0.060406376,-0.057840466,-0.08542397,-0.08606544,-0.08542397,-0.04950127,-0.027691063,-0.034747306,-0.04757684
25,26,-0.010409355,-0.012175083,-0.00864315,-0.0045223236,-0.010409355,-0.009232044,-0.008054733,-0.011586666,-0.013352394,-0.011586666,-0.012763977,-0.015118599,-0.013352394,-0.010409355,-0.011586666,-0.013941288,-0.012763977,-0.013352394,-0.013941288,-0.013352394,-0.013941288,-0.019239426,-0.022771358,-0.025714874,-0.021005154,-0.021005154,-0.024537563,-0.021594048,-0.019239426,-0.018062115,-0.01747322,-0.015118599,-0.018062115,-0.01629591,-0.015707016,-0.013352394
