large_scale_snowfall_min_PCA_1,large_scale_snowfall_min_PCA_2,large_scale_snowfall_min_PCA_3,large_scale_snowfall_min_PCA_4,large_scale_snowfall_min_PCA_5,large_scale_snowfall_min_PCA_6,large_scale_snowfall_min_PCA_7,large_scale_snowfall_min_PCA_8,large_scale_snowfall_min_PCA_9,large_scale_snowfall_min_PCA_10
0.9966402544755314,-0.0014070464702108255,-0.1400647581071242,0.05671965420939845,1.3574123250467008e-15,0.0,0.0,0.0,-0.0,0.0
0.9966402544755358,-0.001407046470210466,-0.14006475810712377,0.056719654209398174,-1.5082359167185554e-16,2.390068300929151e-16,-2.2895934168712675e-17,1.0256832995431276e-16,2.1402147711250933e-16,2.433087082532162e-16
0.9966402544755335,-0.0014070464702101194,-0.14006475810712432,0.05671965420939834,-1.5082359167185584e-16,-1.3896105755645377e-16,1.7754250830356718e-16,-6.46707573701408e-17,-1.3358824883530763e-16,-1.0776249937603171e-16
0.9966402544755334,-0.0014070464702117785,-0.14006475810712432,0.05671965420939846,-1.5082359167185584e-16,-3.0042893201839315e-16,-3.3740418857049914e-16,1.3218805023458743e-16,-2.1592286540461686e-17,-2.2100865908014523e-17
0.9966402544755334,-0.0014070464702103757,-0.1400647581071243,0.05671965420939837,-1.508235916718558e-16,3.339719324697503e-17,3.0459602405905106e-17,-2.834760380321595e-17,-9.806823622592625e-18,-1.8907557161566698e-17
0.9966402544755334,-0.0014070464702104785,-0.1400647581071243,0.056719654209398396,-1.508235916718558e-16,3.33971932469914e-17,3.045960240594775e-17,-2.834760380310922e-17,-9.806823622828687e-18,-1.8907557161520513e-17
0.9966402544755334,-0.0014070464702104785,-0.1400647581071243,0.056719654209398396,-1.508235916718558e-16,3.3397193246991464e-17,3.045960240594798e-17,-2.834760380310833e-17,-9.806823622830112e-18,-1.890755716152027e-17
0.9966402544755334,-0.0014070464702104785,-0.1400647581071243,0.056719654209398396,-1.508235916718558e-16,3.3397193246991464e-17,3.0459602405948074e-17,-2.834760380310845e-17,-9.80682362282815e-18,-1.8907557161520858e-17
0.9966402544755334,-0.0014070464702104785,-0.1400647581071243,0.056719654209398396,-1.508235916718558e-16,3.3397193246991464e-17,3.0459602405948074e-17,-2.834760380310848e-17,-9.806823622829708e-18,-1.890755716152038e-17
0.9966402544755334,-0.0014070464702104785,-0.1400647581071243,0.056719654209398396,-1.508235916718558e-16,3.3397193246991464e-17,3.0459602405948074e-17,-2.834760380310848e-17,-9.806823622829767e-18,-1.8907557161520328e-17
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
1.000390401683519,0.0008588769766227196,-0.09166438760538673,-0.08333653972191811,1.4035578591543017e-31,2.697772255761557e-34,-1.0091566081666113e-31,-2.7577265246450016e-32,-4.7678752673412146e-32,-3.25455587596544e-32
0.9919857067848962,-0.004380832939856062,0.1788890371524661,0.0085387634909582,9.859435608998712e-33,6.452566795463032e-21,6.6299715606697466e-21,3.925439621499451e-20,-4.6040744873905766e-21,-1.969140637102227e-20
0.9919857067848962,-0.004380832939856062,0.1788890371524661,0.0085387634909582,9.859435608998712e-33,6.452566795463032e-21,6.6299715606697466e-21,3.925439621499451e-20,-4.6040744873905766e-21,-1.969140637102227e-20
0.01010630004612791,1.0079805937666957,0.0013876105664376258,0.00030345361875725433,1.1946951716532207e-31,-6.011858825335068e-17,3.6165794002388605e-17,1.9327372096038254e-16,8.914135882790648e-18,1.8733321370225123e-16
