mean_surface_sensible_heat_flux_mean_PCA_1,mean_surface_sensible_heat_flux_mean_PCA_2,mean_surface_sensible_heat_flux_mean_PCA_3,mean_surface_sensible_heat_flux_mean_PCA_4,mean_surface_sensible_heat_flux_mean_PCA_5,mean_surface_sensible_heat_flux_mean_PCA_6,mean_surface_sensible_heat_flux_mean_PCA_7,mean_surface_sensible_heat_flux_mean_PCA_8,mean_surface_sensible_heat_flux_mean_PCA_9,mean_surface_sensible_heat_flux_mean_PCA_10
-0.6835918348798706,0.5179859737266931,0.10765446725197711,-0.3815045857571923,0.23667276127281342,0.22495393829618737,0.048987541712258456,-0.10040665714882747,-0.04190659573358494,-0.03171796286156369
-0.7154512737847251,0.521782190376076,0.11525949964822886,-0.37496650096919665,0.20894539375877144,0.17244098806693176,0.04324191770437752,-0.035379534226776435,-0.0075231763614985615,0.004585737884464404
-0.7493408626325951,0.5232633638120565,0.13631837677393516,-0.3414276454131004,0.17380025104422986,0.10595924741368495,0.031386398563707174,0.02167337723939574,0.017730337385636553,0.018625407044185718
-0.7738667577797279,0.5256273591473823,0.13732749820927498,-0.3087278587636005,0.14384845764737242,0.02310837075349993,0.017548184783036713,0.040712872609746265,0.0334395212728371,0.018062124439267916
-0.8009604769557344,0.5267709913149617,0.1204122647963963,-0.252019963652959,0.10126964488160643,-0.04197590244591835,-0.01051781697230513,0.06077532427620078,0.03576773647236773,0.01641699855677182
-0.8198472969338002,0.5162695205228393,0.11707623630324802,-0.20713531307920657,0.05299078880524727,-0.10032405903781721,-0.040133125244881246,0.06277786186221403,0.02110919232760452,0.011147280038142342
-0.8415951334402314,0.48610693415024087,0.09320658928129477,-0.1798123393286859,0.024216597313925375,-0.13448618893994868,-0.08420118344283985,0.048519407363916016,-4.550803874467916e-05,-0.018460463907580653
-0.8578445593323228,0.46354605311404273,0.06434030206747551,-0.1398620000054025,-0.03862181063991478,-0.17616500236600258,-0.08035767562521448,0.005126151199546882,-0.013561326617215283,-0.019149391451463493
-0.8843958094487395,0.42447038593960723,-0.01350528353999189,-0.09164850705743503,-0.10850251989040051,-0.15640640698202207,-0.06307910773940568,-0.024720674765348928,-0.04926776972591983,-0.02746427858139313
-0.8959536325554651,0.3794765574934251,-0.05827727543505246,-0.08013122427907834,-0.1770750807269674,-0.1529708172781742,-0.031902997889637574,-0.02623132024348864,-0.03380697278497294,-0.010178347994912587
