geopotential_500_std_PCA_1,geopotential_500_std_PCA_2,geopotential_500_std_PCA_3,geopotential_500_std_PCA_4,geopotential_500_std_PCA_5,geopotential_500_std_PCA_6,geopotential_500_std_PCA_7,geopotential_500_std_PCA_8,geopotential_500_std_PCA_9,geopotential_500_std_PCA_10
-0.7146316375474591,-0.6063924236799386,-0.3261418398263962,-0.14080691483510246,0.04437247029231296,0.07269287968145359,-0.04577348076951406,-0.02133795508035842,0.032757376483875125,-0.01266880747701869
-0.7406076697729314,-0.5999017973218045,-0.2999657853557051,-0.12172517157324134,0.01980672176767119,0.03339833933887812,-0.019133488001239585,-0.004783501755671087,-0.00840485093865563,-0.0002466931334173728
-0.7726397194971477,-0.5740501936919771,-0.2827392200708567,-0.08684641329561356,0.012851248627685259,0.0034584642722107727,0.0033611246750935614,-0.005331921260340152,-0.02593231656761025,0.00865167427849804
-0.8038501420482601,-0.5464746774056709,-0.25463715630267314,-0.06516530476028569,-0.000388952421824775,-0.012569933379719013,0.020192082754988596,0.015147130570005024,-0.022581995555140087,0.0073101434873391324
-0.8242548536352237,-0.5273661728970072,-0.22934383477779696,-0.03385566675365491,-0.02038591720279282,-0.03713418747498103,0.03082755847871584,0.01606139470559187,-0.024838407433921218,0.009946477347666342
-0.8511300412114916,-0.5031238868765101,-0.17824300302501286,-0.0023055082476735496,-0.02479267811792698,-0.04589338572252766,0.041383527416736524,0.026303500053093877,0.030192685146905394,-0.009467815057474365
-0.8700323368106679,-0.4825710236250033,-0.13901149605705498,0.031634593133993645,-0.04018006239658951,-0.04833036339645051,0.02989938732800299,0.009508287587748031,0.01412446069471195,-0.011589590692060161
-0.8973281454333418,-0.4401999534496818,-0.08570491176211684,0.07459800434064384,-0.04220230091008531,-0.03426253962973613,0.0038897636736102414,0.003385486470409965,0.02603952310633482,0.002192548740912862
-0.9052359997210596,-0.4178709935420639,-0.04209926070364569,0.1208497862835446,-0.04862790309040717,-0.023806283380638806,-0.029481525691128475,-0.021041526619800965,0.010359573758681004,0.008880972467640904
-0.9226582599975655,-0.37869553834753583,0.005370877933778032,0.1284581826549936,-0.04588390884327692,0.011371963676598262,-0.031553533323781705,-0.015078961687554696,-0.009984744354373723,0.011855480661686759
-0.9368455569672669,-0.3400797179019896,0.05464746169112238,0.12443834373266177,-0.039806570260844366,0.016409063955798726,-0.027057072413623484,-0.0253401994723227,-0.017912949843188482,0.0015174204501151526
-0.9505739120395097,-0.2978511798406627,0.09829879520764416,0.10913265324906969,-0.008310028415672419,0.027263527704300444,-0.015806594578723916,-0.015805662352577982,-0.005993566269067688,-0.002372961671864064
