geopotential_500_min_PCA_1,geopotential_500_min_PCA_2,geopotential_500_min_PCA_3,geopotential_500_min_PCA_4,geopotential_500_min_PCA_5,geopotential_500_min_PCA_6,geopotential_500_min_PCA_7,geopotential_500_min_PCA_8,geopotential_500_min_PCA_9,geopotential_500_min_PCA_10
-0.9033030692623797,-0.36221070070083533,-0.1640254576155127,-0.17910438814038387,-0.0685585079617249,-0.05354609549686938,-0.023649018416118658,0.028537986600757594,-0.02826456358778822,0.009079483648586012
-0.9169540318472486,-0.3552341487380425,-0.1683057112376303,-0.13298311179132777,-0.04310352679256296,-0.026811256748428113,-0.009502907611468785,0.001903924507437336,0.008996487607673638,-0.007508561550974762
-0.9297484668786741,-0.34108143915609923,-0.1646373944724835,-0.08190534168035017,-0.020218208935482537,-0.005543509863001391,0.015461480478015967,-0.01165869468558695,0.017717941681892727,-0.010008889837643796
-0.9354827441418196,-0.334630266770865,-0.15848570205870494,-0.03877495777552818,0.0006115403631023507,0.01775948771525203,0.02107672395833124,-0.028712367923965264,0.025715623346972125,0.002162345398017984
-0.9425535226961395,-0.3229453888019745,-0.14462403690211117,-0.001256909437359866,0.017669589213958527,0.029345656138861836,0.024108671251803243,-0.020429743089498093,0.007112406356727254,0.0017645043720276065
-0.9474172723933634,-0.3169435286115203,-0.11979695937475378,0.029459594190035788,0.034561384642149806,0.03011254132742923,0.014621936657009787,-0.011113617888188109,-0.005391338107986569,0.011394299715633657
-0.9526555998201719,-0.3038653159185189,-0.09852740601413802,0.052883023084535206,0.04119201741806049,0.036059492461054304,0.007216538814590132,-0.007915884963266288,-0.021103743146086314,0.0023739972358456916
-0.9575121253718478,-0.2914506832784377,-0.07002231395381205,0.06971260350825806,0.046227041862481055,0.03801671768485522,-0.009242948051103034,0.008356447549419393,-0.02309807571197082,0.008170797458283523
-0.9661992372524261,-0.26669781514765517,-0.04411937363519591,0.08231775553672459,0.03673353346847238,0.019825247136169385,-0.015089096833102719,0.012695176936541755,-0.011549234882200908,-0.0003652587546441206
-0.9738509267362223,-0.24096310558071082,-0.011283006786821589,0.08476076423614878,0.027023572051746225,0.0043609502123999845,-0.026092342370477403,0.022110871589667146,0.0026245252755390117,-0.01184737651113448
