convective_available_potential_energy_min_PCA_1,convective_available_potential_energy_min_PCA_2,convective_available_potential_energy_min_PCA_3,convective_available_potential_energy_min_PCA_4,convective_available_potential_energy_min_PCA_5,convective_available_potential_energy_min_PCA_6,convective_available_potential_energy_min_PCA_7,convective_available_potential_energy_min_PCA_8,convective_available_potential_energy_min_PCA_9,convective_available_potential_energy_min_PCA_10
-3.735019684775355e-18,-2.0603543725934188e-18,-2.4309547548485473e-18,-0.0,0.0,-0.0,-6.606086841971661e-18,-9.50499295125464e-17,0.0,-0.0
7.605042198226209e-16,3.4949912024978055e-16,2.682934105549678e-16,-3.7953595502629005e-17,-4.7936250535741676e-17,7.87685485875888e-18,3.2651559617497374e-16,-1.4114364266534714e-16,3.0594515969973855e-17,2.8756521947627646e-17
2.5350140660754033e-16,-1.310621700936677e-16,-1.341467052774839e-16,-3.7703152927913315e-17,-1.6220939427336152e-16,-2.1324924125542206e-17,0.0,6.934888503152878e-17,1.0050736044043718e-16,1.1195336113687334e-16
-6.337535165188508e-17,1.7474956012489027e-16,-0.0,-3.4439202094148537e-17,-6.750786122853847e-17,-1.7453087564536998e-17,0.0,6.249983253732563e-17,1.652209117273754e-17,-9.507629880713892e-17
-0.0,-0.0,-0.0,-1.7174790539408118e-17,-8.783999867061801e-20,-9.771051683851593e-18,8.162889904374343e-17,2.795936626103807e-17,-7.781502363469818e-17,8.210706612310661e-17
2.8144309839055507e-32,6.2083515262006825e-31,-3.812678678442691e-30,1.4061949935969135e-17,5.640939038309049e-17,-3.3491354850713515e-17,1.5466885664967064e-30,-1.1465822532557704e-17,-5.0315967316226793e-17,3.075984897361e-17
-2.1987742061762115e-34,-0.0,-1.4893276087666762e-32,-4.6920289933597094e-17,1.199698553455019e-17,-0.0,0.0,-5.706216198735285e-19,8.477859614522075e-17,-2.836719246510315e-17
7.468261981686923e-35,5.739800983966221e-33,-3.509683397953435e-32,-3.3843895428089454e-16,1.7364688224288055e-17,1.9537023648421702e-19,7.799489676303394e-33,-2.399904319403995e-18,-7.248316212077868e-18,-5.646396226724825e-17
-0.02561150668333464,-0.019426225448312847,-0.045660225244401643,-0.6089483219290306,-0.2563829005378006,0.5812386834854725,0.48848970401703745,2.1134638892537152e-32,2.2603995188286566e-32,1.2959822255291017e-32
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,1.1365534261981214e-28,2.245555244089643e-28
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-3.6118152032386163e-32
-0.02561150668333464,-0.019426225448312802,-0.04566022524440168,0.7365011570533642,0.22404047407038313,0.42633387067609024,0.48848970401703745,3.2541542896632634e-32,1.747531907649963e-32,-7.554882191856723e-33
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.984562481798262,-0.15874362807579037,-0.14684119603070347,5.597104901177296e-18,1.798153336733983e-17,7.568524234981737e-17,-0.0019686002435746084,-4.924240819794493e-18,2.848102442432222e-17,-2.4717489774770648e-18
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.02561150668333464,-0.01942622544831276,-0.04566022524440232,0.1719472916849697,-0.6606111994414999,-0.5553518071483604,0.4884897040170377,9.727734888441671e-33,-1.329673759422198e-32,1.2959822255291017e-32
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.11200591776906932,-0.1210180484186856,0.9926244105361725,3.474396852566429e-17,-6.220109248450545e-17,-3.989688279421572e-16,0.06029194147993689,-1.5080726081291352e-17,2.5443578009911218e-17,-3.2849147683701352e-18
0.7817207784471742,-0.19943627375660114,0.6029412420617285,2.465377731937204e-17,-4.390006595089352e-17,-2.4540844243894933e-16,0.04157749551320156,2.115467327876906e-17,-3.569129078674003e-17,4.607954437928683e-18
-0.02561150668333464,-0.01942622544831276,-0.045660225244402115,-0.2995001268093033,0.6929536259089174,-0.45222074701320186,0.48848970401703756,2.6838090894584897e-32,2.0892907411388234e-33,1.2959822255291017e-32
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.984562481798262,-0.15874362807579037,-0.14684119603070347,5.597104901177296e-18,1.798153336733983e-17,7.568524234981737e-17,-0.0019686002435746084,-4.924240819794493e-18,2.848102442432222e-17,-2.4717489774770648e-18
0.984562481798262,-0.15874362807579037,-0.14684119603070347,5.597104901177296e-18,1.798153336733983e-17,7.568524234981737e-17,-0.0019686002435746084,-4.924240819794493e-18,2.848102442432222e-17,-2.4717489774770648e-18
0.9845624817982623,-0.1587436280757904,-0.14684119603070356,6.613185448783861e-18,3.0742591434772095e-17,7.55414497729613e-17,-0.0019686002435745815,-2.907267826848507e-17,-3.761601186153324e-17,3.3398853230019602e-18
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.8131411954326273,0.5939791148922593,-0.04374808288475974,3.305628853216656e-18,-1.7734922926026484e-17,4.894034757880297e-17,0.014329859182111231,4.034999978371907e-17,-3.1398705582709304e-17,1.1088089908074224e-18
0.15608129265665757,0.991955108890791,0.08547303676496937,2.5180360809528138e-18,2.697318229297673e-18,4.067550872292636e-18,0.02206998577993835,-1.438233732328861e-17,1.1191741700761108e-17,-3.952234205295334e-19
0.15608129265665757,0.991955108890791,0.08547303676496937,2.5180360809528138e-18,2.697318229297673e-18,4.067550872292636e-18,0.02206998577993835,-1.438233732328861e-17,1.1191741700761108e-17,-3.952234205295334e-19
