total_precipitation_mean_PCA_1,total_precipitation_mean_PCA_2,total_precipitation_mean_PCA_3,total_precipitation_mean_PCA_4,total_precipitation_mean_PCA_5,total_precipitation_mean_PCA_6,total_precipitation_mean_PCA_7,total_precipitation_mean_PCA_8,total_precipitation_mean_PCA_9,total_precipitation_mean_PCA_10
0.5064440672227496,-0.7283735106797774,-0.29747654604475837,-0.26675491366982496,-0.20836037829410062,-0.0426066456006538,0.12717140139083272,-0.06189727033997455,0.01469983224807429,0.03141722555776886
0.5175782175062511,-0.7508600485181789,-0.28952290642911893,-0.2515788167019855,-0.16983605847602112,-0.01125168815482346,0.07702138524800932,-0.004107934823852165,0.008226624267177341,0.012141367635829514
0.5647368708890702,-0.7429001812991104,-0.2860517002445863,-0.21349150137483106,-0.07194940307789671,-0.040587400794133935,-0.018317613570219878,0.06602796462839923,-0.00889158827195,-0.04550306734205007
0.5814927028552265,-0.7401740523584975,-0.29888924374577874,-0.14620559296464325,-0.014967056970699975,-0.0407129903469334,-0.08483203861842815,0.07711741817663338,-0.018974635478124655,-0.022514704413672
0.6005103806751987,-0.7366461223589565,-0.30057762766578117,-0.06819677657391578,0.042836178324899,-0.002049639822972916,-0.11221322726452711,0.03579851026301535,-0.01380093240158283,0.0026481292683979397
0.6357073024844547,-0.7083591242249203,-0.28972791075818877,-0.008737521470156022,0.08720744439558885,0.026371181223631152,-0.11064547544845908,-0.00706030828424372,-0.027842356769591965,0.018776219847003714
0.6848738623671088,-0.6752084851432288,-0.23751292258673123,0.017122794653438012,0.1366208608563338,0.08407353066650879,-0.05565613782874849,-0.05404141338389239,0.01033437825851942,-0.008971436062497985
0.7248711731995487,-0.638541495840541,-0.18844029477922494,0.07588359293278575,0.14569916025197485,0.10430840752393619,-0.021388395463969506,-0.07189492478564372,0.008501506452845475,0.01419479221842272
0.771446019769658,-0.5985216169510634,-0.12685590730885585,0.10184353488518408,0.1316789913124573,0.08338623624128488,0.040083211735360606,-0.06492995583636639,0.04639735959567881,0.02027690861576778
0.8176170481059709,-0.5439662965554684,-0.05541576985755659,0.1440612774436167,0.09595662144153448,0.04056012970492355,0.10432176758609671,-0.020417855645310616,0.02377723383781322,-0.011027337563217087
0.8404103961742179,-0.5054636981302997,0.005317160703946603,0.17396562950486852,0.08139238144036927,-0.004401051984101198,0.10472968192154772,0.014257418726765019,0.007984329127334246,-0.018524069924620568
0.854673861707354,-0.46209732527769826,0.08932066435914687,0.2072532657936207,0.027007005734436762,-0.053124671964291804,0.08319555857083458,0.057794455973822094,-0.020411520419921753,0.00025522780779108865
