surface_pressure_mean_PCA_1,surface_pressure_mean_PCA_2,surface_pressure_mean_PCA_3,surface_pressure_mean_PCA_4,surface_pressure_mean_PCA_5,surface_pressure_mean_PCA_6,surface_pressure_mean_PCA_7,surface_pressure_mean_PCA_8,surface_pressure_mean_PCA_9,surface_pressure_mean_PCA_10
-0.7736505963269297,-0.6147647142190591,-0.11582302940677415,0.12753730651173323,0.0038360055578572044,0.033144451428768054,-0.08726182282634319,-0.006763015034285037,0.002199052965531619,0.026227778973764635
-0.7972751218376819,-0.5949257879978418,-0.11526490092810797,0.0971091014787368,-5.300573323082844e-05,0.022315028055162174,-0.05009668374491169,0.0021509853302063755,0.01610060516000975,0.006652933166046427
-0.8287471534402934,-0.5556312262818571,-0.11794205503501952,0.06956212560475163,-0.009935901243450933,-0.0025958067665230403,-0.01752923720396976,0.01261325479819909,0.015034428374502333,-0.01706997492618532
-0.8496472464014289,-0.5260035951216671,-0.1097492718664727,0.04598361452286479,-0.03293355550708468,-0.018001330976048346,0.01745418226418266,0.019217719280901404,0.002280757417095858,-0.031103112965647554
-0.8655758370080943,-0.4992640732640884,-0.10406592974511969,0.028944479750657916,-0.03545021429459943,-0.028811511724329244,0.04312647516521851,0.014354903162281111,-0.011371393891591423,-0.03584074385271198
-0.8895354514072847,-0.46344682195428155,-0.07078790078507269,0.015559792631408102,-0.018788332788441203,-0.025537203976539996,0.05646817847878324,-0.008730205535827278,-0.0009326281360753221,-0.011506874544921965
-0.91345102857462,-0.4181943124072916,-0.036983444352380455,0.0013420275683553868,-0.01651088726189415,-0.02146009480835485,0.06054605533127268,-0.009524565203843562,-0.01114247636447828,0.017034044045754586
-0.9302540596623052,-0.38045041958647574,0.007087960235742211,-0.017718314915427184,0.007209801205306894,-0.00883777157561226,0.04881754172552543,-0.029534952960656256,-0.009982040403984045,0.03590382644301689
-0.9505905285814933,-0.321530620805227,0.041884863504467434,-0.05738387117547305,0.030408478686969005,0.012582320719021805,0.017530347221558985,-0.02054611576182079,-0.01822810354820152,0.030563090582552126
-0.9613250200850084,-0.2725322256948202,0.0653699160457541,-0.09453021442571151,0.04460321255384052,0.020026745744324496,-0.0055553497068502955,-0.023208437707791404,-0.0213919998519498,0.017012900035245658
-0.9697963925073504,-0.21971360937313247,0.08251004638039995,-0.1234971033823565,0.0561359767598534,0.021761822841518882,-0.025854231562712097,-0.015691895072348788,-0.018529095545374807,-0.011154833973903398
-0.9757316670976626,-0.17715939170251083,0.10178159763073066,-0.12662060187320606,0.06089292189167184,0.020589394550412594,-0.03266935241610929,-0.006529787676966935,-0.009932366436354523,-0.023531086948407245
-0.9821443209792061,-0.12913868215186847,0.11687720589150513,-0.12513942378523246,0.06332624098900014,0.006179859996937007,-0.026129631071010552,0.0040043371879107375,-0.0017839569901869628,-0.018563488893937843
-0.9903461924799196,-0.08502882351966484,0.12251275411523253,-0.09630098036073453,0.04767895991381326,-0.002235871093732739,-0.010206853790015168,0.022174879066608935,0.014527142984005507,-0.015746935424567142
-0.9950870513519046,-0.04788540920162326,0.1263351986874266,-0.059930533059557936,0.0385420844681874,-0.009787662949259823,0.011107803486260772,0.02930043319237035,0.03231972072836767,0.0005858664632296071
-0.9979362587338529,-0.0010239438985268114,0.12392072131435784,-0.02231289450520237,0.018647897483974413,-0.009369852747778793,0.01745233770958296,0.03527057173815133,0.03947834723947242,0.023353997998501262
