surface_latent_heat_flux_min_PCA_1,surface_latent_heat_flux_min_PCA_2,surface_latent_heat_flux_min_PCA_3,surface_latent_heat_flux_min_PCA_4,surface_latent_heat_flux_min_PCA_5,surface_latent_heat_flux_min_PCA_6,surface_latent_heat_flux_min_PCA_7,surface_latent_heat_flux_min_PCA_8,surface_latent_heat_flux_min_PCA_9,surface_latent_heat_flux_min_PCA_10
-0.5580471542951257,0.5429255283372626,-0.4598811610180697,-0.15300146133941622,-0.3522101414206399,-0.0022177027818294907,0.13860702160313915,-0.14826069253569796,0.0008722301169980057,-0.0074701845483886205
-0.6160356307254852,0.5588619329232338,-0.43635346717369633,-0.13350433287885458,-0.2841430561910991,0.0045609320473886565,0.1229793759151586,-0.1075206429635608,-0.037976996197405515,0.003743562559580423
-0.7094952787502671,0.5568488728987759,-0.36949844993212766,-0.11902755973599223,-0.18909336065812182,-0.00700993640218908,0.029070813547358496,0.030308163072520846,-0.028647334686759014,-0.0143266637039848
-0.7361334663874878,0.5638392204408614,-0.32290323569944324,-0.12790613367760678,-0.06327764248166126,-0.017668435463981766,-0.0019577782254963,0.12919691450918952,0.021457656960180017,-0.028569433847929267
-0.7784343893376533,0.5381214336083774,-0.27907317020836003,-0.08239223021539592,0.03206434314363924,-0.02294466672664662,-0.05113959627947271,0.13661740396739958,0.017736246698291453,0.013625995796074842
-0.8139380060616749,0.5071024579561251,-0.2306622755482325,-0.041531298823211354,0.09290099255636601,-0.022592192491809857,-0.05312274541819157,0.10916939756101651,0.03867539221313528,0.05097902597364818
-0.8278504965941461,0.49628190083112284,-0.16070236317836376,-0.035041725169880515,0.15756295184471708,0.014591421196210324,-0.06755917485929612,0.1105488298961144,0.07202804840667523,0.01622013232302576
-0.836962055788037,0.48161931538097214,-0.12072598231261175,0.020765335032034815,0.1923230639792733,0.04450839871467457,-0.0782707698059894,0.053787306554464676,0.07140516643795476,-0.0025023489398398064
-0.8497736747982102,0.458001357168472,-0.07244561387725128,0.06470949685699826,0.22157999016585886,0.014810103075438938,-0.10194821178910939,-0.00987856009189777,-0.005148617810995839,-0.03209659499581993
-0.8624549127827486,0.4135796641842754,-0.030555461062237256,0.1220671028214387,0.23956793732751072,-0.019665021540476512,-0.09266463027040393,-0.061566294124535674,-0.06905629560887996,-0.03642623826901768
-0.8845803349678938,0.35807645704241037,0.0019729442306554135,0.14093694175673474,0.22260948002574243,-0.03233219506369699,-0.09351826925810658,-0.08086912772619022,-0.10720373814956205,-0.03378924447527141
-0.9058304936428735,0.31488329249221686,0.016641340100612943,0.16655834014946705,0.17421862341062336,-0.013115683147789325,-0.04906578505393672,-0.13766966379404055,-0.07586554859613012,-0.013105601542557136
-0.907637814069433,0.2519842423887569,0.05959390541596628,0.23793368187624492,0.13735756604675456,0.012078520897555041,0.08878584026649733,-0.11135283588085618,-0.008496806476418262,0.05233969517105988
-0.9021533784814614,0.19523138312555133,0.1018682135317603,0.3088280932914608,0.07144764931515059,0.04023835067455614,0.1606949466728716,-0.07687655171034549,0.07562209753119374,0.052575049231207344
-0.8890159593383028,0.1885270751468391,0.19771016752627438,0.32224784786432215,0.008149312868595153,0.06536886133635766,0.15447263985020004,-0.017831348594592768,0.044992724998095354,0.03860466179315185
-0.8574485705871248,0.1565090907817658,0.33452153401542506,0.2874467258099379,-0.10525215359053428,0.11280319420895242,0.10262774715955957,0.052692236324253405,0.036632416514384813,-0.03716366332287179
-0.8748014541096065,0.13192065060326089,0.3459521786944903,0.20646572098084562,-0.206579911126659,0.07994215342635604,0.046095606678456406,0.07212668503826196,-0.0044651814646858275,-0.04297507631591925
-0.8843155684629744,0.06465451826212011,0.3437259268224576,0.1325452485469921,-0.2529880294674639,0.040879851301666686,0.01191227427927323,0.09825674643213617,-0.021404578200578287,-0.05150247597427022
-0.9035656488805871,0.0023156299895787363,0.31110356166961894,0.03271254163738128,-0.27068349774205985,0.012407681477749854,-0.05994115920971576,0.09854284436488499,-0.01579100204462654,0.006398982226462667
-0.9168176276309521,-0.033860119253404986,0.2731705343816731,-0.07762517724381132,-0.2395512611884532,-0.051374021237100845,-0.14331879892425714,-0.01543353624884666,-0.058829831703414825,0.05233557519847379
-0.9101755995125218,-0.10544309133291188,0.24623058132612125,-0.17195108099257256,-0.16199845936066934,-0.12511191171763025,-0.14629965763083463,-0.049794744786513336,-0.06048937671674217,0.07557988421268066
