surface_latent_heat_flux_mean_PCA_1,surface_latent_heat_flux_mean_PCA_2,surface_latent_heat_flux_mean_PCA_3,surface_latent_heat_flux_mean_PCA_4,surface_latent_heat_flux_mean_PCA_5,surface_latent_heat_flux_mean_PCA_6,surface_latent_heat_flux_mean_PCA_7,surface_latent_heat_flux_mean_PCA_8,surface_latent_heat_flux_mean_PCA_9,surface_latent_heat_flux_mean_PCA_10
-0.5874137634018692,0.6182461863930537,-0.3942535496576954,-0.09191441457448617,0.28377194934843253,-0.1663064744561538,0.0013721885534502092,0.11257190343768737,0.04788086206280842,0.02657460480354875
-0.6395139248976154,0.6189402580214965,-0.37968211262181084,-0.10362053906340614,0.22538506173482234,-0.12007812042224023,0.017896012990911297,0.04389418880373152,0.011184362013793978,-0.0027323771603320586
-0.6899248654685054,0.6122670600883268,-0.33681708480413547,-0.13101437438016272,0.1674595450718102,-0.04877881309155547,0.027284238044248937,-0.02874523108698946,-0.021918432057295646,-0.019436264190374992
-0.7321216431441997,0.5913965817116279,-0.2996444644899261,-0.15203109595999081,0.1007092898123662,0.01413422531679531,0.03142864875042053,-0.04877434230416056,-0.04171269134306902,-0.02892873538243531
-0.7730062737048428,0.5707750508336749,-0.243868076962516,-0.13609501087618892,0.04000870924300251,0.07493863681002957,0.009481740288519901,-0.0666269526722345,-0.03326576794580634,-0.022495754438369646
-0.8025845325092266,0.5451966718144267,-0.19966509814885625,-0.12371536056542667,-0.01572338882890755,0.1078403472507006,-0.013565513678307557,-0.06856504122503146,-0.022235540098938956,0.015329198774631882
-0.8261060510515607,0.5231109612360746,-0.15299267694664737,-0.09521262580863524,-0.058264435560091164,0.11837015588719237,-0.06551386171859952,-0.060229757287415066,0.003671530992751485,0.027826581812583497
-0.8497403613530291,0.4891500347877554,-0.10535083881494624,-0.05823194052401932,-0.11939711818695117,0.1335459366528136,-0.07006473662988126,-0.0227177667400979,0.02420878822268395,0.025501594412408055
-0.8767914058528022,0.4475799427983033,-0.06288108879927995,0.00024370830358643505,-0.15924468442705175,0.10195439819425008,-0.05963127976379537,0.013932172512177196,0.046281074800214504,0.02294234743669634
-0.8977466168516974,0.39511379383162687,-0.043938690845297064,0.04294224363829509,-0.19330219641387417,0.08732999408522431,-0.037205284669483335,0.03818137634481171,0.037134053033146514,-0.0020508419836790747
-0.9080398193217535,0.3640226635803528,-0.013345464000359155,0.08708275646587978,-0.20622060109873527,0.05189662883232987,0.0015358419745337677,0.05349367487787835,0.026137134668083668,-0.03136558187241512
-0.9188453010502874,0.3168488474088385,-0.007341083757542343,0.12953164282170987,-0.2147291690586066,0.0016181546017422354,0.014670540390290672,0.07166698562212916,-0.01457013595927026,-0.03656661303049337
-0.9258758312137789,0.27629982374074674,0.024014055120333135,0.16239132467858045,-0.20867979903691503,-0.04518587238293209,0.04638269503325028,0.06116693610702251,-0.042651386871686625,-0.010956586387110381
-0.9357207698599946,0.2297720717897433,0.062412465597708564,0.21181422552858872,-0.15331392794395668,-0.08588884228567853,0.06826765751166884,0.027659307567700204,-0.028397846886421326,0.0041076136450518145
-0.9356024629047843,0.18417237775678574,0.10380506638768758,0.2525061088222772,-0.09011879831165716,-0.12435387187220322,0.08431327952254379,-0.01217343584744088,-0.01495949836285911,0.012087472276142486
-0.9188320978885702,0.16342076236582548,0.15443406897371367,0.30380726225930743,-0.016106447412762057,-0.13571710014716262,0.0703497201634069,-0.05628443403918261,0.005592366980846876,0.025776832659938978
