k_index_max_PCA_1,k_index_max_PCA_2,k_index_max_PCA_3,k_index_max_PCA_4,k_index_max_PCA_5,k_index_max_PCA_6,k_index_max_PCA_7,k_index_max_PCA_8,k_index_max_PCA_9,k_index_max_PCA_10
-0.7094692677776884,0.5657508552639994,-0.2548955885139644,-0.2573285396261405,-0.031463201037475935,0.18640483667900834,0.06765681156657814,0.0026776456745539424,-6.338126999798488e-05,0.037871109009459454
-0.7168252382460211,0.5533288717800547,-0.2880134846450107,-0.24192062457500407,-0.02504517352817651,0.20395089462380595,0.04429592009067012,-0.03653562333867827,0.008325251133799299,-0.010639405688143314
-0.7362633858893746,0.5714796528899511,-0.2580146058637059,-0.23207572382539685,4.3428466317551066e-05,0.11941762439400484,0.007814072753135122,-0.0192381812333779,0.01861793619136535,-0.019134670822815558
-0.7527513289568478,0.5753198570870584,-0.24157809145133013,-0.19585531250350569,0.08694146270603674,0.019388858854858033,-0.022888366196601333,-0.0008414465321388354,0.0012238469616773912,-0.03999216634529121
-0.7896741556034266,0.5446724427967775,-0.21995091951364962,-0.13052627960702884,0.09092140781091802,-0.08276930535381097,-0.03899958705683946,0.04338303034594307,-0.018113253334534948,-0.017766240765931293
-0.8138083530095195,0.5101375165368265,-0.21047068115977052,-0.08643570940209816,0.06329887839381867,-0.14536658056150245,-0.061228012569072086,0.04252301640552797,-0.05009222202417501,-8.296732658763735e-05
-0.8299739626399176,0.49563951038989473,-0.15886121870102113,-0.02959948690946,0.026990727207455167,-0.205673663789174,-0.052660785308816696,0.04707436014367687,-0.02346629708083546,0.007523960945359424
-0.8529915526939591,0.47841068857050323,-0.10594729599368487,0.008547551300951941,-0.012407280772251788,-0.1894044340520008,-0.057694006801911994,0.007674705126966459,-0.009563339048657967,0.025686873415954544
-0.8688707395892337,0.4333694598918236,-0.0531959229770685,0.09513786755036725,-0.07576569207708449,-0.18040039175013062,-0.014640684346598836,-0.07026264576779302,0.03879402991969931,0.05043616349103108
-0.892255488647522,0.38871990188709216,-0.0041658218259888295,0.1365358457408775,-0.1455761235342249,-0.06562124578009995,0.0812196411211149,-0.07943080186276115,0.05905328369950068,0.03488459374713972
-0.9050751590521353,0.35040936420110386,0.020555475478826718,0.17377517108424223,-0.1466093959670676,-0.008523161258230574,0.08826277818026992,-0.04390471545953433,0.062265763124889115,-0.021850766547636638
-0.9064976762836376,0.3025841003868392,0.05740079927365206,0.24548954199893713,-0.14912639798102456,0.007314130319713978,0.0859102950675807,-0.025511286593888013,0.011247646433730867,-0.03876677913471452
